
[00:00:00.000 --> 00:00:05.600]  不知不覺來到十誡第九言
[00:00:05.600 --> 00:00:07.800]  我們讀到中文的翻譯是
[00:00:07.800 --> 00:00:13.800]  「不可作假見證陷害人」
[00:00:13.800 --> 00:00:19.000]  如果大家不太善忘的話
[00:00:19.000 --> 00:00:25.200]  一開始我提到十誡系列的時候
[00:00:25.200 --> 00:00:30.200]  上帝還沒頒布十誡之先
[00:00:30.200 --> 00:00:35.000]  祂就先提到跟以色列人的關係
[00:00:35.000 --> 00:00:39.000]  祂說我是上主你們的神
[00:00:39.000 --> 00:00:45.200]  曾經把你們從埃及維盧之家領出來
[00:00:45.200 --> 00:00:49.200]  所以祂是先說他們的關係
[00:00:49.200 --> 00:00:52.200]  然後再說這個誡命
[00:00:52.200 --> 00:00:58.200]  這很重要的就是為十誡定位和定調
[00:00:58.200 --> 00:01:02.200]  這是非常重要,為十誡做定位和定調
[00:01:02.200 --> 00:01:07.200]  因為我們相信這位上帝是把我們從維盧之家釋放的主
[00:01:07.200 --> 00:01:13.200]  這是我們相信的上帝把我們從埃及維盧之家釋放出來的主
[00:01:13.200 --> 00:01:15.200]  如果我們抽離了這句話
[00:01:15.200 --> 00:01:23.200]  整個十誡就是我們傳統的理解是一些誡命
[00:01:23.200 --> 00:01:25.200]  是一種規範
[00:01:25.200 --> 00:01:28.200]  成為人的束縛
[00:01:28.200 --> 00:01:30.200]  不准你做這樣
[00:01:30.200 --> 00:01:34.200]  不可以做那樣
[00:01:34.200 --> 00:01:37.200]  違反的將會受到懲罰
[00:01:37.200 --> 00:01:40.200]  所以如果大家細心留意
[00:01:40.200 --> 00:01:44.200]  我的題目每次是用一個正面去表達每一條誡命
[00:01:44.200 --> 00:01:47.200]  所以如果大家細心留意
[00:01:47.200 --> 00:01:51.200]  我的題目每次是用一個正面去表達每一條誡命
[00:01:51.200 --> 00:01:54.200]  十誡的主詞其實是上主
[00:01:54.200 --> 00:01:56.200]  十誡的主詞其實是上主
[00:01:56.200 --> 00:01:58.200]  祂關乎人類的福祉
[00:01:58.200 --> 00:02:01.200]  祂關乎人類的福祉
[00:02:01.200 --> 00:02:03.200]  祂將人從維盧之家領出來
[00:02:03.200 --> 00:02:05.200]  祂把人從維盧之家領出來
[00:02:05.200 --> 00:02:10.200]  所以第一言對你而言根本不需要有別的神
[00:02:10.200 --> 00:02:14.200]  所以第一言對你而言根本不需要有別的神
[00:02:14.200 --> 00:02:17.200]  留意不是不准,是沒有這個需要
[00:02:17.200 --> 00:02:20.200]  注意不是不許,而是根本沒有這個需要
[00:02:20.200 --> 00:02:22.200]  然後祂又引伸其他的誡命
[00:02:22.200 --> 00:02:24.200]  然後再引伸出其他的誡命
[00:02:24.200 --> 00:02:26.200]  就說在我們自己的生命裡
[00:02:26.200 --> 00:02:29.200]  我們為自己做了很多的神,很多的偶像
[00:02:29.200 --> 00:02:34.200]  祂說在我們的生命當中創造出很多不同的神
[00:02:34.200 --> 00:02:40.200]  這些控制我們的生命包括一些宗教的偶像
[00:02:40.200 --> 00:02:44.200]  控制我們生命的包括一些宗教和偶像
[00:02:44.200 --> 00:02:47.200]  或者我們一些傳統或宗教的條文
[00:02:47.200 --> 00:02:49.200]  或者一些傳統的宗教條文
[00:02:49.200 --> 00:02:51.200]  父母倫常的關係
[00:02:51.200 --> 00:02:53.200]  父母倫祥的關係
[00:02:53.200 --> 00:02:54.200]  人與人的關係
[00:02:54.200 --> 00:02:55.200]  人與人之間的關係
[00:02:55.200 --> 00:02:56.200]  夫妻的關係
[00:02:56.200 --> 00:02:58.200]  兩性不正常的關係
[00:02:58.200 --> 00:02:59.200]  兩性不正常的關係
[00:02:59.200 --> 00:03:00.200]  物質的關係等等
[00:03:00.200 --> 00:03:01.200]  物質的關係等等
[00:03:01.200 --> 00:03:04.200]  現實當中很多的關係包括人事物
[00:03:04.200 --> 00:03:07.200]  甚至宗教都可以成為我們的神
[00:03:07.200 --> 00:03:09.200]  所以現實當中很多東西
[00:03:09.200 --> 00:03:11.200]  包括人事物都可以成為我們的神
[00:03:11.200 --> 00:03:14.200]  如果我們受制於這些枷鎖
[00:03:14.200 --> 00:03:16.200]  如果我們受制於這些枷鎖
[00:03:16.200 --> 00:03:17.200]  去主宰我們的生命
[00:03:17.200 --> 00:03:18.200]  去主宰我們的生活
[00:03:18.200 --> 00:03:20.200]  主導我們的生活
[00:03:20.200 --> 00:03:21.200]  主導我們的生活
[00:03:21.200 --> 00:03:23.200]  那就彷彿我們為了這些東西而活
[00:03:23.200 --> 00:03:26.200]  那就彷彿為了這些東西而活
[00:03:26.200 --> 00:03:31.200]  其實那個焦點就是由上帝轉移到人和物質上
[00:03:31.200 --> 00:03:35.200]  其實這是把焦點從上帝轉移到物質或人上
[00:03:35.200 --> 00:03:38.200]  所以上帝看到我們人性的限制
[00:03:38.200 --> 00:03:40.200]  所以上帝看到我們人性的限制
[00:03:40.200 --> 00:03:43.200]  他就讓我們從十誡裡面釋放出來
