
[00:00:00.000 --> 00:00:03.400]  最近有部電影叫《小丑》上映了
[00:00:03.400 --> 00:00:05.500]  我想有些頂尖會看過
[00:00:05.500 --> 00:00:07.900]  其實幾年前我也看過
[00:00:07.900 --> 00:00:11.400]  我最喜歡的導演Christopher Nolan的電影
[00:00:11.400 --> 00:00:14.400]  《蝙蝠俠 黑夜之神》
[00:00:14.400 --> 00:00:16.600]  裡面也有個小丑
[00:00:16.600 --> 00:00:19.500]  裡面的小丑威脅蝙蝠俠
[00:00:19.500 --> 00:00:22.900]  你要拿著面具
[00:00:22.900 --> 00:00:24.600]  用你自己真正的樣子
[00:00:24.600 --> 00:00:28.200]  出來面對整個葛咸城的人
[00:00:28.200 --> 00:00:31.800]  你一天不出來 我就每天殺一個人
[00:00:31.800 --> 00:00:33.800]  殺到你出來為止
[00:00:33.800 --> 00:00:36.900]  小丑就神出鬼沒 沒有人找到他
[00:00:36.900 --> 00:00:38.900]  手段就很凶殘
[00:00:38.900 --> 00:00:42.500]  所以葛咸城就全城恐慌
[00:00:42.500 --> 00:00:44.500]  人心惶惶
[00:00:44.500 --> 00:00:46.800]  在最人心惶惶的時候
[00:00:46.800 --> 00:00:49.700]  有一個正直的檢察官走出來說
[00:00:49.700 --> 00:00:54.100]  他說黎明之前是最黑暗的
[00:00:54.100 --> 00:01:00.900]  但是這個黑暗過去之後就是黎明的曙光
[00:01:00.900 --> 00:01:02.200]  同樣我想
[00:01:02.200 --> 00:01:03.900]  可能我們大家也知道
[00:01:03.900 --> 00:01:06.900]  在人生裡面也有很多黑暗的時代
[00:01:06.900 --> 00:01:10.800]  人類的歷史裡面也有很多黑暗的時代
[00:01:10.800 --> 00:01:15.600]  可能今天大家都覺得香港也是一個黑暗的時代
[00:01:15.600 --> 00:01:19.400]  但是在聖經裡面也同樣有黑暗的時代
[00:01:19.400 --> 00:01:22.300]  這個時代叫做事思的時代
[00:01:22.300 --> 00:01:24.900]  就是事思裡面說的
[00:01:24.900 --> 00:01:28.300]  就是聖經裡面其中一個很黑暗的時代
[00:01:28.300 --> 00:01:30.700]  為什麼會有黑暗的時代呢?
[00:01:30.700 --> 00:01:32.900]  我們一起讀一讀事思記
[00:01:32.900 --> 00:01:35.600]  其實有兩節的聖經是同一樣的
[00:01:35.600 --> 00:01:39.100]  是十七章六節和二十一章二十五節
[00:01:39.100 --> 00:01:40.700]  我們一起讀一句
[00:01:40.700 --> 00:01:41.900]  一二三
[00:01:41.900 --> 00:01:45.000]  那時以色列中沒有王
[00:01:45.000 --> 00:01:47.000]  各人任意而行
[00:01:47.000 --> 00:01:51.400]  留意這個王不是我們所說的君王、國王
[00:01:51.400 --> 00:01:53.200]  這個王是在說神
[00:01:53.200 --> 00:01:57.000]  換句話說當時的以色列人心裡面沒有神
[00:01:57.000 --> 00:01:59.600]  所以就亂來
[00:01:59.600 --> 00:02:03.200]  當時的以色列人已經過了很多代了
[00:02:03.200 --> 00:02:06.600]  他們的上一兩代、幾代
[00:02:06.600 --> 00:02:08.400]  進了迦南地之後
[00:02:08.400 --> 00:02:10.400]  一代一代的發生下去
[00:02:10.400 --> 00:02:13.400]  一代一代的成長、衍生下去
[00:02:13.400 --> 00:02:15.700]  慢慢的人就忘記了
[00:02:15.700 --> 00:02:19.300]  當年原來神在埃及那裡用大能的手
[00:02:19.300 --> 00:02:22.600]  用了很多神蹟騎士、用了很多能力
[00:02:22.600 --> 00:02:24.600]  做了很多事情
[00:02:24.600 --> 00:02:26.600]  將以色列人從埃及帶出來
[00:02:26.600 --> 00:02:28.000]  經過抗野四十年
[00:02:28.000 --> 00:02:29.300]  然後進迦南地
[00:02:29.300 --> 00:02:31.000]  一直帶領他們
[00:02:31.000 --> 00:02:33.900]  到了迦南地他們安居樂業了
[00:02:33.900 --> 00:02:35.300]  一代一代的過去
[00:02:35.300 --> 00:02:37.000]  就完全忘記了神
[00:02:37.000 --> 00:02:40.800]  也完全忘記了當初他們的上一代、上幾代
[00:02:40.800 --> 00:02:43.200]  和神立過約
[00:02:43.200 --> 00:02:44.600]  立約是什麼意思?
[00:02:44.600 --> 00:02:46.200]  約是一個關係
[00:02:46.200 --> 00:02:50.100]  以色列人這個整個民族和神很深的關係
[00:02:50.100 --> 00:02:52.300]  很深的關係,他們是屬於神的
[00:02:52.300 --> 00:02:53.500]  完全忘記了
[00:02:53.500 --> 00:02:56.400]  也忘記了他們要守摩西律法
[00:02:56.400 --> 00:02:57.900]  所有的事情都忘記了
[00:02:57.900 --> 00:03:00.000]  於是那個時代為什麼黑暗了?
[00:03:00.000 --> 00:03:02.000]  因為那些人亂來
[00:03:02.000 --> 00:03:03.800]  任意而為
[00:03:03.800 --> 00:03:07.000]  在這個時代怎麼亂來有兩個特點
[00:03:07.000 --> 00:03:09.100]  第一個特點就是
[00:03:09.100 --> 00:03:10.600]  當時是沒有真理的
[00:03:10.600 --> 00:03:13.100]  沒有規矩、沒有準則
[00:03:13.100 --> 00:03:16.400]  那些人怎麼沒有規矩、沒有真理、沒有準則呢?
[00:03:16.400 --> 00:03:17.900]  就是我喜歡做就做
[00:03:17.900 --> 00:03:20.700]  我like就做,不like就不做
[00:03:20.700 --> 00:03:23.700]  我喜歡做就做,我覺得對就做
[00:03:23.700 --> 00:03:25.400]  你的準則不同我的準則
[00:03:25.400 --> 00:03:27.000]  我的準則比你的準則準
[00:03:27.000 --> 00:03:28.600]  所以呢,就是這樣
[00:03:28.600 --> 00:03:30.100]  然後呢
[00:03:30.100 --> 00:03:31.600]  大家都有歪理的
[00:03:31.600 --> 00:03:32.800]  我有條道理
[00:03:32.800 --> 00:03:34.300]  自圓其說
[00:03:34.300 --> 00:03:35.700]  亂也咬直
[00:03:35.700 --> 00:03:37.600]  直也咬亂,怎樣都行
[00:03:37.600 --> 00:03:39.100]  這是第一個特點
[00:03:39.100 --> 00:03:40.200]  第二個特點是什麼呢?
[00:03:40.200 --> 00:03:42.100]  第二個特點是奇怪
[00:03:42.100 --> 00:03:44.000]  怎樣奇怪呢?
[00:03:44.000 --> 00:03:47.200]  當時呢
[00:03:47.200 --> 00:03:48.800]  神有摩西律法在
[00:03:48.800 --> 00:03:50.900]  摩西律法有一些規定
[00:03:50.900 --> 00:03:52.600]  就是每一個以色列人
[00:03:52.600 --> 00:03:55.100]  每年要三次去當時的敬拜中心
[00:03:55.100 --> 00:03:56.800]  當時是沒有耶路撒冷的
[00:03:56.800 --> 00:04:01.000]  當時的敬拜中心示羅那裡去敬拜神
[00:04:01.000 --> 00:04:02.600]  另外十誡第二條是什麼呢?
[00:04:02.600 --> 00:04:05.100]  不可以為自己雕刻偶像
[00:04:05.100 --> 00:04:06.300]  另外呢
[00:04:06.300 --> 00:04:08.500]  利未人、利未支派的人
[00:04:08.500 --> 00:04:11.000]  只能夠在神的會幕那裡侍奉神
[00:04:11.000 --> 00:04:12.600]  這三個規定
[00:04:12.600 --> 00:04:15.100]  但是當時的人不是這樣的
[00:04:15.100 --> 00:04:16.600]  有一個以色列人呢
[00:04:16.600 --> 00:04:17.400]  就很奇怪了
[00:04:17.400 --> 00:04:19.100]  你怎麼這麼煩啊
[00:04:19.100 --> 00:04:21.400]  一年長途拔事又要坐飛機
[00:04:21.400 --> 00:04:23.200]  又要坐高速火車去高鐵
[00:04:23.200 --> 00:04:26.400]  一年三次去示羅那裡拜神
[00:04:26.400 --> 00:04:27.700]  不用啦
[00:04:27.700 --> 00:04:29.400]  我就不同了
[00:04:29.400 --> 00:04:31.600]  我找Samuel
[00:04:31.600 --> 00:04:33.400]  在我家裡雕個偶像
[00:04:33.400 --> 00:04:34.600]  雕個公仔
[00:04:34.600 --> 00:04:35.200]  說這個呢
[00:04:35.200 --> 00:04:37.200]  這個叫耶和華
[00:04:37.200 --> 00:04:39.800]  你就要坐高鐵去拜神
[00:04:39.800 --> 00:04:41.900]  我就雕個公仔在這裡
[00:04:41.900 --> 00:04:45.000]  這個叫做耶和華
[00:04:45.000 --> 00:04:46.300]  在我家裡
[00:04:46.300 --> 00:04:48.900]  我個人私家神
[00:04:48.900 --> 00:04:49.900]  還有呢
[00:04:49.900 --> 00:04:50.600]  我又
[00:04:50.600 --> 00:04:51.500]  當時呢
[00:04:51.500 --> 00:04:52.400]  剛才提過
[00:04:52.400 --> 00:04:54.200]  那些利未支派的人
[00:04:54.200 --> 00:04:55.800]  只能在神的會幕那裡敬拜神
[00:04:55.800 --> 00:04:58.100]  不是我重金禮聘Donald
[00:04:58.100 --> 00:04:59.500]  什麼什麼大師
[00:04:59.500 --> 00:05:00.700]  重金禮聘
[00:05:00.700 --> 00:05:04.600]  他來做我私家利未人
[00:05:04.600 --> 00:05:08.100]  我家裡家族的祭師
[00:05:08.100 --> 00:05:10.200]  如果這樣就不同了
[00:05:10.200 --> 00:05:12.900]  你們一年只去拜三次
[00:05:12.900 --> 00:05:13.900]  我就彈性很多
[00:05:13.900 --> 00:05:15.600]  flexible很多
[00:05:15.600 --> 00:05:17.500]  我每天拜九次都可以
[00:05:17.500 --> 00:05:19.600]  一個禮拜拜一次都可以
[00:05:19.600 --> 00:05:21.700]  三個禮拜拜一次都可以
[00:05:21.700 --> 00:05:22.700]  不用一年三次
[00:05:22.700 --> 00:05:24.000]  我拜得密過你
[00:05:24.000 --> 00:05:25.200]  我又準過你
[00:05:25.200 --> 00:05:26.800]  又虔誠過你
[00:05:26.800 --> 00:05:28.600]  所以這個呢
[00:05:28.600 --> 00:05:29.400]  叫什麼呢
[00:05:29.400 --> 00:05:31.900]  將耶和華私有化
[00:05:31.900 --> 00:05:34.700]  因為私有化的耶和華在我家裡
[00:05:34.700 --> 00:05:36.200]  我怎樣拜都可以
[00:05:36.200 --> 00:05:38.200]  我喜歡用什麼形式拜都可以
[00:05:38.200 --> 00:05:40.600]  拜多少次都可以
[00:05:40.600 --> 00:05:41.700]  這個不知多好
[00:05:41.700 --> 00:05:43.000]  好過你們
[00:05:43.000 --> 00:05:44.500]  這個叫奇力
[00:05:44.500 --> 00:05:46.800]  將耶和華私有化
[00:05:46.800 --> 00:05:48.400]  第二個奇力是什麼呢
[00:05:48.400 --> 00:05:52.400]  第二個奇力就是一個人帶他的妾侍遠行
[00:05:52.400 --> 00:05:53.700]  去到一個地方
[00:05:53.700 --> 00:05:57.100]  有一群人圍著他們住的地方
[00:05:57.100 --> 00:05:58.000]  你出來
[00:05:58.000 --> 00:06:01.000]  要跟他發生關係
[00:06:01.000 --> 00:06:03.100]  這個人就二話不說
[00:06:03.100 --> 00:06:07.300]  將他的妾侍拉到門口
[00:06:07.300 --> 00:06:08.200]  扔了出去
[00:06:08.200 --> 00:06:09.200]  關上門
[00:06:09.200 --> 00:06:10.700]  於是就被這群人強姦
[00:06:10.700 --> 00:06:12.300]  強姦到死為止
[00:06:12.300 --> 00:06:14.600]  不止這樣
[00:06:14.600 --> 00:06:16.200]  接著這個人走出來
[00:06:16.200 --> 00:06:17.200]  見到他死了
[00:06:17.200 --> 00:06:19.600]  就將他們的屍體斬開十二碌
[00:06:19.600 --> 00:06:22.600]  然後分給十二支派
[00:06:22.600 --> 00:06:23.700]  什麼意思呢
[00:06:23.700 --> 00:06:26.200]  請你幫我這個妾侍報仇
[00:06:26.200 --> 00:06:27.900]  怎樣奇力呢
