
[00:00:00.000 --> 00:00:02.000]  我哋今日會講羅馬書
[00:00:02.000 --> 00:00:04.000]  羅馬書好特別
[00:00:04.000 --> 00:00:06.000]  喺歷世歷代以來
[00:00:06.000 --> 00:00:09.000]  羅馬書一路影響緊
[00:00:09.000 --> 00:00:11.000]  整個基督教歷史
[00:00:11.000 --> 00:00:13.000]  整個信仰歷史
[00:00:13.000 --> 00:00:16.000]  因為佢影響咗實在太多太多嘅人
[00:00:16.000 --> 00:00:18.000]  包括奧古斯丁
[00:00:18.000 --> 00:00:20.000]  包括馬丁路德
[00:00:20.000 --> 00:00:22.000]  包括約翰衛斯理等等
[00:00:22.000 --> 00:00:24.000]  都因為透過羅馬書
[00:00:24.000 --> 00:00:26.000]  重新佢哋嘅生命
[00:00:26.000 --> 00:00:28.000]  佢哋嘅生命能夠得到復興
[00:00:28.000 --> 00:00:30.000]  以至教會能夠得著根深
[00:00:30.000 --> 00:00:32.000]  教會得著復興
[00:00:32.000 --> 00:00:34.000]  當我哋今日睇羅馬書嘅時候
[00:00:34.000 --> 00:00:37.000]  我哋的確要問一問
[00:00:37.000 --> 00:00:39.000]  究竟羅馬書講乜嘢
[00:00:39.000 --> 00:00:41.000]  大部分人
[00:00:41.000 --> 00:00:43.000]  一聽羅馬書大家都知
[00:00:43.000 --> 00:00:46.000]  羅馬書同迦太書都係講恩順清儀
[00:00:46.000 --> 00:00:49.000]  咁但係咩情況之下
[00:00:49.000 --> 00:00:52.000]  保羅會特登寫下
[00:00:52.000 --> 00:00:56.000]  羅馬書講恩順清儀呢個道理呢
[00:00:56.000 --> 00:00:58.000]  我哋睇一睇
[00:00:58.000 --> 00:01:00.000]  原來羅馬書十五章
[00:01:00.000 --> 00:01:02.000]  一開始已經講到明
[00:01:02.000 --> 00:01:05.000]  保羅點解寫信俾羅馬教會
[00:01:05.000 --> 00:01:07.000]  我哋一同讀好冇呀
[00:01:07.000 --> 00:01:10.000]  都唔使讀喇 慳番啲時間
[00:01:10.000 --> 00:01:12.000]  大家睇黃色字
[00:01:12.000 --> 00:01:14.000]  佢本來想去邊度
[00:01:14.000 --> 00:01:16.000]  西班牙
[00:01:16.000 --> 00:01:19.000]  但係佢可唔可以即刻去西班牙呢
[00:01:19.000 --> 00:01:21.000]  原來係第十五章第二十五節
[00:01:21.000 --> 00:01:23.000]  話畀我哋聽
[00:01:23.000 --> 00:01:25.000]  佢唔可以去得西班牙住喎
[00:01:25.000 --> 00:01:26.000]  去邊度先呀
[00:01:26.000 --> 00:01:28.000]  耶路撒冷
[00:01:28.000 --> 00:01:30.000]  原來佢收集咗係小亞細亞
[00:01:30.000 --> 00:01:33.000]  收集咗眾愛邦教會嘅奉獻
[00:01:33.000 --> 00:01:36.000]  要攞去耶路撒冷
[00:01:36.000 --> 00:01:39.000]  去完耶路撒冷之後跟住點呀
[00:01:39.000 --> 00:01:42.000]  先至係西班牙
[00:01:42.000 --> 00:01:45.000]  就即是話佢去耶路撒冷之前
[00:01:45.000 --> 00:01:48.000]  佢就寫下呢封嘅書信
[00:01:48.000 --> 00:01:50.000]  俾羅馬嘅教會
[00:01:50.000 --> 00:01:51.000]  點解呀
[00:01:51.000 --> 00:01:53.000]  我哋睇返呢幅嘅地圖
[00:01:53.000 --> 00:01:55.000]  因為呢個係嗰個當時候嘅地圖
[00:01:55.000 --> 00:01:57.000]  所以你見到呢
[00:01:57.000 --> 00:01:58.000]  叫西班牙
[00:01:58.000 --> 00:02:00.000]  大家如果熟識和合本呢
[00:02:00.000 --> 00:02:01.000]  就唔用西班牙
[00:02:01.000 --> 00:02:05.000]  因為嗰個時候亦叫西班牙
[00:02:05.000 --> 00:02:08.000]  保羅寫羅馬書嘅時候呢
[00:02:08.000 --> 00:02:11.000]  就係哥林多教會呢一度
[00:02:11.000 --> 00:02:13.000]  保羅佢幾次嘅行程呢
[00:02:13.000 --> 00:02:17.000]  就將福音傳遍小亞細亞伊達嘅地方
[00:02:17.000 --> 00:02:19.000]  係呢一度
[00:02:19.000 --> 00:02:21.000]  耶路撒冷係呢一度
