
[00:00:00.000 --> 00:00:03.000]  早晨各位會衆
[00:00:03.000 --> 00:00:04.120]  親愛的鼎姐妹
[00:00:04.120 --> 00:00:06.480]  我恭祝你們新年愉快
[00:00:06.480 --> 00:00:08.680]  陽年蒙福
[00:00:08.680 --> 00:00:11.440]  今天是年初四
[00:00:11.440 --> 00:00:15.720]  相信大家這幾天都非常繁忙
[00:00:15.720 --> 00:00:18.720]  忙着去招呼親朋戚友
[00:00:18.720 --> 00:00:20.840]  或者去親朋戚友的地方
[00:00:20.840 --> 00:00:22.040]  互相拜年
[00:00:22.040 --> 00:00:23.960]  分享美食等等
[00:00:23.960 --> 00:00:26.360]  雖然香港近幾十年
[00:00:26.360 --> 00:00:29.320]  越來越注重環保
[00:00:29.320 --> 00:00:33.720]  但是新年難免會使用利是封
[00:00:33.720 --> 00:00:36.040]  也難免在分享美食的時候
[00:00:36.040 --> 00:00:40.520]  用多了餐具或者紙巾等等
[00:00:40.520 --> 00:00:43.040]  即是機器的餐具和紙巾等等
[00:00:43.040 --> 00:00:46.400]  如果我們浪費紙張
[00:00:46.400 --> 00:00:48.960]  就覺得不是那麼好的話
[00:00:48.960 --> 00:00:53.600]  但如果我們浪費的是神的心意
[00:00:53.600 --> 00:00:57.040]  那就真是更加更加可惜
[00:00:57.040 --> 00:00:58.400]  剛纔龔牧師也說過
[00:00:58.400 --> 00:01:00.640]  今天除了是年初四之外
[00:01:00.640 --> 00:01:04.920]  也是基督教大齋祈的第一個主日
[00:01:04.920 --> 00:01:09.680]  大齋祈強調信徒要過一個簡樸的生活
[00:01:09.680 --> 00:01:14.600]  鼓勵信徒多作自省和反思
[00:01:14.600 --> 00:01:17.280]  今天我們會一起看看
[00:01:17.280 --> 00:01:19.840]  創世紀一個很重要的人物
[00:01:19.840 --> 00:01:21.280]  羅亞
[00:01:21.280 --> 00:01:22.840]  透過他的故事
[00:01:22.840 --> 00:01:27.440]  一起反思彩虹永惡
[00:01:27.440 --> 00:01:30.000]  盼望我們都被上帝提醒
[00:01:30.000 --> 00:01:33.560]  免得我們浪費了上帝的心意
[00:01:33.560 --> 00:01:40.520]  讓我們一起祈禱
[00:01:40.520 --> 00:01:44.120]  聖靈求你幫助我們
[00:01:44.120 --> 00:01:46.960]  先進入我們的心
[00:01:46.960 --> 00:01:50.200]  洗淨我們一切的不義
[00:01:50.200 --> 00:01:56.040]  讓我們能夠謙卑在你面前
[00:01:56.040 --> 00:01:58.400]  靠着你的智慧 恩典
[00:01:58.400 --> 00:02:01.520]  我們更加明白你自己的話語
[00:02:01.520 --> 00:02:06.960]  從而我們能夠不浪費你的心意
[00:02:06.960 --> 00:02:09.960]  盼望一會兒我們聽的 說的
[00:02:09.960 --> 00:02:13.360]  都能夠同蒙益傳
[00:02:13.360 --> 00:02:14.680]  祈禱 感恩
[00:02:14.680 --> 00:02:17.200]  直賴救主耶穌基督的聖名
[00:02:17.200 --> 00:02:21.920]  阿們
[00:02:21.920 --> 00:02:24.000]  今天我們的主角羅亞
[00:02:24.000 --> 00:02:28.480]  他在《創世紀》第五章的結尾登場
[00:02:28.480 --> 00:02:30.920]  他在《聖經》記載中
[00:02:30.920 --> 00:02:35.360]  最長壽的人是馬土撒拉的孫
[00:02:35.360 --> 00:02:36.880]  根據《聖經》記載
[00:02:36.880 --> 00:02:39.880]  羅亞是一名農夫
[00:02:39.880 --> 00:02:43.600]  他一共活了950年
[00:02:43.600 --> 00:02:46.400]  育有三個兒子
[00:02:46.400 --> 00:02:49.600]  叫冼、含和雅弗
[00:02:49.600 --> 00:02:51.800]  而更重要的是什麼呢
[00:02:51.800 --> 00:02:54.040]  就是《聖經》形容羅亞
[00:02:54.040 --> 00:02:57.240]  是一個與主同行的義人
[00:02:57.240 --> 00:02:59.280]  在他的世代當中
[00:02:59.280 --> 00:03:02.680]  他是一個完全的人
[00:03:02.680 --> 00:03:06.200]  雖然羅亞不是上帝創造的第一個人
[00:03:06.200 --> 00:03:08.800]  但是他也算是人類
[00:03:08.800 --> 00:03:10.480]  也就是我們的始祖
[00:03:10.480 --> 00:03:11.440]  爲什麼呢
[00:03:11.440 --> 00:03:14.960]  因爲根據《創世紀》第六章第十一節
[00:03:14.960 --> 00:03:18.880]  因着人類的敗壞和暴力
[00:03:18.880 --> 00:03:22.000]  耶和華上帝吩咐羅亞建造方舟
[00:03:22.000 --> 00:03:23.920]  帶領一對又一對的動物
[00:03:23.920 --> 00:03:25.680]  和他一家八口
[00:03:25.680 --> 00:03:28.240]  上了去方舟上面
[00:03:28.240 --> 00:03:32.000]  接着上帝就降下雨來
[00:03:32.000 --> 00:03:37.320]  唯獨在方舟裏面的生物能夠存留
[00:03:37.320 --> 00:03:40.680]  因爲雨足足下了40天
[00:03:40.680 --> 00:03:43.680]  除了方舟的生物之外
[00:03:43.680 --> 00:03:50.040]  所有的動物都被洪水毀滅了
[00:03:50.040 --> 00:03:53.080]  150天之後水開始退去了
[00:03:53.080 --> 00:03:55.280]  地也開始幹
[00:03:55.280 --> 00:04:00.000]  方舟上面的人和動物離開方舟
[00:04:00.000 --> 00:04:05.320]  世界的歷史揭開了新的一頁
[00:04:05.320 --> 00:04:10.120]  不知道大家對於這個故事熟不熟悉
[00:04:10.120 --> 00:04:12.480]  可能你都會聽過很多次
