
[00:00:00.000 --> 00:00:04.000]  好的,我要來跟各位分享一個訊息
[00:00:04.000 --> 00:00:10.000]  剛才我們說了,我們進入5782年
[00:00:10.000 --> 00:00:15.000]  那麼二是Beth,那麼一是Alpha
[00:00:15.000 --> 00:00:19.000]  為什麼說Alpha是指的是神呢?因為祂居首位
[00:00:19.000 --> 00:00:25.000]  另外呢,我們如果講神的英文名字或者希伯來文名字
[00:00:25.000 --> 00:00:32.000]  L下來全能神,或者是EL就是從AL出來的
[00:00:32.000 --> 00:00:34.000]  所以祂們是同一個資根
[00:00:34.000 --> 00:00:40.000]  所以這裡我特別要為我們進入一個新的一年
[00:00:40.000 --> 00:00:44.000]  我們要來為以色列禱告
[00:00:44.000 --> 00:00:50.000]  為猶太人祝福,為耶路撒冷求平安
[00:00:50.000 --> 00:00:54.000]  這是神的心意,好,讓我們來看為以色列禱告
[00:00:54.000 --> 00:01:00.000]  我們來念這一段經文是在羅馬書第一章
[00:01:00.000 --> 00:01:05.000]  它說,於是以色列全家都要得救
[00:01:05.000 --> 00:01:11.000]  如經上所記,必有一位救主從西安出來
[00:01:11.000 --> 00:01:15.000]  要消除雅各家的一切罪惡
[00:01:15.000 --> 00:01:19.000]  又說,我除去他們罪的時候
[00:01:19.000 --> 00:01:23.000]  這就是我與他們所立的約
[00:01:23.000 --> 00:01:29.000]  就著福音說,他們為你們的緣故是仇敵
[00:01:29.000 --> 00:01:35.000]  就著簡顯說,他們為列祖的緣故是蒙愛的
[00:01:35.000 --> 00:01:41.000]  因為神的恩賜和選擇是沒有後悔的
[00:01:41.000 --> 00:01:45.000]  好,我們就來這幾句話,我們來稍微解釋一下
[00:01:45.000 --> 00:01:48.000]  為什麼我們要為以色列禱告
[00:01:48.000 --> 00:01:50.000]  剛才我們也念了
[00:01:50.000 --> 00:01:59.000]  那麼神帶著他們,自從雅各回到他的迦南平原的時候
[00:01:59.000 --> 00:02:03.000]  在雅伯渡口跟神摔跤
[00:02:03.000 --> 00:02:07.000]  然後神要他改名字叫以色列
[00:02:07.000 --> 00:02:09.000]  意思是與神摔跤
[00:02:09.000 --> 00:02:15.000]  也就是說,這個名是不馴服的名,神都知道
[00:02:15.000 --> 00:02:18.000]  就像雅各一樣,鬼詐
[00:02:18.000 --> 00:02:22.000]  其實也反映我們人的鬼詐
[00:02:22.000 --> 00:02:27.000]  但是神他卻說,透過羅馬書保羅說
[00:02:27.000 --> 00:02:30.000]  但是以色列全家都要得救
[00:02:30.000 --> 00:02:32.000]  是不是
[00:02:32.000 --> 00:02:36.000]  他因為說必有一位救主從西安出來
[00:02:36.000 --> 00:02:40.000]  要消除雅各家的一切罪因惡
[00:02:40.000 --> 00:02:44.000]  所以在最後的時候,以色列全家要得救
[00:02:44.000 --> 00:02:52.000]  那麼那個時候,耶穌要來把這一切通通要把它更新了
[00:02:52.000 --> 00:02:54.000]  都要翻新了
[00:02:54.000 --> 00:03:00.000]  我們今年一直在強調積極恢復奮力更新
[00:03:00.000 --> 00:03:03.000]  倒不如神來的時候,耶穌再來的時候
[00:03:03.000 --> 00:03:06.000]  那個翻新可翻得更棒了
[00:03:06.000 --> 00:03:14.000]  所有的一切疼痛、死亡、悲哀、哭號都不在
[00:03:14.000 --> 00:03:16.000]  我們都歡歡喜喜快快樂樂
[00:03:16.000 --> 00:03:18.000]  我們都翻新了
[00:03:18.000 --> 00:03:21.000]  而以色列全家都要得救
[00:03:21.000 --> 00:03:25.000]  因為神說,我除去他們罪的時候
[00:03:25.000 --> 00:03:28.000]  就是我與他們所立的約
[00:03:28.000 --> 00:03:34.000]  就著福音說,他們為你們的緣故是仇敵
[00:03:34.000 --> 00:03:39.000]  就著簡選說,他們為列祖的緣故是蒙愛的
[00:03:39.000 --> 00:03:43.000]  因為殺耶穌的也是他們
[00:03:43.000 --> 00:03:47.000]  但是神卻眷顧他們
[00:03:47.000 --> 00:03:49.000]  就好像有的時候我們講
[00:03:49.000 --> 00:03:53.000]  我們被簡選,我們蒙愛
[00:03:53.000 --> 00:03:55.000]  我們將來能夠上天堂
[00:03:55.000 --> 00:03:57.000]  不是因為我們做得多好
[00:03:57.000 --> 00:04:00.000]  是因為他的簡選
[00:04:00.000 --> 00:04:04.000]  因他的恩賜,是他的蒙愛
[00:04:04.000 --> 00:04:09.000]  因為神的恩賜和選招是沒有後悔的
[00:04:09.000 --> 00:04:15.000]  神知道我們人會吃分別善惡術的果子
[00:04:15.000 --> 00:04:18.000]  或者叫做智慧術的果子
[00:04:18.000 --> 00:04:22.000]  但是難道他不要我們跟他一樣聰明嗎?
[00:04:22.000 --> 00:04:25.000]  要,但是我們卻吃了
[00:04:25.000 --> 00:04:28.000]  得到的是屬地的聰明
[00:04:28.000 --> 00:04:31.000]  卻沒有得到屬天的聰明
[00:04:31.000 --> 00:04:34.000]  就是敬畏耶和華是智慧的開端
[00:04:34.000 --> 00:04:38.000]  那就是吃生命術的結果,果子的結果
[00:04:38.000 --> 00:04:41.000]  那麼我們有了敬畏耶和華
[00:04:41.000 --> 00:04:44.000]  我們自然也就有屬地的智慧
[00:04:44.000 --> 00:04:48.000]  但是我們的始祖卻扯了那一步
[00:04:48.000 --> 00:04:53.000]  直接就跳到這個想要吃智慧術的果子
[00:04:53.000 --> 00:04:56.000]  得到屬地的智慧
[00:04:56.000 --> 00:05:00.000]  自以為聰明,但是卻違背了神
[00:05:00.000 --> 00:05:02.000]  卻犯了許多的罪孽過犯
[00:05:02.000 --> 00:05:04.000]  到了今天世界變成這個樣子
[00:05:04.000 --> 00:05:06.000]  但是神沒有後悔
[00:05:06.000 --> 00:05:11.000]  神知道人會犯罪,人會背逆祂
[00:05:11.000 --> 00:05:14.000]  但是祂仍然以祂的慈愛
[00:05:14.000 --> 00:05:16.000]  祂說我以永遠的愛,愛你們
[00:05:16.000 --> 00:05:21.000]  我與你們立約,我帶你們回到祂的家裡面
[00:05:21.000 --> 00:05:24.000]  這是神祂對我們的應許
[00:05:24.000 --> 00:05:25.000]  感謝神,讚美神
[00:05:25.000 --> 00:05:29.000]  所以我們要為以色列禱告
[00:05:29.000 --> 00:05:32.000]  尤其在現今這個世代
[00:05:32.000 --> 00:05:37.000]  我們知道以色列在中東的世界
[00:05:37.000 --> 00:05:41.000]  就好像一直跟巴勒斯坦人
[00:05:41.000 --> 00:05:45.000]  或者是其他的巴比倫人
[00:05:45.000 --> 00:05:47.000]  或者是波斯人處不來
[00:05:47.000 --> 00:05:51.000]  一直以來都處不好,都有問題
[00:05:51.000 --> 00:05:57.000]  但是神說祂要再一次要來帶領以色列人
[00:05:57.000 --> 00:06:02.000]  祂要讓以色列人因為祂的愛
[00:06:02.000 --> 00:06:05.000]  還有祂的恩賜和選擇
[00:06:05.000 --> 00:06:07.000]  沒有後悔
[00:06:07.000 --> 00:06:10.000]  我們也都蒙福了
[00:06:10.000 --> 00:06:11.000]  哈雷略,讚美神
[00:06:11.000 --> 00:06:13.000]  所以要為以色列禱告
[00:06:13.000 --> 00:06:16.000]  讓這個事情早早地發生
[00:06:16.000 --> 00:06:19.000]  讓以色列全家得以得救
[00:06:19.000 --> 00:06:21.000]  哈雷略,讚美神
[00:06:21.000 --> 00:06:26.000]  那麼我們也要為猶太人祝福
