
[00:00:00.000 --> 00:00:03.240]  主耶穌在世上最後的一個星期裡
[00:00:03.240 --> 00:00:05.560]  就是聖周Holy Week
[00:00:05.560 --> 00:00:11.080]  也是生命說宣教網絡預俯期40天零修
[00:00:11.080 --> 00:00:13.760]  今天來到第24天了
[00:00:13.760 --> 00:00:15.480]  第24個題目
[00:00:15.480 --> 00:00:18.800]  由40個角度來看主耶穌
[00:00:18.800 --> 00:00:22.360]  主耶穌給我的感動就是叫做「我主我神」
[00:00:22.360 --> 00:00:23.800]  用這個名字
[00:00:23.800 --> 00:00:27.840]  主耶穌真是我們的主 又真是我們的神
[00:00:27.840 --> 00:00:32.360]  來到祂在地上最後的一個星期
[00:00:32.360 --> 00:00:34.920]  有很多事情都很重要的
[00:00:34.920 --> 00:00:38.200]  如果你留意我現在說到第八樣
[00:00:38.200 --> 00:00:42.280]  其實有些事情以前我們都可能比較少留意
[00:00:42.280 --> 00:00:46.320]  原來都是很重要 而且是很經典的
[00:00:46.320 --> 00:00:50.520]  譬如今天看這個題目的經文
[00:00:50.520 --> 00:00:56.160]  我就在想聖周說的第八樣就是像天使一樣
[00:00:56.160 --> 00:01:01.080]  我們都很擔心 也真是有不少的信徒問過我的
[00:01:01.080 --> 00:01:05.040]  將來是怎樣的?在天國裡面的時候是怎樣的?
[00:01:05.040 --> 00:01:09.200]  在天堂是怎樣的?我還認不認得我太太的?
[00:01:09.200 --> 00:01:11.840]  到時她還是不是我太太的?
[00:01:11.840 --> 00:01:20.120]  當然也有些人問 就是會不會見到我很疼愛
[00:01:20.120 --> 00:01:26.840]  不過已經是離開了那隻狗、那隻貓 很有趣的
[00:01:26.840 --> 00:01:32.520]  那些暫時不說了 說一下像天使一樣
[00:01:32.520 --> 00:01:37.240]  我們看看這段經文吧 我們先祈禱
[00:01:37.240 --> 00:01:43.160]  天父我們在這個時候要俯伏讚美祢
[00:01:43.160 --> 00:01:49.320]  來到祢面前個人的敬拜 將祢高舉 尊崇祢
[00:01:49.320 --> 00:01:52.960]  祢佩得敬拜 佩受榮耀
[00:01:52.960 --> 00:01:56.040]  因為看到將來的時候 原來是祢自己
[00:01:56.040 --> 00:02:00.880]  重新完全掌管這個世界 其實今天祢都在掌管
[00:02:00.880 --> 00:02:06.880]  不過祢暫且讓我們在這個魔鬼撒旦的手下
[00:02:06.880 --> 00:02:14.520]  受鍛鍊、受培訓 又是祢有祢的原因
[00:02:14.520 --> 00:02:19.440]  讓這個魔鬼在世上有祂的作為一段日子
[00:02:19.440 --> 00:02:24.400]  不過今天我們的上主 在黑雲之上仍然掌權
[00:02:24.400 --> 00:02:31.400]  我們仰望等候祢 從耿古到永遠只有祢是上帝
[00:02:31.400 --> 00:02:36.360]  祢掌握著萬物 祢創造 祢維持 祢審判
[00:02:36.360 --> 00:02:41.480]  祢引進永恆之中 我們有這位主跟隨
[00:02:41.480 --> 00:02:46.360]  實在太感恩 太美滿了 太美好了
[00:02:46.360 --> 00:02:52.160]  更加感謝的是耶和華雖高 仍然看顧低微的人
[00:02:52.160 --> 00:02:56.760]  祢自己提拔了我們 叫我們成為祢的兒女
[00:02:56.760 --> 00:03:00.680]  可以挺胸昂首 恩信被稱為義人
[00:03:00.680 --> 00:03:06.680]  是祢兒子無比救贖的功勞 讚美上主
[00:03:06.680 --> 00:03:10.040]  主啊 我真是在這個地方多謝祢
