
[00:00:00.000 --> 00:00:03.120]  首先多謝陳康牧師邀請我
[00:00:03.120 --> 00:00:04.740]  我記得二十五年前
[00:00:04.740 --> 00:00:09.040]  我在浙北省立院讀學碩士的時候
[00:00:09.040 --> 00:00:10.500]  他就是我的老師
[00:00:10.500 --> 00:00:13.580]  轉眼都好像是比較好讀書
[00:00:13.580 --> 00:00:15.020]  時間過得很快
[00:00:15.020 --> 00:00:19.100]  其實我首先證明
[00:00:19.100 --> 00:00:20.260]  我和大家一樣
[00:00:20.260 --> 00:00:22.900]  我不是牧師也不是隧道人
[00:00:22.900 --> 00:00:25.120]  雖然我有機會在省立院讀書
[00:00:25.120 --> 00:00:27.260]  我和大家一樣都是要賺錢的
[00:00:27.260 --> 00:00:29.000]  就是要賺真銀
[00:00:29.000 --> 00:00:31.200]  而且有時覺得賺錢賺得不夠
[00:00:31.200 --> 00:00:32.320]  就想多些辦法
[00:00:32.320 --> 00:00:35.200]  所以今天和大家點的題目
[00:00:35.200 --> 00:00:38.400]  叫做賺得比錢更加多
[00:00:38.400 --> 00:00:42.800]  大家來這個下午不單是吃一餐飯
[00:00:42.800 --> 00:00:45.640]  當然是想聽一些秘金
[00:00:45.640 --> 00:00:48.300]  不過今早好像股市又跌了一點
[00:00:48.300 --> 00:00:52.180]  大家的財富又好像二萬零四、四百元
[00:00:52.180 --> 00:00:54.280]  那有些甚麼比錢更加值錢呢
[00:00:54.280 --> 00:00:56.640]  就是你願意用錢去買的東西
[00:00:56.640 --> 00:00:57.440]  那些是值錢的
[00:00:57.440 --> 00:00:59.440]  隨時覺得股票值錢
[00:00:59.440 --> 00:01:00.640]  於是就買股票
[00:01:00.640 --> 00:01:03.540]  樓值錢你就買樓
[00:01:03.540 --> 00:01:06.240]  其實我講一點以前
[00:01:06.240 --> 00:01:08.240]  剛才我和幾位朋友聊天
[00:01:08.240 --> 00:01:09.340]  他們都知道
[00:01:09.340 --> 00:01:10.600]  今天來吃這餐飯
[00:01:10.600 --> 00:01:12.600]  除了是朋友邀請你們來之外
[00:01:12.600 --> 00:01:16.400]  都知道有一個講員
[00:01:16.400 --> 00:01:20.600]  會和大家分享一些信仰上的一些經歷
[00:01:20.600 --> 00:01:23.500]  所以我都會將我自己
[00:01:23.500 --> 00:01:25.500]  一直在賺錢的過程裏面
[00:01:25.500 --> 00:01:28.200]  在信仰上面的一些經歷
[00:01:28.200 --> 00:01:29.800]  都和大家分享一下
[00:01:29.800 --> 00:01:31.400]  在座的可能都未必是個個
[00:01:31.400 --> 00:01:32.400]  雖然在中環區
[00:01:32.400 --> 00:01:36.400]  都未必個個是每天都要耕苦的
[00:01:36.400 --> 00:01:38.400]  來拼搏賺很多錢
[00:01:38.400 --> 00:01:41.400]  可能有些是做一些你的工作
[00:01:41.400 --> 00:01:44.400]  可能是專業的人士
[00:01:44.400 --> 00:01:46.400]  我記得我讀書的時候
[00:01:46.400 --> 00:01:48.800]  其實我不是讀工商管理的
[00:01:48.800 --> 00:01:50.600]  後來我才讀工商管理
[00:01:50.600 --> 00:01:52.800]  我以前是讀物理系的
[00:01:52.800 --> 00:01:54.800]  我記得我入大學的時候
[00:01:54.800 --> 00:01:56.800]  我就是讀物理系
[00:01:56.800 --> 00:01:57.800]  是中文大學的
[00:01:57.800 --> 00:02:00.800]  中文大學物理系相當不錯
[00:02:00.800 --> 00:02:02.800]  那為什麼我會有機會信耶穌呢
[00:02:02.800 --> 00:02:04.800]  其實很簡單
[00:02:04.800 --> 00:02:08.800]  我們覺得自己學校的物理系這麼厲害
[00:02:08.800 --> 00:02:13.800]  於是有幾個諾貝爾的得獎的物理學家
[00:02:13.800 --> 00:02:15.800]  都是在中大那裏教書的
[00:02:15.800 --> 00:02:17.800]  於是我就研究一下
[00:02:17.800 --> 00:02:19.800]  究竟這些這麼厲害的科學家
[00:02:19.800 --> 00:02:21.800]  他們懂些什麼呢
[00:02:21.800 --> 00:02:24.800]  他們是追求些什麼呢
[00:02:24.800 --> 00:02:26.800]  在一個很偶然的機會
