
[00:00:00.000 --> 00:00:01.060]  平安啊!各位!
[00:00:01.060 --> 00:00:06.840]  好高興今天可以和大家再次分享上帝的信息
[00:00:06.840 --> 00:00:10.440]  在聖經當中有寫到
[00:00:10.440 --> 00:00:13.180]  「你們要成為聖潔,因為我是聖潔的。」
[00:00:13.180 --> 00:00:16.000]  「你們要聖潔,因為我是聖潔。」
[00:00:16.000 --> 00:00:17.520]  「Because I am holy。」
[00:00:17.520 --> 00:00:19.680]  來自《利未記》的一個經文
[00:00:19.680 --> 00:00:22.480]  也是這個系列的一個主題
[00:00:22.480 --> 00:00:25.600]  透過這個主題當然希望鼓勵大家
[00:00:25.600 --> 00:00:28.040]  在生活當中有一個聖潔的生活
[00:00:28.720 --> 00:00:30.680]  但是我不知道大家有沒有去嘗試
[00:00:30.680 --> 00:00:33.960]  去活出這個聖潔的生活的時候
[00:00:33.960 --> 00:00:36.120]  有一種很大的壓力
[00:00:36.120 --> 00:00:37.600]  我不知道大家有沒有這樣的經歷
[00:00:37.600 --> 00:00:40.960]  或者可能在當中我們面對有很多事情
[00:00:40.960 --> 00:00:45.920]  令到我們覺得很難去繼續走出這個聖潔的生活
[00:00:45.920 --> 00:00:50.160]  今天我就想和大家去看看
[00:00:50.160 --> 00:00:53.360]  其實活出聖潔這個生活可以有多大壓力
[00:00:53.360 --> 00:00:55.720]  那我們要怎樣去面對
[00:00:55.720 --> 00:00:58.200]  也是我想和大家去看的一樣東西
[00:00:58.920 --> 00:01:00.440]  今天的主題《Be Holy》
[00:01:00.440 --> 00:01:03.720]  在思想經文之前讓我們先作一個祈禱
[00:01:03.720 --> 00:01:07.160]  親愛的天父,感謝你
[00:01:07.160 --> 00:01:09.960]  今天我們可以在這裡一起敬拜
[00:01:09.960 --> 00:01:12.720]  我們可以在這裡一起讚美你
[00:01:12.720 --> 00:01:17.360]  而這個時刻我們也有一個機會去思想你的壞語
[00:01:17.360 --> 00:01:18.560]  幫助我們
[00:01:18.560 --> 00:01:20.040]  幫助我們去明白
[00:01:20.040 --> 00:01:22.080]  幫助我們去理解你的心意
[00:01:22.080 --> 00:01:26.400]  也幫助我們懂得怎麼去實踐在我們的生命當中
[00:01:26.800 --> 00:01:28.920]  願主帶領,奉主耶穌聖名祈求
[00:01:28.920 --> 00:01:29.640]  Amen
[00:01:29.640 --> 00:01:30.600]  好
[00:01:30.600 --> 00:01:34.040]  我想邀請大家一起讀今天的經文
[00:01:34.040 --> 00:01:37.880]  其實今天的經文本身應該是《十無二記》下的六章
[00:01:37.880 --> 00:01:38.920]  一到二十三節
[00:01:38.920 --> 00:01:40.920]  但現在不會讀完二十三節
[00:01:40.920 --> 00:01:44.360]  我只是想和大家一起讀一到十節
[00:01:44.360 --> 00:01:45.040]  即是頭到十節
[00:01:45.040 --> 00:01:47.440]  有兩張圖片,我們一同去中讀
[00:01:47.440 --> 00:01:49.000]  好,一二三起
[00:01:49.000 --> 00:01:54.440]  大衛由聚集二食列中所有挑選的人三萬
[00:01:54.880 --> 00:01:59.120]  大衛起身率領爭取他的中人前往
[00:01:59.120 --> 00:02:03.560]  要從巴拉郵帶將神的藥櫃運來
[00:02:03.560 --> 00:02:10.120]  這藥櫃就是坐在二基路八上萬君子耶和華留名的藥櫃
[00:02:10.120 --> 00:02:16.440]  他們將神的藥櫃從江上阿比拿達的家裡抬出來
[00:02:16.440 --> 00:02:18.360]  放在新車上
[00:02:18.360 --> 00:02:24.680]  阿比拿達的兩個兒子烏撒和亞希約趕著新車
[00:02:25.520 --> 00:02:31.680]  他們將神的藥櫃從江上阿比拿達的家裡抬出來的時候
[00:02:31.680 --> 00:02:34.920]  亞希約在櫃前行走
[00:02:34.920 --> 00:02:39.480]  大衛和二食列的全家在耶和華面前
[00:02:39.480 --> 00:02:47.640]  用松木製成的樂器和琴、琢、鼓、琶、鑼作樂跳舞
[00:02:47.640 --> 00:02:50.560]  到了那座和祥
[00:02:50.920 --> 00:02:56.600]  因為牛膝前蹄烏撒就伸手呼上藥櫃
[00:02:56.600 --> 00:02:59.880]  神耶和華向烏撒發怒
[00:02:59.880 --> 00:03:02.240]  因這錯誤擊殺他
[00:03:02.240 --> 00:03:05.200]  他就死在神的藥櫃旁
