
[00:00:00.000 --> 00:00:08.000]  有一個盲眼的女孩,雖然一無所有,但有一個很愛她的男朋友
[00:00:08.000 --> 00:00:12.000]  有一天,這個男朋友對這個女孩說
[00:00:12.000 --> 00:00:19.000]  「如果有一天你的眼睛康復,你可以嫁給我嗎?」
[00:00:19.000 --> 00:00:22.000]  這個女孩一口答應了
[00:00:22.000 --> 00:00:26.000]  不久之後,這個女孩真的得到一個機會
[00:00:26.000 --> 00:00:29.000]  可以移植新的眼角膜
[00:00:29.000 --> 00:00:34.000]  而且手術很成功,她很快就恢復視力
[00:00:34.000 --> 00:00:41.000]  她翻閱之後,才發現原來她的男朋友也是盲眼的
[00:00:41.000 --> 00:00:45.000]  之後,她的男朋友向她求婚
[00:00:45.000 --> 00:00:50.000]  不過,這個女孩拒絕了
[00:00:50.000 --> 00:00:55.000]  這個男孩知道女朋友不再愛他
[00:00:55.000 --> 00:00:58.000]  所以他就離開
[00:00:58.000 --> 00:01:03.000]  但在他離開之前,她說了一句話
[00:01:03.000 --> 00:01:08.000]  「好好照顧我雙眼」
[00:01:08.000 --> 00:01:16.000]  相信大家都知道,這個女孩的新眼角膜是從哪裡來的
[00:01:16.000 --> 00:01:21.000]  這個男孩為了自己所愛的人,犧牲自己的眼角膜
[00:01:21.000 --> 00:01:27.000]  但這個女孩在恢復視力之後,她嫌棄這個男朋友
[00:01:27.000 --> 00:01:31.000]  這是一個哀怨動人的愛情故事
[00:01:31.000 --> 00:01:34.000]  在聖經裏面也有一個很特別的愛情故事
[00:01:34.000 --> 00:01:40.000]  這個故事不是虛構,是真真實實地發生在何西雅身上
[00:01:40.000 --> 00:01:47.000]  何西雅書記載了何西雅這段破鏡重圓的婚姻
[00:01:47.000 --> 00:01:52.000]  她娶的是一個水性楊花的女子,名叫戈滅
[00:01:52.000 --> 00:01:55.000]  戈滅為她生了三個兒女
[00:01:55.000 --> 00:01:59.000]  後來雄幸出場,與情夫私奔
[00:01:59.000 --> 00:02:06.000]  不過戈滅這一段新的戀情,是不能夠天長地久
[00:02:06.000 --> 00:02:09.000]  維持了一段時間之後,她被情夫拋棄
[00:02:09.000 --> 00:02:15.000]  最後何西雅不記前言,主動地去找戈滅
[00:02:15.000 --> 00:02:23.000]  與他重修舊好,重新接納這個曾經對她不忠的妻子
[00:02:23.000 --> 00:02:28.000]  讀何西雅書的時候,我們會有一些疑問
[00:02:28.000 --> 00:02:32.000]  我在這裏會和大家去處理兩個問題
[00:02:32.000 --> 00:02:37.000]  第一個問題,就是為什麼神要吩咐何西雅去娶淫婦呢?
[00:02:37.000 --> 00:02:41.000]  這個的確是令人費解的,我們一起來讀
[00:02:41.000 --> 00:02:45.000]  耶和華初次與何西雅說話,對她說
[00:02:45.000 --> 00:02:51.000]  你去娶淫婦為妻,也收那從淫亂所生的兒女
[00:02:51.000 --> 00:02:55.000]  因為這地大行淫亂,離棄耶和華
[00:02:55.000 --> 00:03:01.000]  形容淫婦的淫字,與形容兒女的淫亂其實是同一個字
[00:03:01.000 --> 00:03:08.000]  可以解作淫亂的行為,也可以解作有淫亂的性質,或者有淫亂的傾向
[00:03:08.000 --> 00:03:16.000]  所以這裏所說的妻子,可能有淫亂,也有淫亂的傾向
[00:03:16.000 --> 00:03:21.000]  但是那些兒女那麼小,應該不能有淫亂的行為
[00:03:21.000 --> 00:03:25.000]  所以應該是指他們有淫亂的傾向
[00:03:25.000 --> 00:03:28.000]  在舊約的《利未記》說得很清楚
[00:03:28.000 --> 00:03:36.000]  祭司不可以娶離婚婦人,也不可以娶寡婦或妓女為妻
[00:03:36.000 --> 00:03:42.000]  為什麼神要出爾反爾,要何西雅娶淫婦為妻呢?
[00:03:42.000 --> 00:03:46.000]  要看這個問題,我們先要了解當時的背景
[00:03:46.000 --> 00:03:49.000]  何西雅是以色列國的先知
[00:03:49.000 --> 00:03:54.000]  她大概是在耶羅邦安二世末期的時候開始做先知
[00:03:54.000 --> 00:03:59.000]  直到以色列國亡國為止
[00:03:59.000 --> 00:04:06.000]  耶羅邦安二世在位期間,國家算是太平,政治上算是穩定,經濟繁榮
[00:04:06.000 --> 00:04:10.000]  不過社會上有很多不公平的現象
[00:04:10.000 --> 00:04:18.000]  所以在何西雅書裡責備以色列人貪贓枉法,很多屈枉正直的事
[00:04:18.000 --> 00:04:25.000]  而在宗教上,以色列人也只是維持外表的宗教儀式
[00:04:25.000 --> 00:04:29.000]  但是失去了信仰的內涵
[00:04:29.000 --> 00:04:35.000]  並且他們隨從迦南人去拜當地很多偶像
[00:04:35.000 --> 00:04:39.000]  其中他們最喜歡拜的偶像就是巴力
[00:04:39.000 --> 00:04:42.000]  相信巴力是掌管風雨的,掌管繁殖的
[00:04:42.000 --> 00:04:50.000]  拜他可以有豐富的修成,可以有豐厚的家財,有開枝散葉
[00:04:50.000 --> 00:04:54.000]  而巴力敬拜是充滿很多淫亂的行為
[00:04:54.000 --> 00:04:59.000]  所以以色列人也因此變得淫亂敗壞
[00:04:59.000 --> 00:05:05.000]  很多以色列人的女子都不能夠保持貞潔
[00:05:05.000 --> 00:05:08.000]  所以除非何西雅不娶
[00:05:08.000 --> 00:05:13.000]  他娶妻時,妻子是不貞潔的
[00:05:13.000 --> 00:05:16.000]  其實在當時是相當普遍的
[00:05:16.000 --> 00:05:24.000]  另外我們也可以從何西雅書的結構了解神給他的吩咐
[00:05:24.000 --> 00:05:27.000]  整卷何西雅書可以分為兩大部分
[00:05:27.000 --> 00:05:29.000]  第一部分是一至三節
[00:05:29.000 --> 00:05:32.000]  剛才我們已經讀了當中的兩章
[00:05:32.000 --> 00:05:35.000]  第一至三章,我們讀了一和三章
[00:05:35.000 --> 00:05:38.000]  第二部分是四至十四章
[00:05:38.000 --> 00:05:42.000]  這個可以說是講道集
[00:05:42.000 --> 00:05:48.000]  第一和第三章是用傳記的方式來寫成
[00:05:48.000 --> 00:05:53.000]  記載何西雅的家庭所發生的事
[00:05:53.000 --> 00:05:59.000]  而第二章可以說是第二部分的一個撮要
[00:05:59.000 --> 00:06:06.000]  第二章和第二部分的四至十四章是互相呼應的訊息
[00:06:06.000 --> 00:06:09.000]  而我們在讀這本書的時候
[00:06:09.000 --> 00:06:16.000]  也必須透過第一部分所講的破碎家庭來了解第二部分
[00:06:16.000 --> 00:06:22.000]  否則第二部分的十一章聖經就會變得訊息空洞
[00:06:22.000 --> 00:06:27.000]  同樣,我們讀第一部分的時候
[00:06:27.000 --> 00:06:33.000]  也必須透過第二部分的十一章來了解何西雅的家庭悲劇
[00:06:33.000 --> 00:06:38.000]  否則何西雅所經歷的就失去意義
[00:06:38.000 --> 00:06:41.000]  既然第一章是用傳記的方式來寫
[00:06:41.000 --> 00:06:46.000]  我們可以想像何西雅經過了若干的時日
[00:06:46.000 --> 00:06:49.000]  才寫這段聖經
[00:06:49.000 --> 00:06:55.000]  她當時回首前塵,經過很多反省
[00:06:55.000 --> 00:06:59.000]  明白到耶和華要她娶的是一個怎樣的女人
[00:06:59.000 --> 00:07:04.000]  也明白到她所生的兒女是怎樣的人
