
[00:00:00.000 --> 00:00:04.000]  各位電影節目,今日分享的題目是一根刺的恩典
[00:00:04.000 --> 00:00:08.000]  在講到開始的時候,和大家分享一個故事
[00:00:08.000 --> 00:00:12.000]  有一隻大型的郵輪著火,即將沉沒了
[00:00:12.000 --> 00:00:16.000]  裡面有一個很英勇的拯救人員
[00:00:16.000 --> 00:00:22.000]  但是他在危急之下,要同一時間帶三個人離開船艙
[00:00:22.000 --> 00:00:26.000]  大家看到了,離開下一個船艙,走上甲板等待救援
[00:00:26.000 --> 00:00:31.000]  這三位人士分別是一個三歲的小朋友
[00:00:31.000 --> 00:00:35.000]  第二位是十六歲的少年人
[00:00:35.000 --> 00:00:39.000]  第三位是五十歲的大叔
[00:00:39.000 --> 00:00:44.000]  我不是歧視大叔,我差不多到這個歲數了
[00:00:44.000 --> 00:00:49.000]  三個年紀,三位人士
[00:00:49.000 --> 00:00:53.000]  但是結果很不幸
[00:00:53.000 --> 00:01:00.000]  三個之中,只有一個能夠逃出生天
[00:01:00.000 --> 00:01:03.000]  為什麼呢?
[00:01:03.000 --> 00:01:07.000]  你猜猜是誰?
[00:01:07.000 --> 00:01:10.000]  我們舉手試一下意思
[00:01:10.000 --> 00:01:12.000]  三歲的小朋友,請舉手
[00:01:12.000 --> 00:01:15.000]  你認為是三歲的小朋友逃出生天的?
[00:01:15.000 --> 00:01:16.000]  OK,好
[00:01:16.000 --> 00:01:20.000]  少年人,十六歲,年青力壯
[00:01:20.000 --> 00:01:21.000]  OK,好
[00:01:21.000 --> 00:01:24.000]  五十歲,人生經歷豐富
[00:01:24.000 --> 00:01:27.000]  好,都有
[00:01:27.000 --> 00:01:30.000]  好,當然每個人有不同的想法,是不是?
[00:01:30.000 --> 00:01:36.000]  那我一會兒再告訴你們,究竟哪一個在這個故事裡面能夠逃出生天
[00:01:36.000 --> 00:01:40.000]  今天我們講題是一斤次的因典
[00:01:40.000 --> 00:01:42.000]  一斤次的因典
