
[00:00:00.000 --> 00:00:04.000]  首先讓我們到天父的面前禱告
[00:00:04.000 --> 00:00:07.000]  全永生的上帝,我們感謝祢
[00:00:07.000 --> 00:00:10.000]  祢是那位選招我們的神
[00:00:10.000 --> 00:00:12.000]  主啊,祢說是我選招你們
[00:00:12.000 --> 00:00:14.000]  分派你們去接果汁
[00:00:14.000 --> 00:00:17.000]  主啊,願祢與我們同在
[00:00:17.000 --> 00:00:20.000]  是我們受教的靈,聆聽的耳
[00:00:20.000 --> 00:00:23.000]  能夠讓我們在祢的庚前
[00:00:23.000 --> 00:00:25.000]  等候、學習
[00:00:25.000 --> 00:00:27.000]  主啊,讓祢真的
[00:00:27.000 --> 00:00:31.000]  祢的喜樂滿滿的充滿我們
[00:00:31.000 --> 00:00:33.000]  讓我們侍奉有力
[00:00:33.000 --> 00:00:35.000]  搶救靈魂
[00:00:35.000 --> 00:00:37.000]  而且維繫祢的國的緣故
[00:00:37.000 --> 00:00:39.000]  百善
[00:00:39.000 --> 00:00:42.000]  如此禱告,奉耶穌基督聖名而求
[00:00:42.000 --> 00:00:45.000]  剛剛讀這段經文啊
[00:00:45.000 --> 00:00:47.000]  真的讓我們看到
[00:00:47.000 --> 00:00:49.000]  主是那位復活的主
[00:00:49.000 --> 00:00:51.000]  那既然主是復活的主
[00:00:51.000 --> 00:00:53.000]  我們在座,我想
[00:00:53.000 --> 00:00:55.000]  蠻多的一定是
[00:00:55.000 --> 00:00:57.000]  認識這位復活的主
[00:00:57.000 --> 00:00:59.000]  你對復活的主
[00:00:59.000 --> 00:01:01.000]  他這一份的喜樂
[00:01:01.000 --> 00:01:04.000]  真的能夠在你日常生活當中
[00:01:04.000 --> 00:01:06.000]  能夠發揮出來嗎
[00:01:06.000 --> 00:01:08.000]  我們看到剛剛讀的這段經文
[00:01:08.000 --> 00:01:11.000]  瑪利亞她在主耶穌復活的那個清晨
[00:01:11.000 --> 00:01:13.000]  她到主的面前
[00:01:13.000 --> 00:01:15.000]  她去尋找主
[00:01:15.000 --> 00:01:17.000]  就在那個地方
[00:01:17.000 --> 00:01:19.000]  她認識一點
[00:01:19.000 --> 00:01:21.000]  這是一個特別的早餐
[00:01:21.000 --> 00:01:23.000]  這個早上呢
[00:01:23.000 --> 00:01:25.000]  是一個驚天動地的
[00:01:25.000 --> 00:01:27.000]  我們可能回想到昔日
[00:01:27.000 --> 00:01:30.000]  當耶穌誕生的那一天
[00:01:30.000 --> 00:01:34.000]  同樣是一個驚天動地的
[00:01:34.000 --> 00:01:37.000]  在野地牧羊的牧者
[00:01:37.000 --> 00:01:39.000]  牧人
[00:01:39.000 --> 00:01:42.000]  能夠聯想到
[00:01:42.000 --> 00:01:44.000]  神的應許
[00:01:44.000 --> 00:01:46.000]  有一嬰孩為你們而誕生
[00:01:46.000 --> 00:01:48.000]  那今天呢
[00:01:48.000 --> 00:01:50.000]  當耶穌從死裡復活
[00:01:50.000 --> 00:01:52.000]  戰勝死亡的時候
