
[00:00:00.000 --> 00:00:04.680]  我們九龍城浸信會的地點都相當好
[00:00:04.680 --> 00:00:06.840]  因為對面就是法庭
[00:00:06.840 --> 00:00:08.900]  旁邊就是警察局
[00:00:08.900 --> 00:00:13.680]  相信警察都純粹在這裡出出入入
[00:00:13.680 --> 00:00:16.440]  我都見到很多軍裝的警察
[00:00:16.440 --> 00:00:20.760]  在阿加魯街這一段經常都見到他們
[00:00:20.760 --> 00:00:23.360]  見到這些軍裝警察
[00:00:23.360 --> 00:00:27.480]  其實他們背著相當重型的裝備
[00:00:27.480 --> 00:00:30.680]  大約一個軍裝警察 我問過我的班員
[00:00:30.680 --> 00:00:34.800]  他是女警 大約是二三十磅那麼重
[00:00:34.800 --> 00:00:38.680]  包括甚麼裝備呢 原來真的很多東西
[00:00:38.680 --> 00:00:42.740]  你見到可能有水樽在背後
[00:00:42.740 --> 00:00:47.400]  有伸縮的警棍 胡椒噴霧
[00:00:47.400 --> 00:00:50.120]  不過胡椒噴霧不知道放在哪裏
[00:00:50.120 --> 00:00:55.440]  手銬 急救包 對講機 手提電話
[00:00:55.440 --> 00:01:00.120]  當然他自己的銀包 電筒 記事冊
[00:01:00.120 --> 00:01:03.040]  或者抄牌的那些簿等等
[00:01:03.040 --> 00:01:08.200]  還有點三八阻鄰的手槍
[00:01:08.200 --> 00:01:11.680]  快速的上彈器等等等等
[00:01:11.680 --> 00:01:14.960]  他穿的那件衣服 穿的那雙鞋
[00:01:14.960 --> 00:01:19.840]  或者帽子都有防風 防雨
[00:01:19.840 --> 00:01:23.080]  那個裝備功能都是很好的
[00:01:23.080 --> 00:01:27.280]  另外就是如果是反恐特勤隊
[00:01:27.280 --> 00:01:30.960]  或者是機動部隊 或者是衝鋒隊
[00:01:30.960 --> 00:01:33.560]  他們的裝備是更加多
[00:01:33.560 --> 00:01:37.280]  而且可能是更加重
[00:01:37.280 --> 00:01:41.760]  有時候就說 如果他不用穿這些
[00:01:41.760 --> 00:01:45.440]  不用穿帶那麼多東西
[00:01:45.440 --> 00:01:49.360]  行不行呢 不需要全副軍裝
[00:01:49.360 --> 00:01:52.040]  不行的 因為其實每一天
[00:01:52.040 --> 00:01:54.120]  他們遇到不同的情況
[00:01:54.120 --> 00:01:55.920]  他們都要準備好
[00:01:55.920 --> 00:02:04.040]  以致他才能夠去處理
[00:02:04.040 --> 00:02:06.520]  突擊的情況出現
[00:02:06.520 --> 00:02:09.480]  今天跟大家要分享一個主題
[00:02:09.480 --> 00:02:13.400]  就是穿上神全副軍裝
[00:02:13.400 --> 00:02:16.400]  就在《義忽所書》第六章十至二十節
[00:02:16.400 --> 00:02:19.240]  或者這段經文其實大家都很熟悉
[00:02:19.240 --> 00:02:20.600]  我們再一次重溫
[00:02:20.600 --> 00:02:23.880]  究竟我們在今年年尾
[00:02:23.880 --> 00:02:25.640]  最後一個的主日
[00:02:25.640 --> 00:02:29.360]  我們要穿上全副軍裝去迎戰
[00:02:29.360 --> 00:02:31.760]  以致我們進入2019年
