
[00:00:00.000 --> 00:00:03.660]  今天編導呢?
[00:00:03.660 --> 00:00:05.220]  一起讀,1,2,3
[00:00:05.220 --> 00:00:06.960]  《我要打十個》
[00:00:06.960 --> 00:00:08.620]  誰說的?
[00:00:08.620 --> 00:00:09.220]  葉問?
[00:00:09.220 --> 00:00:12.160]  我沒聽過我師父說葉問說的
[00:00:12.160 --> 00:00:15.860]  《我要打十個》很明顯是葉問那套戲說的
[00:00:15.860 --> 00:00:17.720]  葉問這套戲
[00:00:17.720 --> 00:00:21.020]  很多人有看過,誰有看過的時候
[00:00:21.020 --> 00:00:22.920]  真的多謝大家支持
[00:00:22.920 --> 00:00:23.560]  為甚麼這樣說呢?
[00:00:23.560 --> 00:00:25.220]  身為葉問的徒孫
[00:00:25.220 --> 00:00:29.400]  我真的很感謝大家給我師公面子
[00:00:29.400 --> 00:00:31.160]  但這個當然不是我師公
[00:00:31.160 --> 00:00:33.300]  這個是甄子丹
[00:00:33.300 --> 00:00:34.820]  葉問是我師公
[00:00:34.820 --> 00:00:36.560]  但他有沒有說過我要打十個呢?
[00:00:36.560 --> 00:00:37.900]  我就不清楚
[00:00:37.900 --> 00:00:43.300]  但是葉問這套戲所表達的很多信息
[00:00:43.300 --> 00:00:48.420]  就是講到葉問是一個民族英雄
[00:00:48.420 --> 00:00:50.720]  他為了這個家仇國恨
[00:00:50.720 --> 00:00:53.920]  他就用詠春去驅趕敵人
[00:00:53.920 --> 00:00:55.360]  不只是這樣
[00:00:55.360 --> 00:00:59.620]  他在電影中是一個很有民族主義的人
[00:00:59.620 --> 00:01:03.800]  但我也要給大家一些正確的知識
[00:01:03.800 --> 00:01:10.260]  我師公在1949年來到香港
[00:01:10.260 --> 00:01:15.120]  他為何離開大陸,離開佛山這個地方
[00:01:15.120 --> 00:01:16.160]  去到香港
[00:01:16.160 --> 00:01:18.300]  原因就是那時候國共內戰
[00:01:18.300 --> 00:01:20.320]  1949年已經結束了
[00:01:20.320 --> 00:01:23.720]  因為他對當時的政權不太喜歡
[00:01:23.720 --> 00:01:28.460]  所以他在當時之後也開始有被逮捕的風氣
[00:01:28.460 --> 00:01:32.500]  當時之後就開始文化大革命
[00:01:32.500 --> 00:01:34.820]  文化大革命的時候他打算回去
[00:01:34.820 --> 00:01:36.400]  因為他老婆還在上面
[00:01:36.400 --> 00:01:38.960]  但是國共內戰結束了
[00:01:38.960 --> 00:01:41.100]  他就覺得政治氣候不行
[00:01:41.100 --> 00:01:43.020]  然後就去了香港
[00:01:43.020 --> 00:01:44.620]  然後文化大革命打算回去
[00:01:44.620 --> 00:01:45.860]  但是更糟糕
[00:01:45.860 --> 00:01:48.960]  他犯了武術人的兩個大忌
[00:01:48.960 --> 00:01:51.620]  所以他決定不回大陸,去了香港
[00:01:51.620 --> 00:01:55.000]  為甚麼呢?第一,他是一個功夫人
[00:01:55.000 --> 00:01:58.100]  功夫人其實在當時來講
[00:01:58.100 --> 00:02:02.120]  很多功夫人都是被批鬥後離開的
[00:02:02.120 --> 00:02:03.460]  很多人去了香港
[00:02:03.460 --> 00:02:05.500]  包括我爸爸螳螂的師父
[00:02:05.500 --> 00:02:06.960]  包括我師公葉問
[00:02:06.960 --> 00:02:09.460]  也有很多功夫人去了台灣
[00:02:09.460 --> 00:02:11.120]  所以台灣有一個名字
[00:02:11.120 --> 00:02:13.960]  我們叫「武術博物館」
[00:02:13.960 --> 00:02:16.360]  為甚麼呢?真的很可悲
[00:02:16.360 --> 00:02:19.900]  博物館好像覺得有很多武術人走到台灣
[00:02:19.900 --> 00:02:22.700]  但是因為中華大陸那時候
[00:02:22.700 --> 00:02:24.320]  那時候文化大革命
