
[00:00:00.000 --> 00:00:04.220]  「神的家,永生神的議會」
[00:00:04.220 --> 00:00:07.680]  嘩,議會,即是你是誰呀?
[00:00:07.680 --> 00:00:12.060]  你是公眾席的公眾呀?
[00:00:12.060 --> 00:00:16.080]  不是呀,你是這個議會的成員來的
[00:00:16.080 --> 00:00:20.080]  所以你跟隔壁那個,嘩,都不用競選就做了議員了
[00:00:20.080 --> 00:00:25.180]  是不是呀,很厲害呀,都不用唸街招
[00:00:25.180 --> 00:00:28.400]  喂,拍一下隔壁那個,真是議員來的
[00:00:28.400 --> 00:00:33.700]  真是議員來的,好,感謝主呀
[00:00:33.700 --> 00:00:37.800]  好,那我們就看下去,看下那個引言
[00:00:37.800 --> 00:00:40.000]  看下那個引言講什麼先
[00:00:40.000 --> 00:00:45.200]  好,引言,我為了要快點,又節省我的氣
[00:00:45.200 --> 00:00:48.000]  大家讀一下好不好呀,好,請
[00:00:48.000 --> 00:00:51.700]  「法會之神的家,與神的議會」
[00:00:51.700 --> 00:00:54.800]  「這兩個含義是正傳福音」
[00:00:54.800 --> 00:00:59.400]  「家政府之關係,議會自治理的意見」
[00:00:59.400 --> 00:01:02.600]  「我和就位的關係中未分別」
[00:01:02.600 --> 00:01:05.900]  清不清楚呀,即是說呢,如果你只是知道
[00:01:05.900 --> 00:01:10.200]  教會是神的家呢,是不夠整全的
[00:01:10.200 --> 00:01:13.600]  還要知道它是什麼,它是議會
[00:01:13.600 --> 00:01:16.200]  它是議會,這個議會有什麼目的呢
[00:01:16.200 --> 00:01:19.600]  這個目的其實是什麼呀,是訓練我們
[00:01:19.600 --> 00:01:24.600]  所以某程度上,這裡是一個什麼呀,訓練場來的
[00:01:24.600 --> 00:01:28.200]  是一個操練的場所來的,行不行
[00:01:28.200 --> 00:01:31.200]  行不行,行吧,好,得就下去了
[00:01:31.200 --> 00:01:34.400]  我們讀一段的聖經,一節聖經而已
[00:01:34.400 --> 00:01:36.200]  好,我們一起讀下,請
[00:01:36.200 --> 00:01:38.600]  「唐人廟三年一九」
[00:01:38.600 --> 00:01:43.200]  「紀勒海之路在神學家中當心若行」
[00:01:43.200 --> 00:01:46.200]  「這下就是永生神的教會」
[00:01:46.200 --> 00:01:49.200]  「真理的主著和禁忌」
[00:01:49.200 --> 00:01:53.200]  好,這個是上一次我們都用過的一節的經文
[00:01:53.200 --> 00:01:55.600]  感謝主呀,幸好主提醒我講下集
[00:01:55.600 --> 00:01:58.400]  不然我又會過了它
[00:01:58.400 --> 00:02:01.800]  因為以前年輕就記性很好
[00:02:01.800 --> 00:02:05.400]  現在就只記住舊時的事
[00:02:05.400 --> 00:02:08.600]  即是剛才講過的事已經忘記了,是不是
[00:02:08.600 --> 00:02:10.600]  即是,譬如我剛才跟他們說
[00:02:10.600 --> 00:02:12.600]  我一上台就會講給你聽
[00:02:12.600 --> 00:02:15.800]  我的狀況已經忘記了,一上來就講了,是不是
[00:02:15.800 --> 00:02:17.800]  好,多謝主呀,因為預備
[00:02:17.800 --> 00:02:22.400]  再要看,再要默想這節的聖經
[00:02:22.400 --> 00:02:28.400]  簡單些我用我們全部生活化聽得懂的說話
[00:02:28.400 --> 00:02:32.400]  如果萬一我有什麼事,即是保羅說
[00:02:32.400 --> 00:02:36.400]  即是在那裡拖拖拉拉,被一些東西阻住了
[00:02:36.400 --> 00:02:40.400]  很久都回不去提摩泰
[00:02:40.400 --> 00:02:46.000]  你現在看的那個定點教會,那個時候呢
[00:02:46.000 --> 00:02:49.600]  那你都可以知道,即是我寫給你的那些東西
[00:02:49.600 --> 00:02:52.200]  可以知道什麼呢,在神的家裡
[00:02:52.200 --> 00:02:55.200]  你應該怎樣指導他們過生活
[00:02:55.200 --> 00:02:58.200]  你當怎樣,即是指導他們過生活
[00:02:58.200 --> 00:03:02.400]  這個家就是永生上帝的什麼,議會
[00:03:02.400 --> 00:03:07.800]  因為他講了這個家,就是永生上帝的議會
[00:03:07.800 --> 00:03:12.200]  真理的柱石和根基是我這次的發現
[00:03:12.200 --> 00:03:16.600]  嘩,原來這句話的直譯可以這樣講的
[00:03:16.600 --> 00:03:21.000]  這個永生上帝的議會,這個神的家
[00:03:21.000 --> 00:03:22.800]  其實是什麼呢
[00:03:22.800 --> 00:03:31.200]  是正直、良善、健康、真實、靈性的柱頂
[00:03:31.200 --> 00:03:34.400]  嘩,厲不厲害
[00:03:34.400 --> 00:03:40.400]  即是說是支撐所有挺子妹
[00:03:40.400 --> 00:03:45.800]  屬靈生命,健康地成長,行不行
[00:03:45.800 --> 00:03:51.400]  所以神的家和神的議會,議會就是議事的那部分
[00:03:51.400 --> 00:03:55.400]  即是執行什麼,帶領和管理的那部分
[00:03:55.400 --> 00:03:57.600]  是不是,重要嗎,兩樣東西
[00:03:57.600 --> 00:04:01.600]  神的家就是吃喝,是不是,即是關係
[00:04:01.600 --> 00:04:06.800]  是不是,一起吃,一起玩,一起吃,對不對
[00:04:06.800 --> 00:04:11.000]  一起聊,但是還有一部分是議會
[00:04:11.000 --> 00:04:16.000]  議會這個字,如果你從希臘文講,它是來自雅典的
[00:04:16.000 --> 00:04:20.200]  即是公民社會裏面,所有的公民可以參與議會的
[00:04:20.200 --> 00:04:23.000]  但其實它有一個更遠遠的流長
[00:04:23.000 --> 00:04:30.600]  是和舊約裏面,耶和華的匯眾被召出來
[00:04:30.600 --> 00:04:32.600]  那裏是有關係的
[00:04:32.600 --> 00:04:35.600]  所以我們說,這個議會一方面
[00:04:35.600 --> 00:04:40.000]  我們是什麼,好像是神國度裏面的公民
[00:04:40.000 --> 00:04:42.000]  所以我們可以參加議會
[00:04:42.000 --> 00:04:48.600]  但另外一方面,我們是從那個被壓制的奴僕身份裏面
[00:04:48.600 --> 00:04:52.200]  被救贖出來,對不對
[00:04:52.200 --> 00:04:56.800]  所以你和我,生在神的家裏面
[00:04:56.800 --> 00:05:01.800]  其實是很豐富的,不只是一個樣子
[00:05:01.800 --> 00:05:06.200]  因為有議會,所以就有什麼,會有大會
[00:05:06.200 --> 00:05:13.000]  所以會有大會,某程度上是教會議會的呈現
[00:05:13.000 --> 00:05:18.000]  我就想問一下,這裏有多少人是參加會有大會的
[00:05:18.000 --> 00:05:21.000]  你是的,每一次有會有大會你都會參加的
[00:05:21.000 --> 00:05:24.000]  請舉手,真的不是很多
[00:05:24.000 --> 00:05:27.000]  有資格參加會有大會的請舉手
[00:05:27.000 --> 00:05:33.000]  嘩,真的是水瓜打什麼,狗不見一絕
[00:05:33.000 --> 00:05:36.000]  為什麼,因為你覺得議會不重要
[00:05:36.000 --> 00:05:39.000]  會有大會給你的感覺是什麼
[00:05:39.000 --> 00:05:44.000]  很煩的,他們說的那些我都不明白
[00:05:44.000 --> 00:05:48.000]  只是說那盤賬,唉,你不要說得這麼複雜
[00:05:48.000 --> 00:05:51.000]  你就告訴我今年有多少錢剩就行了,是不是
[00:05:51.000 --> 00:05:54.000]  或者你告訴我今年有多少錢欠就行了
[00:05:54.000 --> 00:05:59.000]  你說得這麼複雜,我都不知道你說什麼,對不對
[00:05:59.000 --> 00:06:04.000]  原來複雜是為了叫那些很複雜的人明白
[00:06:04.000 --> 00:06:08.000]  其實我們的內容是什麼,不過就害死了什麼
[00:06:08.000 --> 00:06:10.000]  簡單的,你和我
[00:06:10.000 --> 00:06:14.000]  其實說真的在教會這麼多年我都看不明白那盤賬
[00:06:14.000 --> 00:06:20.000]  我和你是一模一樣,但是你不要忘記我卜貼評是拿A的
[00:06:20.000 --> 00:06:24.000]  不是Absent,是Distinction,OK
[00:06:24.000 --> 00:06:29.000]  我真的不明白,哦,原來是要呈現得很專業
[00:06:29.000 --> 00:06:33.000]  這樣才算什麼,傻
[00:06:33.000 --> 00:06:36.000]  我們反不反對專業呢,不反對
[00:06:36.000 --> 00:06:43.000]  不過我很想請專業人士將什麼,將很專業的東西平民化
[00:06:43.000 --> 00:06:46.000]  這個才顯得出你的專業
[00:06:46.000 --> 00:06:49.000]  同意嗎,同意,好
[00:06:49.000 --> 00:06:52.000]  我們給所有專業人士一個掌聲
[00:06:52.000 --> 00:06:57.000]  鼓勵他們和我們一起落地,一起幫助我們平民化
[00:06:57.000 --> 00:06:59.000]  因為其實我們很平民
[00:06:59.000 --> 00:07:04.000]  所以無論你在哪一方面專業,你要記住,你要平民化
[00:07:04.000 --> 00:07:07.000]  你要扭低你自己才行,OK
[00:07:07.000 --> 00:07:09.000]  所以我們很開心
[00:07:09.000 --> 00:07:13.000]  如果這次講完之後,你能夠記住會有大會你一定要出席
[00:07:13.000 --> 00:07:16.000]  這樣都算什麼,成功
[00:07:16.000 --> 00:07:19.000]  你說我都沒聽完,我已經決定以後要出席了
[00:07:19.000 --> 00:07:22.000]  請你跟旁邊的人說,我會出席
[00:07:22.000 --> 00:07:28.000]  是不是,我會出席,原來是很重要的
[00:07:28.000 --> 00:07:32.000]  好,我們下去了,要不然講到十三點都還沒完
[00:07:32.000 --> 00:07:36.000]  OK,議會其實是角度治理的裝備站
[00:07:36.000 --> 00:07:38.000]  角度治理,為什麼呢
[00:07:38.000 --> 00:07:41.000]  它不只是一個地方教會
[00:07:41.000 --> 00:07:46.000]  因為神的家不只是地上地方教會定點性
[00:07:46.000 --> 00:07:49.000]  其實它有一個你看不見的領域,對不對
[00:07:49.000 --> 00:07:51.000]  是不是,好
[00:07:51.000 --> 00:07:56.000]  很簡單,你在新蒲崗這裡,在曼迪的十一樓
[00:07:56.000 --> 00:07:59.000]  你就沒辦法上去十二樓了,同意嗎
[00:07:59.000 --> 00:08:02.000]  那你不讓十二樓有一間教會群體在那裡嗎
[00:08:02.000 --> 00:08:04.000]  有一堆人,有的
[00:08:04.000 --> 00:08:06.000]  你見不見得到
[00:08:06.000 --> 00:08:08.000]  你知道,你見不到,對不對
[00:08:08.000 --> 00:08:12.000]  就是說超越天花板,超越牆
[00:08:12.000 --> 00:08:15.000]  你沒辦法超越,你就受限制了
[00:08:15.000 --> 00:08:17.000]  是不是,受限制了
[00:08:17.000 --> 00:08:19.000]  不過我們的思想可不可以超越
[00:08:19.000 --> 00:08:22.000]  可以,我們知道
[00:08:22.000 --> 00:08:26.000]  哦,十二樓有的,二十八樓有的,行不行
[00:08:26.000 --> 00:08:28.000]  我不知道有沒有二十八樓
