
[00:00:00.000 --> 00:00:03.740]  上個禮拜,應該是上次我講到的時候
[00:00:03.740 --> 00:00:06.160]  大家記不記得我們天國的八福
[00:00:06.160 --> 00:00:09.020]  講到是第六福
[00:00:09.020 --> 00:00:11.560]  今天是第七福,第六福講什麼?
[00:00:11.560 --> 00:00:14.580]  清心的人,好,我還記得
[00:00:14.580 --> 00:00:19.140]  上次我們講到這個清心的人有福料
[00:00:19.140 --> 00:00:22.180]  那如果大家記不記得
[00:00:22.180 --> 00:00:25.140]  這個清心可以包括了幾方面
[00:00:25.140 --> 00:00:27.960]  第一,叫做清潔的心,記得嗎?
[00:00:27.960 --> 00:00:30.480]  清潔的心我們不用罪
[00:00:30.480 --> 00:00:33.140]  來爛掉我們和神的關係
[00:00:33.140 --> 00:00:34.140]  第二個,有沒有人記得?
[00:00:34.140 --> 00:00:36.020]  Clean heart,第二個是什麼?
[00:00:36.020 --> 00:00:38.940]  Clear heart,這個叫做清潔的心
[00:00:38.940 --> 00:00:41.780]  清潔的心幫助我們能夠在人生當中
[00:00:41.780 --> 00:00:44.960]  知道什麼是我們真正的主
[00:00:44.960 --> 00:00:48.440]  很多時候我們被這些其他的東西
[00:00:48.440 --> 00:00:51.480]  引來了我們,離開了
[00:00:51.480 --> 00:00:54.380]  不知道誰是主,或者我們侍奉兩個主
[00:00:54.380 --> 00:00:57.100]  我們要有一個清潔的心
[00:00:57.100 --> 00:01:00.220]  我們就知道我們人生的目的
[00:01:00.220 --> 00:01:03.760]  和清楚的方向,以致我們事常將神擺在我們生命當中
[00:01:03.760 --> 00:01:05.940]  我們得見上帝
[00:01:05.940 --> 00:01:08.560]  第三個是什麼?有沒有人記得?
[00:01:08.560 --> 00:01:12.440]  清純的心,好,清純的心
[00:01:12.440 --> 00:01:15.220]  就是一個pure heart,就是我們有一個
[00:01:15.220 --> 00:01:18.620]  在信仰上面,在我們的道德上面
[00:01:18.620 --> 00:01:21.880]  在我們真的不要任何的假神
[00:01:21.880 --> 00:01:24.860]  我們唯有盡忠地來愛上帝
[00:01:24.860 --> 00:01:27.380]  有了這個清潔的心
[00:01:27.380 --> 00:01:29.860]  清純的心,清潔的心
[00:01:29.860 --> 00:01:33.220]  我們就發覺,原來我們有一個更加的
[00:01:33.220 --> 00:01:35.880]  見到神在我們生命當中的作爲
[00:01:35.880 --> 00:01:38.880]  也能夠在我們憑所做的一切裏面
[00:01:38.880 --> 00:01:41.900]  能夠清楚,原來我們有一個正確
[00:01:41.900 --> 00:01:44.980]  單純,和合神心意的動機
[00:01:44.980 --> 00:01:47.980]  所以我們再說
[00:01:47.980 --> 00:01:50.980]  來到第六個福的時候
