
[00:00:00.000 --> 00:00:02.000]  師父多謝你的恩典
[00:00:02.000 --> 00:00:05.000]  從頭到尾是恩典
[00:00:05.000 --> 00:00:08.000]  無論是逆境還是順境
[00:00:08.000 --> 00:00:10.000]  都是恩典
[00:00:10.000 --> 00:00:12.000]  我求你幫助我們在恩典裏面
[00:00:12.000 --> 00:00:14.000]  不要忘記
[00:00:14.000 --> 00:00:16.000]  如何善用我們的機會
[00:00:16.000 --> 00:00:18.000]  回報你的恩典
[00:00:18.000 --> 00:00:20.000]  我們特別在禱告當中
[00:00:20.000 --> 00:00:23.000]  不忘記在歐洲
[00:00:23.000 --> 00:00:25.000]  差不多近百年來
[00:00:25.000 --> 00:00:28.000]  最嚴寒的一個冬天
[00:00:28.000 --> 00:00:30.000]  那些仍然在海上
[00:00:30.000 --> 00:00:32.000]  掙扎著的難民
[00:00:32.000 --> 00:00:36.000]  在大海當中
[00:00:36.000 --> 00:00:38.000]  生死未卜的難民
[00:00:38.000 --> 00:00:40.000]  或者上了岸
[00:00:40.000 --> 00:00:42.000]  仍然沒有人
[00:00:42.000 --> 00:00:44.000]  去接濟他們
[00:00:44.000 --> 00:00:46.000]  救援他們
[00:00:46.000 --> 00:00:48.000]  這些難民
[00:00:48.000 --> 00:00:50.000]  或者世界各地
[00:00:50.000 --> 00:00:52.000]  是醫食都不足夠的
[00:00:52.000 --> 00:00:54.000]  那些貧民
[00:00:54.000 --> 00:00:56.000]  求你幫助我們
[00:00:56.000 --> 00:00:58.000]  開我們的眼
[00:00:58.000 --> 00:01:00.000]  讓我們看到他們在哪裏
[00:01:00.000 --> 00:01:02.000]  到不到的地方
[00:01:02.000 --> 00:01:04.000]  讓我們去禱告
[00:01:04.000 --> 00:01:06.000]  奉獻 支持
[00:01:06.000 --> 00:01:08.000]  到得到的地方
[00:01:08.000 --> 00:01:10.000]  讓我們心裏的溫暖
[00:01:10.000 --> 00:01:12.000]  熱力
[00:01:12.000 --> 00:01:14.000]  行動上
[00:01:14.000 --> 00:01:16.000]  我們的溫暖
[00:01:16.000 --> 00:01:18.000]  能夠直接帶到他們當中
[00:01:18.000 --> 00:01:20.000]  讓他們透過我們
[00:01:20.000 --> 00:01:22.000]  聽到福音
[00:01:22.000 --> 00:01:24.000]  認識到耶穌基督就是愛
[00:01:24.000 --> 00:01:26.000]  保守我們
[00:01:26.000 --> 00:01:28.000]  特別當我們
[00:01:28.000 --> 00:01:30.000]  紀念那些難民的時間
[00:01:30.000 --> 00:01:32.000]  我們都需要
[00:01:32.000 --> 00:01:34.000]  為他們來奉獻
[00:01:34.000 --> 00:01:36.000]  以致我們可以
[00:01:36.000 --> 00:01:38.000]  讓那些在前線
[00:01:38.000 --> 00:01:40.000]  服侍他們的頂智妹
[00:01:40.000 --> 00:01:42.000]  沒有後顧之憂的
