
[00:00:00.000 --> 00:00:06.540]  還跟弟兄姊妹一起來看亞伯拉罕的誓願第二部分
[00:00:06.540 --> 00:00:16.240]  上次我們講到亞伯拉罕在一生中間有很多的誓願
[00:00:16.240 --> 00:00:21.940]  我們在上一次已經是提到有三個
[00:00:21.940 --> 00:00:26.440]  第一個就是神呼召他從迦勒底的烏爾
[00:00:26.740 --> 00:00:31.100]  從迦勒底的地方出來到神所指示他的地方
[00:00:31.100 --> 00:00:33.900]  雖然他不知道往哪裏去
[00:00:33.900 --> 00:00:38.260]  他要離開自己的家 離開自己的地方
[00:00:38.260 --> 00:00:40.560]  但是他順服神
[00:00:40.560 --> 00:00:43.120]  這是對他一個誓願
[00:00:43.120 --> 00:00:46.200]  到底他能不能夠相信神的話
[00:00:46.200 --> 00:00:50.300]  第二個誓願就是他來到迦南以後
[00:00:50.300 --> 00:00:53.100]  他跟他的侄兒羅德在一起
[00:00:53.620 --> 00:00:56.940]  然後兩個人的生訓都很多
[00:00:56.940 --> 00:00:58.740]  地方就不夠用了
[00:00:58.740 --> 00:01:05.140]  這樣他的牧人 他們兩個人手下的放羊的人
[00:01:05.140 --> 00:01:07.180]  就彼此相爭了
[00:01:07.180 --> 00:01:12.820]  最後亞伯拉罕就跟羅德分開
[00:01:12.820 --> 00:01:13.840]  沒有相爭
[00:01:13.840 --> 00:01:16.660]  讓羅德先選的地方
[00:01:16.660 --> 00:01:18.700]  剩下的再給他
[00:01:19.220 --> 00:01:25.360]  這是對他一個誓願 到底你是看重你的財物 你的財產
[00:01:25.360 --> 00:01:30.220]  你的利益 還是看重弟兄中間的愛呢
[00:01:30.220 --> 00:01:31.760]  這是第二個誓願
[00:01:31.760 --> 00:01:34.580]  亞伯拉罕他經過這樣的誓願
[00:01:34.580 --> 00:01:44.040]  第三個誓願就是羅德被四個王聯軍所擄走了
[00:01:44.040 --> 00:01:48.400]  這個時候亞伯拉罕知道這個消息以後
[00:01:48.920 --> 00:01:50.700]  到底他去救不救
[00:01:50.700 --> 00:01:54.040]  如果他不去救 他自己就安全了
[00:01:54.040 --> 00:01:56.600]  因爲他的人很少
[00:01:56.600 --> 00:02:00.940]  怎麼能夠去勝過好幾個王的聯軍呢
[00:02:00.940 --> 00:02:04.280]  但他不顧自己的安危
[00:02:04.280 --> 00:02:09.400]  他愛別人 顧到別人的利益 勝過自己的利益
[00:02:09.400 --> 00:02:12.220]  所以這個他也經過這樣的誓願
[00:02:12.220 --> 00:02:18.620]  今天我們繼續要來看亞伯拉罕的其他幾個誓願
[00:02:19.900 --> 00:02:38.840]  第四個誓願就是在創世紀14章17節到24節
[00:02:39.100 --> 00:02:50.100]  我們先把創世紀第14章的22節到24節讀一下
[00:02:50.100 --> 00:02:52.160]  我們就選其中一部分
[00:02:52.160 --> 00:02:58.800]  我們一起來讀創世紀14章22到24節
[00:02:58.800 --> 00:03:04.700]  翻到以後我們一起來讀
[00:03:08.020 --> 00:03:09.300]  22節開始
[00:03:38.740 --> 00:03:40.800]  這個是第四個誓願
[00:03:40.800 --> 00:03:48.200]  這個誓願就是說到亞伯拉罕接受了神的祝福
[00:03:48.200 --> 00:03:50.520]  麥吉喜德給他祝福
[00:03:50.520 --> 00:04:00.500]  然後亞伯拉罕就把所得的十分之一獻給麥吉喜德
[00:04:00.500 --> 00:04:04.600]  但是後來索多瑪王要給他的財物
[00:04:04.860 --> 00:04:08.700]  說你的人口呢你打了聖上回來
[00:04:08.700 --> 00:04:11.260]  我的人口呢仍然你還給我
[00:04:11.260 --> 00:04:13.300]  財物呢你可以拿去
[00:04:13.300 --> 00:04:16.120]  那麼亞伯拉罕不要
[00:04:16.120 --> 00:04:18.420]  這個是對他也是個誓願
[00:04:18.420 --> 00:04:22.780]  那我們看看他回來的時候
[00:04:22.780 --> 00:04:27.900]  先遇到的是一個叫沙冷王
[00:04:27.900 --> 00:04:30.200]  沙冷就是在耶路撒冷這個地方
[00:04:30.200 --> 00:04:33.280]  那個時候一個王叫做麥吉喜德
[00:04:33.780 --> 00:04:39.660]  麥吉喜德呢在《創世紀》裏頭沒有講到他的身世
[00:04:39.660 --> 00:04:41.980]  沒有講到他所做的事情
[00:04:41.980 --> 00:04:45.040]  只是提過一次提過他的名字
[00:04:45.040 --> 00:04:47.340]  或者到詩篇裏頭也提過
[00:04:47.340 --> 00:04:50.680]  但到底他的來龍去脈他的身世
[00:04:50.680 --> 00:04:52.720]  就論裏頭沒有講
[00:04:52.720 --> 00:04:55.800]  那麼等到這個希伯來書呢
[00:04:55.800 --> 00:04:59.900]  新月希伯來書才提到麥吉喜德
[00:05:00.400 --> 00:05:05.520]  他是很尊貴的一個在當時是一個神的祭司
[00:05:05.520 --> 00:05:12.180]  那麥吉喜德當他見到亞伯拉罕的時候呢
[00:05:12.180 --> 00:05:15.760]  他就拿餅跟酒出來迎接他
[00:05:15.760 --> 00:05:19.340]  他是至高神的祭司
[00:05:19.340 --> 00:05:21.900]  他就爲亞伯拉罕祝福
[00:05:21.900 --> 00:05:27.540]  說願天地的主至高的神賜福給亞伯拉罕
[00:05:28.820 --> 00:05:34.440]  那麼這個地方我們看見這個麥吉喜德把這個
[00:05:34.440 --> 00:05:38.280]  這次亞伯拉罕能夠打勝仗
[00:05:38.280 --> 00:05:39.820]  功勞呢
[00:05:39.820 --> 00:05:42.380]  是歸給至高的神
[00:05:42.380 --> 00:05:44.940]  天地的主
[00:05:44.940 --> 00:05:47.240]  所以他就爲他祝福
[00:05:47.240 --> 00:05:51.860]  那亞伯拉罕呢就謙卑的接受這個祝福
[00:05:51.860 --> 00:05:55.960]  就是把所得的呢
[00:05:55.960 --> 00:05:58.500]  就十分之一就獻上
[00:05:59.800 --> 00:06:00.820]  但是呢
[00:06:00.820 --> 00:06:04.400]  他就把他榮耀歸給神
[00:06:04.400 --> 00:06:06.700]  這裏我們看見
[00:06:06.700 --> 00:06:13.100]  這個亞伯拉罕呢是接受這個麥吉喜德的祝福
[00:06:13.100 --> 00:06:18.740]  因爲麥吉喜德的祝福裏頭是把榮耀歸給神
[00:06:18.740 --> 00:06:23.340]  因爲他把亞伯拉罕這次能夠用
[00:06:23.340 --> 00:06:27.180]  不太多的人能夠打勝幾個王的聯軍
[00:06:27.440 --> 00:06:30.760]  那是功勞應該歸給神
[00:06:30.760 --> 00:06:32.820]  所以才把榮耀歸給神
[00:06:32.820 --> 00:06:36.920]  那麼亞伯拉罕呢就接受這個祝福
[00:06:36.920 --> 00:06:40.760]  把所得的十分之一來歸給他
[00:06:40.760 --> 00:06:43.820]  那就承認這個福
[00:06:43.820 --> 00:06:47.160]  這個所得到的福氣是從神來的
[00:06:51.260 --> 00:07:01.500]  這就講到這個麥吉喜德把得勝歸功於這個天地的主至高的神
