
[00:00:00.000 --> 00:00:05.000]  今日的題目,大家都有沒有留意到呢?
[00:00:05.000 --> 00:00:10.000]  聖靈與屬靈的恩賜
[00:00:10.000 --> 00:00:15.000]  今日再恢復講聖靈的訊息
[00:00:15.000 --> 00:00:19.000]  如我早前都曾經這樣講過
[00:00:19.000 --> 00:00:23.000]  感恩的,經過不同的禮拜之後
[00:00:23.000 --> 00:00:26.000]  來到今日,都可以再一次
[00:00:26.000 --> 00:00:33.000]  與弟兄姊妹講有關聖靈的訊息
[00:00:33.000 --> 00:00:35.000]  有一位浸會的傳道人
[00:00:35.000 --> 00:00:38.000]  信了主之後沒多久
[00:00:38.000 --> 00:00:42.000]  神就帶領他去神學院讀書
[00:00:42.000 --> 00:00:46.000]  在神學院接受神學裝備造就
[00:00:46.000 --> 00:00:50.000]  經過了幾年畢業
[00:00:50.000 --> 00:00:52.000]  由信主到畢業
[00:00:52.000 --> 00:00:56.000]  頭頭尾尾都有六七年
[00:00:56.000 --> 00:00:58.000]  不過呢,這位傳道人
[00:00:58.000 --> 00:01:01.000]  雖然經歷了六七年
[00:01:01.000 --> 00:01:03.000]  信了主六七年
[00:01:03.000 --> 00:01:06.000]  甚至有神學裝備都有好幾年
[00:01:06.000 --> 00:01:09.000]  但是這位傳道人
[00:01:09.000 --> 00:01:12.000]  對屬靈的恩賜
[00:01:12.000 --> 00:01:14.000]  其實不是很認識
[00:01:14.000 --> 00:01:17.000]  這位傳道人
[00:01:17.000 --> 00:01:20.000]  都是不認識屬靈的恩賜
[00:01:20.000 --> 00:01:23.000]  不過後來這位浸會的傳道人
[00:01:23.000 --> 00:01:26.000]  慢慢有機會他又出外去讀書
[00:01:26.000 --> 00:01:29.000]  去其他的外國的神學院
[00:01:29.000 --> 00:01:32.000]  不同的領域去涉獵
[00:01:32.000 --> 00:01:35.000]  慢慢慢慢他就留意到
[00:01:35.000 --> 00:01:38.000]  這個屬靈恩賜的課題
[00:01:38.000 --> 00:01:41.000]  而越來越覺得好重要
[00:01:41.000 --> 00:01:43.000]  甚至去到一個地步
[00:01:43.000 --> 00:01:46.000]  他覺得更加需要很認真的去
[00:01:46.000 --> 00:01:50.000]  看一看自己有什麼屬靈的恩賜
[00:01:50.000 --> 00:01:54.000]  所以他也有一些工具
[00:01:54.000 --> 00:01:57.000]  透過一些問卷
[00:01:57.000 --> 00:01:59.000]  要答很多的問題
[00:01:59.000 --> 00:02:01.000]  然後去整理出
[00:02:01.000 --> 00:02:05.000]  發現一下自己有什麼屬靈的恩賜
[00:02:05.000 --> 00:02:07.000]  結果經過了好幾年
[00:02:07.000 --> 00:02:10.000]  他越來越對這方面有認識
[00:02:10.000 --> 00:02:13.000]  越來越發現自己哪幾方面
[00:02:13.000 --> 00:02:15.000]  是有屬靈的恩賜
[00:02:15.000 --> 00:02:20.000]  他就更加懂得怎樣去為主來做事
[00:02:20.000 --> 00:02:22.000]  越來越侍奉有重點
[00:02:22.000 --> 00:02:26.000]  亦都服事起來歡欣愉快
[00:02:26.000 --> 00:02:29.000]  因為能夠運用自己的屬靈恩賜去服事
[00:02:29.000 --> 00:02:33.000]  通常充滿了喜樂
[00:02:33.000 --> 00:02:36.000]  不過當我們回顧一看這位傳道人
[00:02:36.000 --> 00:02:38.000]  大大話話地說
