
[00:00:00.000 --> 00:00:05.000]  好 弟兄姊妹平安 讓我們一起去祈禱
[00:00:05.000 --> 00:00:10.000]  最後我們謝謝你 因為你給我們一個這麼好的機會
[00:00:10.000 --> 00:00:15.000]  我們去聽你的說話 求主你的說話去幫助我們
[00:00:15.000 --> 00:00:19.000]  鼓勵我們 讓我們更加有力 能夠榮耀你
[00:00:19.000 --> 00:00:26.000]  帶領我們下來的時間 祈禱奉耶穌名字而求 阿們
[00:00:26.000 --> 00:00:31.000]  今天和大家去思考一個題目 叫做「侍奉的賞賜」
[00:00:31.000 --> 00:00:36.000]  當你期待著這些豐富的賞賜之先
[00:00:36.000 --> 00:00:40.000]  我們首先要熱身一下
[00:00:40.000 --> 00:00:43.000]  不知道大家有沒有見過這些東西
[00:00:43.000 --> 00:00:51.000]  有沒有見過 這些一塊塊磚頭 硬梆梆的 有個殼的
[00:00:51.000 --> 00:00:57.000]  重點就不是那個殼 就是裡面那張卡
[00:00:57.000 --> 00:01:01.000]  裡面這張卡 你知道我這張卡是私人的
[00:01:01.000 --> 00:01:04.000]  今天的道具 這個是私人珍藏
[00:01:04.000 --> 00:01:08.000]  你猜這張卡多少錢 美金當然是說美金
[00:01:08.000 --> 00:01:14.000]  十元三百 一百 有沒有 五十
[00:01:14.000 --> 00:01:19.000]  我賣給你三百那個 成交三百
[00:01:19.000 --> 00:01:27.000]  其實這張卡我買回來 應該是四十多元美金
[00:01:27.000 --> 00:01:30.000]  其實這張只是一張卡 一張紙
[00:01:30.000 --> 00:01:35.000]  我不知道你如果要給四十多五十元買一張卡 你覺得值不值
[00:01:35.000 --> 00:01:40.000]  可能對有些人來說 這些不值 不知道是什麼
[00:01:40.000 --> 00:01:46.000]  但是我想告訴你 其實這些卡 儲這些卡
[00:01:46.000 --> 00:01:50.000]  現在你是百萬富翁 億萬富翁
[00:01:50.000 --> 00:01:58.000]  為什麼這樣說 因為這張是最近拍賣的一張卡
[00:01:58.000 --> 00:02:01.000]  不知道你知不知道這是什麼
[00:02:01.000 --> 00:02:05.000]  這隻動物 中間黃色那隻叫比卡超
