
[00:00:00.000 --> 00:00:01.400]  請姐妹們平安
[00:00:01.400 --> 00:00:04.000]  我們一起祈禱一下
[00:00:04.000 --> 00:00:06.360]  天父感謝您的恩典
[00:00:06.360 --> 00:00:09.400]  讓我們在這一個星辰可以在這裡聚集
[00:00:09.400 --> 00:00:10.880]  在敬拜祢
[00:00:10.880 --> 00:00:12.880]  我們求聖靈帶領我們
[00:00:12.880 --> 00:00:15.960]  讓我們從您的話語裡面得著啟迪
[00:00:15.960 --> 00:00:19.400]  讓我們在人生的道路上得著帶領
[00:00:19.400 --> 00:00:21.240]  共耶穌基督裡面祈禱
[00:00:21.240 --> 00:00:21.800]  阿們
[00:00:21.800 --> 00:00:29.560]  這個月我們會思想《歌羅西書》
[00:00:30.000 --> 00:00:34.120]  《歌羅西書》只有四章
[00:00:34.120 --> 00:00:35.920]  這個月有四個主日
[00:00:35.920 --> 00:00:38.720]  每個主日我們會思想一章
[00:00:38.720 --> 00:00:43.360]  我們會以一個主題思想這本書
[00:00:43.360 --> 00:00:45.360]  就是「法輝恩慈」
[00:00:45.360 --> 00:00:48.720]  如果大家需要看廣宗就請你登陸
[00:00:48.720 --> 00:00:51.640]  今次的廣宗也有簡體字
[00:00:51.640 --> 00:00:55.040]  你在後面可以找到簡體字版
[00:00:55.040 --> 00:00:58.880]  我們教會的異象
[00:00:58.880 --> 00:01:01.840]  是終身作基督的門徒
[00:01:01.840 --> 00:01:04.360]  以因典和真理接觸世界
[00:01:04.360 --> 00:01:08.640]  單單有這個異象似乎是有點空洞的
[00:01:08.640 --> 00:01:13.160]  教會的領袖們構思了一個詳細一點
[00:01:13.160 --> 00:01:14.760]  以及具體一點的
[00:01:14.760 --> 00:01:18.640]  我叫它做「異象細說」的文件
[00:01:18.640 --> 00:01:20.600]  英文是Vision Script
[00:01:20.600 --> 00:01:22.120]  大家看到封面
[00:01:22.120 --> 00:01:25.360]  好像上個月到處都有得派的
[00:01:25.360 --> 00:01:26.880]  如果你還沒有拿
[00:01:26.880 --> 00:01:30.120]  你看到處都可以拿一份
[00:01:30.120 --> 00:01:34.280]  谷歌翻譯為「願景腳本」
[00:01:34.280 --> 00:01:37.160]  「腳本」其實就是「劇本」的意思
[00:01:37.160 --> 00:01:43.560]  一般來說異象很少是按著劇本式發展的
[00:01:43.560 --> 00:01:46.520]  所以我叫它做「細說」比較好
[00:01:46.520 --> 00:01:48.640]  這份文件是英文的
[00:01:48.640 --> 00:01:50.040]  我沒有翻成中文
[00:01:50.040 --> 00:01:53.840]  教會已經印刷了這個精美的小冊子
[00:01:53.840 --> 00:01:56.560]  歡迎大家拿回家慢慢讀
[00:01:56.560 --> 00:01:58.120]  如果你不會看英文
[00:01:58.120 --> 00:02:01.840]  現在可以拿Google谷歌翻譯
[00:02:01.840 --> 00:02:03.280]  就會翻譯完整了
[00:02:03.280 --> 00:02:04.560]  很容易的
[00:02:04.560 --> 00:02:06.400]  簡單來說
[00:02:06.400 --> 00:02:09.200]  我們希望任何人來到教會
[00:02:09.200 --> 00:02:11.280]  都首先會認定
[00:02:11.280 --> 00:02:15.560]  這個教會是它自己屬靈的家
[00:02:15.560 --> 00:02:19.400]  在這裡是做家人而不是做過客
