
[00:00:00.000 --> 00:00:04.280]  感謝天父讓我們今天能夠再一次聚集
[00:00:04.280 --> 00:00:08.120]  地上的學習敬拜侍奉
[00:00:08.120 --> 00:00:12.880]  是將來永恆中間敬拜侍奉的形象與影儀
[00:00:12.880 --> 00:00:14.880]  我們一同低頭禱告
[00:00:14.880 --> 00:00:16.400]  天父感謝祢
[00:00:16.400 --> 00:00:19.200]  祢讓萬事互相效力
[00:00:19.200 --> 00:00:22.200]  祢應許了讓愛祢的人得益處
[00:00:22.200 --> 00:00:24.280]  今天早上祢用祢的愛
[00:00:24.280 --> 00:00:26.760]  招聚祢的兒女到祢的面前
[00:00:26.760 --> 00:00:32.240]  讓我們的頌讚、感恩、奉獻
[00:00:32.240 --> 00:00:35.280]  以及我們在祢面前等候祢話語的心
[00:00:35.280 --> 00:00:37.080]  都能夠蒙祢月立
[00:00:37.080 --> 00:00:38.240]  求主賜福
[00:00:38.240 --> 00:00:39.440]  讓這個時刻
[00:00:39.440 --> 00:00:42.160]  我們口裡的言語、心裡的意念
[00:00:42.160 --> 00:00:44.840]  是蒙月立、蒙祢恩惠
[00:00:44.840 --> 00:00:46.240]  求祢垂聽禱告
[00:00:46.240 --> 00:00:48.040]  奉耶穌名字祈求
[00:00:48.040 --> 00:00:49.040]  好嗎?
[00:00:49.040 --> 00:00:50.840]  謝神
[00:00:50.840 --> 00:00:54.840]  2022年的年頭
[00:00:54.840 --> 00:00:57.840]  有機會和大家一起分享神話語
[00:00:57.840 --> 00:01:01.240]  我記得2020年的時候
[00:01:01.240 --> 00:01:04.640]  雖然我退休了
[00:01:04.640 --> 00:01:06.840]  但那次在聚會中
[00:01:06.840 --> 00:01:09.840]  跟大家讀過詩篇91篇
[00:01:09.840 --> 00:01:12.640]  我今天早上再讀一次
[00:01:12.640 --> 00:01:16.840]  他們說牧師讀來讀去都是那些說話
[00:01:16.840 --> 00:01:20.240]  因為我今天早上起床的時候
[00:01:20.240 --> 00:01:22.440]  我很早就醒了
[00:01:22.440 --> 00:01:27.040]  醒了之後,我還沒有起床
[00:01:27.040 --> 00:01:28.440]  聖經告訴我
[00:01:28.440 --> 00:01:31.040]  「晝夜思想耶華律法的」
[00:01:31.040 --> 00:01:32.440]  「這人便為有福」
[00:01:32.440 --> 00:01:34.640]  我也想做一個有福的人
[00:01:34.640 --> 00:01:36.040]  所以我早上起床之後
[00:01:36.040 --> 00:01:37.440]  我都不會想其他事情
[00:01:37.440 --> 00:01:40.040]  只會想今天要講道
[00:01:40.040 --> 00:01:41.640]  我隨即想了幾句金句
[00:01:41.640 --> 00:01:42.640]  一句金句就是
[00:01:42.640 --> 00:01:44.240]  「不要為明天憂慮」
[00:01:44.240 --> 00:01:47.240]  「因為一天的難處一天當就夠了」
[00:01:47.240 --> 00:01:49.440]  我告訴你,我也是有憂慮的人
[00:01:49.440 --> 00:01:50.240]  不是沒有的
[00:01:50.240 --> 00:01:52.840]  不過,你已經不能憂慮那麼多了
[00:01:52.840 --> 00:01:54.240]  是不是?
[00:01:54.240 --> 00:01:55.240]  說得難聽一點
[00:01:55.240 --> 00:01:57.040]  那裡很近,你憂慮什麼?
[00:01:57.040 --> 00:01:58.240]  是不是?
[00:01:58.240 --> 00:02:02.040]  所以,第二句話就是
[00:02:02.040 --> 00:02:03.240]  「應當一無掛慮」
[00:02:03.240 --> 00:02:05.840]  「只要凡事藉著禱告祈求」
[00:02:05.840 --> 00:02:11.840]  「只要凡事用感恩的心來禱告祈求」
[00:02:11.840 --> 00:02:15.440]  「將你所要的告訴神」
[00:02:15.440 --> 00:02:17.840]  「神賜出人意外的平安」
[00:02:17.840 --> 00:02:21.440]  「必在基督耶穌裡保守你的心懷意念」
[00:02:21.440 --> 00:02:24.640]  「必保守心懷意念」
[00:02:24.640 --> 00:02:27.040]  所以我相信今時今日
[00:02:27.040 --> 00:02:29.440]  表面上看來大家都好像很平靜
[00:02:29.440 --> 00:02:32.440]  但是可能裡面心裡是波濤洶湧的
[00:02:32.440 --> 00:02:33.240]  為什麼呢?
[00:02:33.240 --> 00:02:34.040]  兩個字
