
[00:00:00.000 --> 00:00:01.760]  真係天父上帝我哋感謝你
[00:00:01.760 --> 00:00:03.720]  因為今朝你帶領我哋
[00:00:03.720 --> 00:00:06.080]  可以返到主你嘅聖殿當中
[00:00:06.080 --> 00:00:07.520]  嚟敬拜你
[00:00:07.520 --> 00:00:08.560]  主佢哋感恩
[00:00:08.560 --> 00:00:10.080]  因為過去嘅日子
[00:00:10.080 --> 00:00:12.240]  你一路嘅保守帶領
[00:00:12.240 --> 00:00:13.080]  直到今日
[00:00:13.080 --> 00:00:15.920]  我哋都仍然可以站立喺你面前
[00:00:15.920 --> 00:00:17.960]  我哋仍然係可以信求你
[00:00:17.960 --> 00:00:19.640]  我哋感謝站為你
[00:00:19.640 --> 00:00:22.080]  主願意今朝我哋嘅敬拜
[00:00:22.080 --> 00:00:23.640]  真係能夠達到主你面前
[00:00:23.640 --> 00:00:25.480]  蒙主你自己嘅月立
[00:00:25.480 --> 00:00:27.280]  主仍然都願意
[00:00:27.280 --> 00:00:29.200]  我哋都可以謙卑嘅
[00:00:29.200 --> 00:00:30.680]  喺主你面前
[00:00:30.680 --> 00:00:33.160]  我哋去領受主你自己嘅華語
[00:00:33.160 --> 00:00:35.120]  願主你使用你嘅僕人
[00:00:35.120 --> 00:00:37.800]  你都使用佢所準備嘅訊息
[00:00:37.800 --> 00:00:40.760]  你令到我哋都可以一同嘅
[00:00:40.760 --> 00:00:41.960]  喺主你面前
[00:00:41.960 --> 00:00:43.440]  我哋受到詛咒
[00:00:43.440 --> 00:00:44.680]  受到建立
[00:00:44.680 --> 00:00:46.040]  求主你帶領我哋
[00:00:46.040 --> 00:00:47.960]  感謝你聽我哋禱告
[00:00:47.960 --> 00:00:49.720]  奉主耶穌基督的成名
[00:00:49.720 --> 00:00:51.080]  Amen
[00:00:51.080 --> 00:00:56.800]  上星期梁牧師就去北唐港督
[00:00:56.800 --> 00:00:59.400]  咁佢問咗一句說話
[00:00:59.400 --> 00:01:02.120]  今朝我都要問下大家
[00:01:02.120 --> 00:01:05.520]  大家開唔開心呀
[00:01:05.520 --> 00:01:08.040]  佢都係問呢句說話嘅啫
[00:01:08.040 --> 00:01:10.240]  同時佢問得好大聲嘅
[00:01:10.240 --> 00:01:14.200]  弟姐妹大家開唔開心呀
[00:01:14.200 --> 00:01:15.680]  學得似唔似呀
[00:01:15.680 --> 00:01:20.040]  其實你係咪真係開心先
[00:01:20.040 --> 00:01:21.640]  其實係開心嘅
[00:01:21.640 --> 00:01:23.560]  即係開心係好容易嘅
[00:01:23.560 --> 00:01:25.560]  開心係好簡單嘅
[00:01:25.560 --> 00:01:27.320]  人呢簡單啲
[00:01:27.320 --> 00:01:31.560]  唔好諗咁多無謂嘢呀
[00:01:31.560 --> 00:01:33.880]  太多複雜嘢呀
[00:01:33.880 --> 00:01:35.640]  你就會好開心㗎啦
