
[00:00:00.000 --> 00:00:05.900]  今日講的是上上起落的秘訣
[00:00:05.900 --> 00:00:10.080]  然後開心都有秘訣
[00:00:10.080 --> 00:00:13.500]  亦都是肥立秘書一個很重要的重點
[00:00:13.500 --> 00:00:15.420]  就是叫我們要起落
[00:00:15.420 --> 00:00:17.760]  我們每個人過年都是
[00:00:17.760 --> 00:00:22.060]  都是有一個很想的盼望
[00:00:22.060 --> 00:00:24.740]  如果不是我們不會常常提起後面的
[00:00:24.740 --> 00:00:28.260]  例如我們會祝人新年快甚麼
[00:00:28.260 --> 00:00:33.000]  落,我們不會祝人新年失落
[00:00:33.000 --> 00:00:35.180]  有沒有聽過,新年快樂,新年快樂
[00:00:35.180 --> 00:00:37.480]  他說,新年失落,新年失落
[00:00:37.480 --> 00:00:41.060]  如果有人這樣說,雜住,反彈
[00:00:41.060 --> 00:00:47.140]  不會的,我們會祝人笑口常開
[00:00:47.140 --> 00:00:51.080]  我們不會祝人,祝你今年傷心欲絕
[00:00:51.080 --> 00:00:53.180]  不會的,沒有的
[00:00:53.180 --> 00:00:55.140]  或者我們想人幸福快樂等等
[00:00:55.140 --> 00:00:56.700]  都是我們很想的
[00:00:56.700 --> 00:00:59.580]  亦都是我們生命純純想經歷的事
[00:00:59.580 --> 00:01:02.680]  有一首過年的歌,我們都很熟悉的
[00:01:02.680 --> 00:01:06.340]  叫做「年年歡樂」
[00:01:06.340 --> 00:01:07.380]  下一句吧
[00:01:07.380 --> 00:01:09.380]  (歡樂)
[00:01:09.380 --> 00:01:13.240]  嘩,很棒,給個掌聲給旁邊的人
[00:01:13.240 --> 00:01:16.540]  有沒有人未聽過這首歌,舉個手
[00:01:16.540 --> 00:01:19.580]  大家的年歲都差不多
[00:01:19.580 --> 00:01:22.220]  真的,年年都歡樂
[00:01:22.220 --> 00:01:25.020]  歡樂年年我們都想盼望的
[00:01:25.020 --> 00:01:28.380]  但怎樣可以呢?How?
[00:01:28.380 --> 00:01:31.180]  我們知道人生的確有起有跌的
[00:01:31.180 --> 00:01:35.060]  為甚麼可以,亦都怎樣才可以
[00:01:35.060 --> 00:01:38.980]  而聖經正正說我們要常常喜樂
[00:01:38.980 --> 00:01:40.720]  在《真年》裏面這樣提
[00:01:40.720 --> 00:01:45.780]  耶和華所賜的福是使人富足的
[00:01:45.780 --> 00:01:47.620]  但這句又未完
[00:01:47.620 --> 00:01:53.060]  他說「並不加上幼女」
[00:01:53.060 --> 00:01:54.060]  因為是神之的
[00:01:54.060 --> 00:01:56.980]  我們常常都在憂慮的狀態
[00:01:56.980 --> 00:02:01.820]  而上帝想賜予我們的生命是豐富的
[00:02:01.820 --> 00:02:04.540]  賜予我們的生命是喜樂的
[00:02:04.540 --> 00:02:05.980]  賜予我們的生命是足夠的
[00:02:05.980 --> 00:02:10.980]  但是我們往往就跌到憂慮的狀態
[00:02:10.980 --> 00:02:14.540]  所以上帝提醒我們並不加上憂慮
[00:02:14.540 --> 00:02:18.140]  但怎樣才可以並不加上憂慮
[00:02:18.140 --> 00:02:19.820]  究竟我們出錯了甚麼呢?
[00:02:19.820 --> 00:02:21.420]  有甚麼要修正呢?
[00:02:21.420 --> 00:02:24.140]  今天亦都會說這一節的聖經
[00:02:24.140 --> 00:02:26.660]  剛才師哥提到亦都非常出名的聖經
[00:02:26.660 --> 00:02:28.380]  我們一起讀,1,2,3
[00:02:28.380 --> 00:02:38.220]  「我靠著那加給我力量的凡事都能做」
[00:02:38.220 --> 00:02:41.180]  我們常常都有這樣祈禱
[00:02:41.180 --> 00:02:43.860]  特別當我們見到有人有困難
[00:02:43.860 --> 00:02:48.340]  我們祈禱「我靠著那加給我力量的凡事都能做」
[00:02:48.340 --> 00:02:50.380]  又或者我們很想順利,我們就這樣祈禱
[00:02:50.380 --> 00:02:52.340]  究竟這句話是說甚麼呢?
[00:02:52.340 --> 00:02:56.180]  說完之後,我們今晚去買六合彩
[00:02:56.180 --> 00:03:02.020]  買之前「我靠著那加給我力量的凡事都能做」
[00:03:02.020 --> 00:03:05.380]  今晚有沒有開六合彩呢?
[00:03:05.380 --> 00:03:07.740]  不知道就懂回答我了,知道嗎?
[00:03:07.740 --> 00:03:09.020]  怎知道呢?
[00:03:09.020 --> 00:03:12.420]  沒有理由你又不太懂回答我
[00:03:12.420 --> 00:03:13.740]  不知道又沒有
[00:03:13.740 --> 00:03:18.220]  究竟今天我們在這段聖經學了些甚麼呢?
[00:03:18.220 --> 00:03:22.980]  有一個教授,是哈佛大學的教授
[00:03:22.980 --> 00:03:24.420]  叫做Alvar Brooks
[00:03:24.420 --> 00:03:26.580]  他很有趣,他研究了一件事
[00:03:26.580 --> 00:03:28.460]  就是怎樣快樂
[00:03:28.460 --> 00:03:29.900]  怎樣快樂
[00:03:29.900 --> 00:03:31.980]  是一個管理的教授
[00:03:31.980 --> 00:03:33.300]  怎樣快樂
[00:03:33.300 --> 00:03:36.180]  而他反而很喜歡去研究
[00:03:36.180 --> 00:03:43.420]  他這次序列出九個他認為最有用的做法
[00:03:43.420 --> 00:03:45.340]  這九件事我都值得試試
[00:03:45.340 --> 00:03:49.500]  第一他說投資在家人和朋友身上
[00:03:49.500 --> 00:03:51.740]  因為他說研究清楚指出
[00:03:51.740 --> 00:03:54.140]  當人和人分享幸福
[00:03:54.140 --> 00:03:57.300]  投資在親密的關係身上
[00:03:57.300 --> 00:04:00.900]  我們會有一種幸福感
