
[00:00:00.000 --> 00:00:02.000]  親愛的姐妹,早安!
[00:00:02.000 --> 00:00:05.000]  很開心今天可以在此分享信息
[00:00:05.000 --> 00:00:07.000]  我們先有一個簡單的祈禱
[00:00:07.000 --> 00:00:09.000]  親愛的主,我們感謝祢
[00:00:09.000 --> 00:00:13.000]  因為是祢恩典,讓我們可以在這個地方親近祢
[00:00:13.000 --> 00:00:16.000]  求神祢讓我可以說得清楚
[00:00:16.000 --> 00:00:20.000]  更加重要的是神祢親自對我們每個人的生命說話
[00:00:20.000 --> 00:00:24.000]  讓我們有一個行道、一個迴轉、一個改變
[00:00:24.000 --> 00:00:26.000]  主,我們感謝祢,聽我們簡單的祈禱
[00:00:26.000 --> 00:00:28.000]  奉主名求,阿們
[00:00:28.000 --> 00:00:31.000]  開始之前,我想先說一個故事
[00:00:31.000 --> 00:00:33.000]  我們有一個泡泡看
[00:00:33.000 --> 00:00:36.000]  話說從前有一個獵人
[00:00:36.000 --> 00:00:39.000]  他去打獵,他去捉一些小鳥
[00:00:39.000 --> 00:00:42.000]  他靜靜雞,靜靜雞,靜雞雞
[00:00:42.000 --> 00:00:44.000]  去到一些小鳥旁邊
[00:00:44.000 --> 00:00:46.000]  他一殺,殺個網的時候
[00:00:46.000 --> 00:00:49.000]  嘩!一捉,就捉到十幾隻小鳥
[00:00:49.000 --> 00:00:51.000]  但是小鳥會飛
[00:00:51.000 --> 00:00:53.000]  這十幾隻小鳥就很害怕
[00:00:53.000 --> 00:00:56.000]  就一起向上飛,飛走了
[00:00:56.000 --> 00:00:59.000]  之後旁邊有個農夫看到
[00:00:59.000 --> 00:01:01.000]  就在笑這個獵人
[00:01:01.000 --> 00:01:03.000]  你都不懂事的,怎會這樣
[00:01:03.000 --> 00:01:05.000]  你跑得快那些小鳥
[00:01:05.000 --> 00:01:07.000]  他一飛就飛了很遠
[00:01:07.000 --> 00:01:09.000]  你怎樣追都追不到
[00:01:09.000 --> 00:01:12.000]  但是這個獵人就很淡定
[00:01:12.000 --> 00:01:14.000]  他就說,沒錯
[00:01:14.000 --> 00:01:16.000]  如果網裡面只有一隻小鳥
[00:01:16.000 --> 00:01:18.000]  我怎樣都追不到他
[00:01:18.000 --> 00:01:21.000]  但是網裡面有十幾隻小鳥
[00:01:21.000 --> 00:01:23.000]  我一定追到他
[00:01:23.000 --> 00:01:24.000]  為什麼呢?
[00:01:24.000 --> 00:01:27.000]  因為當這十幾隻小鳥一起走
[00:01:27.000 --> 00:01:29.000]  飛了上天,連網一起飛起的時候
[00:01:29.000 --> 00:01:31.000]  他們逃離了
[00:01:31.000 --> 00:01:33.000]  他們就想著回家
[00:01:33.000 --> 00:01:36.000]  但是這十幾隻小鳥住的地方不同
[00:01:36.000 --> 00:01:38.000]  可能有些住在西灣河
[00:01:38.000 --> 00:01:40.000]  有些住在太古城,有些住在寶林
[00:01:40.000 --> 00:01:42.000]  他們就朝著東南西北
[00:01:42.000 --> 00:01:44.000]  四個方向去分散
[00:01:44.000 --> 00:01:46.000]  結果你想像到
[00:01:46.000 --> 00:01:49.000]  在網裡面糾纏了一團,之後又散開
[00:01:49.000 --> 00:01:51.000]  結果他們又卡住在網裡
[00:01:51.000 --> 00:01:52.000]  掉到地上
[00:01:52.000 --> 00:01:56.000]  之後獵人就可以很輕易抓到小鳥
[00:01:56.000 --> 00:01:59.000]  這個故事讓我們知道什麼呢?
[00:01:59.000 --> 00:02:01.000]  就是讓我們知道
[00:02:01.000 --> 00:02:03.000]  我們長大了,不要做農夫
[00:02:03.000 --> 00:02:04.000]  要去做獵人
[00:02:04.000 --> 00:02:05.000]  說笑的
[00:02:05.000 --> 00:02:07.000]  這個故事讓我們知道
[00:02:07.000 --> 00:02:09.000]  當我們有不同的方向
[00:02:09.000 --> 00:02:11.000]  我們的群體裡面
[00:02:11.000 --> 00:02:13.000]  有不同的方向的時候
[00:02:13.000 --> 00:02:15.000]  我們很容易停滯不前
[00:02:15.000 --> 00:02:18.000]  唯有我們有一個共同的方向
[00:02:18.000 --> 00:02:20.000]  我們才可以前進
[00:02:20.000 --> 00:02:22.000]  所以我們今天會說這個
[00:02:22.000 --> 00:02:23.000]  合一的方向
[00:02:23.000 --> 00:02:25.000]  我們來看看異忽所書
[00:02:25.000 --> 00:02:28.000]  在之前我們一直都在看異忽所書
[00:02:28.000 --> 00:02:29.000]  大家都有印象
[00:02:29.000 --> 00:02:33.000]  我們首先重溫頭三章說了什麼
[00:02:33.000 --> 00:02:35.000]  第一章異忽所書就說到
[00:02:35.000 --> 00:02:37.000]  耶穌基督是教會的元首
[00:02:37.000 --> 00:02:40.000]  教會是基督的身體
[00:02:40.000 --> 00:02:41.000]  第二章說到
[00:02:41.000 --> 00:02:42.000]  無論是什麼人
[00:02:42.000 --> 00:02:45.000]  大家都是合而為一的信仰群體
[00:02:45.000 --> 00:02:48.000]  共同建立在基督耶穌的基石上
