
[00:00:00.000 --> 00:00:03.220]  好 各位嘉賓 各位弟兄姊妹 你好
[00:00:03.220 --> 00:00:06.740]  那麼 我的名字叫許民心
[00:00:06.740 --> 00:00:09.380]  一個銀行的小職員
[00:00:09.380 --> 00:00:15.360]  那麼今天很honor可以和大家去分享一下
[00:00:15.360 --> 00:00:18.800]  就是我自己的一些的領袖
[00:00:18.800 --> 00:00:22.900]  或者是在裏面作為銀行的從業員
[00:00:22.900 --> 00:00:27.020]  那麼多年在裏面我們看到的一些東西
[00:00:27.020 --> 00:00:29.680]  去和大家去看看有沒有共鳴
[00:00:29.680 --> 00:00:34.280]  那麼就先少少時間就介紹一下
[00:00:34.280 --> 00:00:39.680]  我在銀行裏面就和我的同事一齊去做一個
[00:00:39.680 --> 00:00:41.180]  零售銀行業務
[00:00:41.180 --> 00:00:43.440]  那麼零售銀行業務是關乎什麼呢
[00:00:43.440 --> 00:00:45.520]  如果你不是做銀行的
[00:00:45.520 --> 00:00:48.040]  那麼就可能我很快地講一講
[00:00:48.040 --> 00:00:50.040]  就是所有的分行
[00:00:50.040 --> 00:00:51.560]  所有的渠道
[00:00:51.560 --> 00:00:56.080]  Internet、Mobile、ATM、Call center
[00:00:56.080 --> 00:01:00.080]  那麼大家經常會用那些的零售銀行的product
[00:01:00.080 --> 00:01:01.680]  例如信用卡
[00:01:01.680 --> 00:01:06.520]  一些消費者用的那些loan
[00:01:06.520 --> 00:01:09.900]  或者是mortgage、按揭
[00:01:09.900 --> 00:01:12.680]  那麼另外還有一些其他的東西
[00:01:12.680 --> 00:01:14.960]  包括市場銷售
[00:01:14.960 --> 00:01:18.880]  就是我們現在很重要的風險管理那方面
[00:01:18.880 --> 00:01:21.600]  那麼那個範疇都很廣闊的
[00:01:21.600 --> 00:01:26.680]  那麼也都cover了生活裏面大部份的需要
[00:01:26.680 --> 00:01:30.240]  那麼在我們做銀行來講
[00:01:30.240 --> 00:01:33.400]  其實現在都頗大壓力的
[00:01:33.400 --> 00:01:41.280]  那麼我做銀行就可能你坐得遠一點
[00:01:41.280 --> 00:01:42.520]  就不太覺
[00:01:42.520 --> 00:01:45.840]  那麼我已經是做了40年了
[00:01:45.840 --> 00:01:48.840]  那麼我記得我進去銀行的時候
[00:01:48.840 --> 00:01:51.440]  我爸爸說銀行好
[00:01:51.440 --> 00:01:53.240]  又高尚
[00:01:53.240 --> 00:01:55.160]  又說那些人受尊敬
[00:01:55.160 --> 00:01:57.960]  和做銀行的市民那些人
[00:01:57.960 --> 00:02:00.440]  誰知道我發覺原來不是的
[00:02:00.440 --> 00:02:02.960]  那麼為什麼不是呢
[00:02:02.960 --> 00:02:04.120]  就不要在這裏講了
[00:02:04.120 --> 00:02:05.440]  我有同事在這裏的
[00:02:05.440 --> 00:02:07.560]  哈哈哈哈
[00:02:07.560 --> 00:02:08.520]  那麼就
[00:02:08.520 --> 00:02:10.080]  但是其實我那時候進去
[00:02:10.080 --> 00:02:12.720]  我不是很清楚發生什麼事情
[00:02:12.720 --> 00:02:14.640]  因為我讀完中六
[00:02:14.640 --> 00:02:16.560]  那麼想找一份暑期工
[00:02:16.560 --> 00:02:19.280]  那麼誰知道去interview
[00:02:19.280 --> 00:02:20.520]  進去之後
[00:02:20.520 --> 00:02:23.120]  這份暑期工做了40年
[00:02:23.120 --> 00:02:28.880]  那麼到現在我希望還是暑期工的心態
[00:02:28.880 --> 00:02:34.880]  那麼我除了在銀行裏面做領袖銀行這個業務之外
[00:02:34.880 --> 00:02:39.760]  我們其實大家來自這個經濟
[00:02:39.760 --> 00:02:41.600]  就是香港資訊教會
[00:02:41.600 --> 00:02:43.600]  我回九龍城資訊會的
[00:02:43.600 --> 00:02:46.440]  那麼其實經濟是我們的舞會來的
[00:02:46.440 --> 00:02:48.800]  那麼我們在九龍那邊
[00:02:48.800 --> 00:02:52.720]  阿加魯街我自己上了教會都40年了
[00:02:52.720 --> 00:02:56.400]  那麼在我自己去信主
[00:02:56.400 --> 00:02:59.760]  一直去認識這個信仰裏面
[00:02:59.760 --> 00:03:04.240]  其實對我做銀行是一個很大的幫助
[00:03:04.240 --> 00:03:06.000]  以及是一個祝福來的
[00:03:06.000 --> 00:03:07.760]  那麼我等一下才會講
[00:03:07.760 --> 00:03:08.720]  那麼但是
[00:03:08.720 --> 00:03:13.000]  除了做銀行
[00:03:13.000 --> 00:03:16.440]  那麼我的職業之外
[00:03:16.440 --> 00:03:20.800]  其實我另外有一個為基督徒做事務的工作
[00:03:20.800 --> 00:03:24.440]  那麼我們就有一個叫銀行同業幫團契
[00:03:24.440 --> 00:03:27.760]  是來自不同銀行的基督徒
[00:03:27.760 --> 00:03:28.960]  不同教會的
[00:03:28.960 --> 00:03:30.200]  他們走在一起
[00:03:30.200 --> 00:03:32.040]  希望在我們的職場
[00:03:32.040 --> 00:03:33.840]  我們的工作崗位裏面
[00:03:33.840 --> 00:03:36.160]  去多做這個福音的工作
[00:03:36.160 --> 00:03:38.080]  那麼帶領人去信主
[00:03:38.080 --> 00:03:39.160]  帶領了之後
[00:03:39.160 --> 00:03:41.040]  我們就希望帶回教會
[00:03:41.040 --> 00:03:42.240]  那麼在教會裏面
[00:03:42.240 --> 00:03:43.440]  就可以settle down
[00:03:43.440 --> 00:03:47.400]  那麼我們到現在這個團契有三十多年了
[00:03:47.400 --> 00:03:49.720]  那麼我們有三位的傳道人
[00:03:49.720 --> 00:03:52.560]  那麼這個就頂梓梅的understanding
[00:03:52.560 --> 00:03:55.440]  我們也都不只是做銀行
[00:03:55.440 --> 00:03:59.440]  現在如果談到你是金融業裏面的從業員
[00:03:59.440 --> 00:04:01.920]  你可以和我們聯絡
[00:04:01.920 --> 00:04:04.640]  需要我們支援我們都可以的
[00:04:04.640 --> 00:04:06.840]  我們有三位的同工
[00:04:06.840 --> 00:04:08.080]  有一位總幹事
[00:04:08.080 --> 00:04:08.960]  那麼他就
[00:04:08.960 --> 00:04:11.280]  我們在服務40個細胞小組
[00:04:11.280 --> 00:04:12.880]  在不同的bank裏面
[00:04:12.880 --> 00:04:14.040]  那麼
[00:04:14.040 --> 00:04:16.360]  所以lunch time他們很忙的
[00:04:16.360 --> 00:04:19.960]  周圍要去不同的細胞小組領會
[00:04:19.960 --> 00:04:21.640]  那麼我自己本身
[00:04:21.640 --> 00:04:25.400]  都有在一些不同的聚會裏面
[00:04:25.400 --> 00:04:27.880]  有時候去分享一下我自己的體會
[00:04:27.880 --> 00:04:29.880]  好了那麼事不宜遲
[00:04:29.880 --> 00:04:33.320]  今天就想和大家分享一個主題
[00:04:33.320 --> 00:04:34.440]  這個主題
[00:04:34.440 --> 00:04:37.800]  是可能印在你的長刊裏面了
[00:04:37.800 --> 00:04:40.680]  你的財寶在哪裏
[00:04:40.680 --> 00:04:41.960]  那麼
[00:04:41.960 --> 00:04:44.520]  首先問一問先
[00:04:44.520 --> 00:04:49.240]  你們覺得你們的財寶放在哪裏呢
[00:04:49.240 --> 00:04:51.120]  在銀行的舉手
[00:04:51.120 --> 00:04:53.160]  起碼有一部份
[00:04:53.160 --> 00:04:54.560]  不要客氣
[00:04:54.560 --> 00:04:56.240]  舉手支持一下
[00:04:56.240 --> 00:04:59.160]  在銀行裏面的
[00:04:59.160 --> 00:05:01.720]  如果你覺得你的財寶在銀行裏面
[00:05:01.720 --> 00:05:03.640]  舉手好不好
[00:05:03.640 --> 00:05:06.440]  不是那麼少是吧
[00:05:06.440 --> 00:05:07.760]  我們做bank
[00:05:07.760 --> 00:05:11.640]  那麼你的財寶
[00:05:11.640 --> 00:05:13.640]  如果不放在銀行
[00:05:13.640 --> 00:05:15.680]  還可以放在哪裏呢
[00:05:15.680 --> 00:05:18.280]  那麼
[00:05:18.280 --> 00:05:20.440]  還是你認為
[00:05:20.440 --> 00:05:23.400]  你的財寶很多都不是錢來的呢
[00:05:23.400 --> 00:05:25.240]  我不知道
[00:05:25.240 --> 00:05:26.920]  你們覺得你們的財寶
[00:05:26.920 --> 00:05:29.280]  財寶在你們的心目中
[00:05:29.280 --> 00:05:32.600]  錢有沒有其中一部份
[00:05:32.600 --> 00:05:34.160]  有的請舉手
[00:05:34.160 --> 00:05:37.240]  錢一定是其中一部份是吧
[00:05:37.240 --> 00:05:39.400]  沒有舉手的那些
[00:05:39.400 --> 00:05:41.840]  我assume你正在吃東西有空
[00:05:41.840 --> 00:05:44.240]  那麼其實
[00:05:44.240 --> 00:05:45.960]  我們的財寶
[00:05:45.960 --> 00:05:48.920]  其實錢一定是一部份
[00:05:48.920 --> 00:05:51.440]  那麼做銀行
[00:05:51.440 --> 00:05:54.440]  其實是基於一個字而已
[00:05:54.440 --> 00:05:56.440]  我們做生意
[00:05:56.440 --> 00:05:57.560]  是靠一個字
[00:05:57.560 --> 00:05:59.600]  你說是什麼字
