
[00:00:00.000 --> 00:00:04.520]  各位聽眾好,我們繼續談論創世紀
[00:00:04.520 --> 00:00:07.560]  這個所謂創世紀的舊約網上行
[00:00:07.560 --> 00:00:13.200]  其實是我有生之年最長的一個講座系列
[00:00:13.200 --> 00:00:15.000]  已經到第21集
[00:00:15.000 --> 00:00:19.800]  我的計劃就是繼續談論到整本創世紀完結
[00:00:19.800 --> 00:00:21.560]  記不記得創世紀有多少章
[00:00:21.560 --> 00:00:24.560]  網上觀眾可否告訴我
[00:00:24.560 --> 00:00:25.960]  你在直播中
[00:00:25.960 --> 00:00:27.560]  創世紀有50章
[00:00:27.560 --> 00:00:30.360]  所以現在我們已經到第27章
[00:00:30.360 --> 00:00:31.760]  已經過了一半
[00:00:31.760 --> 00:00:33.360]  我覺得很有意思
[00:00:33.360 --> 00:00:40.560]  因為很少有機會這樣整體地看完整本的書
[00:00:40.560 --> 00:00:42.560]  創世紀是一本很特別的書
[00:00:42.560 --> 00:00:46.160]  如果你想想聖經裏面記載的故事
[00:00:46.160 --> 00:00:48.560]  我們想起聖經的時候
[00:00:48.560 --> 00:00:50.960]  總會覺得聖經是一本很神聖的書
[00:00:50.960 --> 00:00:53.360]  裏面講的東西應該是很聖潔的
[00:00:53.360 --> 00:00:57.360]  但我們很多時候在創世紀中找到一些故事
[00:00:57.360 --> 00:01:04.360]  是一些我們平常會記載以往信心的英雄
[00:01:04.360 --> 00:01:06.360]  是不會記載的一些情節
[00:01:06.360 --> 00:01:09.960]  譬如今次我們看一段故事
[00:01:09.960 --> 00:01:11.960]  是在創世紀27章
[00:01:11.960 --> 00:01:15.360]  這裏提到以色列的國父
[00:01:15.360 --> 00:01:17.360]  你記得有阿布拉罕
[00:01:17.360 --> 00:01:18.760]  他的兒子叫什麼名字
[00:01:18.760 --> 00:01:19.960]  以撒
[00:01:19.960 --> 00:01:21.560]  然後再傳給誰
[00:01:21.560 --> 00:01:22.760]  瓦國
[00:01:22.760 --> 00:01:26.560]  這裏有一個故事在創世紀27章
[00:01:26.560 --> 00:01:29.360]  講到瓦國以色列的國父
[00:01:29.360 --> 00:01:33.760]  他騙取了上帝的祝福
[00:01:33.760 --> 00:01:36.160]  騙取了上帝的恩典
[00:01:36.160 --> 00:01:40.160]  我們記得之前曾經提過一個故事
[00:01:40.160 --> 00:01:41.960]  就是他騙他的哥哥
[00:01:41.960 --> 00:01:44.960]  大家是雙胞胎
[00:01:44.960 --> 00:01:49.160]  他騙取了大媽的長子的名份
[00:01:49.160 --> 00:01:53.360]  記得我們怎樣了解長子的名份的爭奪問題
[00:01:53.360 --> 00:01:56.760]  就好像我們華人以往有的傳統
[00:01:56.760 --> 00:01:58.760]  譬如你聽過一些丁屋的傳統
[00:01:58.760 --> 00:02:00.360]  一些很大的財產
[00:02:00.360 --> 00:02:03.760]  瓦國做弟弟騙取了二嫂
[00:02:03.760 --> 00:02:10.360]  用一碗紅豆湯騙取了長子的名份
[00:02:10.360 --> 00:02:14.760]  然後到這個故事27章的時候
[00:02:14.760 --> 00:02:19.560]  發現他又再騙取了另外一部分的長子的名份
[00:02:19.560 --> 00:02:23.360]  將這個族長的地位也拿過來
[00:02:23.360 --> 00:02:29.360]  將這個家族的Patriarch的Status也拿過來
[00:02:29.360 --> 00:02:32.360]  這一段的故事是一段很長的故事
[00:02:32.360 --> 00:02:34.360]  如果你打開聖經27章
[00:02:34.360 --> 00:02:37.960]  有幾十節的經文
[00:02:37.960 --> 00:02:41.960]  來交代瓦國的所謂大騙案
[00:02:41.960 --> 00:02:45.960]  其實是一個用詭計
[00:02:45.960 --> 00:02:49.960]  用騙術來騙取上帝的祝福
[00:02:49.960 --> 00:02:51.960]  一個很奇特的故事
[00:02:51.960 --> 00:02:55.960]  希望能夠和你講一下這一段的故事
[00:02:55.960 --> 00:02:59.960]  我們將它分成大概六段
[00:02:59.960 --> 00:03:02.960]  是一個很多情節
[00:03:02.960 --> 00:03:04.960]  很多細節在裏面
[00:03:04.960 --> 00:03:07.960]  希望這幅畫能夠幫到你
[00:03:07.960 --> 00:03:11.960]  這幅畫叫做Jacob Stealing Isaac's Blessing
[00:03:11.960 --> 00:03:15.960]  見不見到在這幅畫裏面的Isaac是誰
[00:03:15.960 --> 00:03:18.960]  瓦國和有誰
[00:03:18.960 --> 00:03:21.960]  有利伯加 有媽咪
[00:03:21.960 --> 00:03:23.960]  以素出去打獵
[00:03:23.960 --> 00:03:26.960]  這幅畫嘗試去捕捉神情
[00:03:26.960 --> 00:03:30.960]  就是瓦國戴著手臂上的羊毛
[00:03:30.960 --> 00:03:33.960]  因為他的哥哥叫做以素
[00:03:33.960 --> 00:03:35.960]  是毛髮的意思
[00:03:35.960 --> 00:03:37.960]  他身上的汗毛很多
[00:03:37.960 --> 00:03:39.960]  瓦國就不是這樣的
[00:03:39.960 --> 00:03:41.960]  青靚白淨
[00:03:41.960 --> 00:03:43.960]  他就要騙他的父親
[00:03:43.960 --> 00:03:45.960]  叫Isaac來祝福他
[00:03:45.960 --> 00:03:49.960]  立他為族長
[00:03:49.960 --> 00:03:52.960]  以後能夠領導他的家族
[00:03:52.960 --> 00:03:53.960]  不單止留下財產
[00:03:53.960 --> 00:03:55.960]  領導權也給了他
[00:03:55.960 --> 00:03:59.960]  他就有他的媽咪來獻祭
[00:03:59.960 --> 00:04:02.960]  然後去到Isaac家父的面前
[00:04:02.960 --> 00:04:04.960]  來欺騙他
[00:04:04.960 --> 00:04:10.960]  第一段見到首先是Isaac想私自去立以素
[00:04:10.960 --> 00:04:13.960]  為他的族長
[00:04:13.960 --> 00:04:17.960]  因為Isaac偏愛他的大兒子以素
[00:04:17.960 --> 00:04:19.960]  想在心裏想
[00:04:19.960 --> 00:04:22.960]  立他為掌門人
[00:04:22.960 --> 00:04:24.960]  結果就叫他
[00:04:24.960 --> 00:04:26.960]  以素你出去打獵吧
[00:04:26.960 --> 00:04:28.960]  因為我很喜歡吃野味
[00:04:28.960 --> 00:04:31.960]  以素就出去打野味的時候
[00:04:31.960 --> 00:04:35.960]  黎伯嘉聽到這樣的情況
[00:04:35.960 --> 00:04:38.960]  想私自立以素為他的掌門人
[00:04:38.960 --> 00:04:40.960]  黎伯嘉就偏愛誰呢
[00:04:40.960 --> 00:04:44.960]  媽咪就偏愛小兒子瓦國
[00:04:44.960 --> 00:04:47.960]  就想瓦國成為他的掌門人
[00:04:47.960 --> 00:04:50.960]  所以就設了一個騙局
[00:04:50.960 --> 00:04:53.960]  趁著以素去打獵的時候
[00:04:53.960 --> 00:04:58.960]  他在羊裏弄羊肉
[00:04:58.960 --> 00:05:00.960]  可能是很香噴噴的羊肉
[00:05:00.960 --> 00:05:03.960]  就叫瓦國假扮以素
[00:05:03.960 --> 00:05:05.960]  好像這幅畫一樣
[00:05:05.960 --> 00:05:10.960]  第三段就是瓦國去到Isaac家父的面前
[00:05:10.960 --> 00:05:13.960]  嘗試騙取祝福
[00:05:13.960 --> 00:05:15.960]  我們看一些經文
[00:05:15.960 --> 00:05:18.960]  這段情節27章第18節開始
[00:05:18.960 --> 00:05:20.960]  瓦國來到他父親那裏說
[00:05:20.960 --> 00:05:23.960]  我父Isaac說
[00:05:23.960 --> 00:05:26.960]  我在這裏,我兒李自成
[00:05:26.960 --> 00:05:30.960]  因為Isaac已經年老
[00:05:30.960 --> 00:05:32.960]  他就頭暈眼花
