
[00:00:00.000 --> 00:00:02.000]  提醒姐妹平安
[00:00:02.000 --> 00:00:05.520]  我們今天思想啟示錄
[00:00:05.520 --> 00:00:07.640]  就是關於
[00:00:07.640 --> 00:00:09.040]  號角
[00:00:09.040 --> 00:00:11.640]  七號的啟示
[00:00:11.640 --> 00:00:14.360]  我想香港人最近對於
[00:00:14.360 --> 00:00:15.560]  號角
[00:00:15.560 --> 00:00:17.080]  號角星
[00:00:17.080 --> 00:00:21.600]  這個詞應該有一點熟悉
[00:00:21.600 --> 00:00:24.360]  但是最重要的號角
[00:00:24.360 --> 00:00:27.080]  其實是天上來的
[00:00:27.080 --> 00:00:28.880]  那個號角
[00:00:29.640 --> 00:00:31.640]  七號到底是在說什麼呢
[00:00:31.640 --> 00:00:34.560]  七號是告訴我們
[00:00:34.560 --> 00:00:36.680]  這個世界上
[00:00:36.680 --> 00:00:39.920]  有很多的艱難
[00:00:39.920 --> 00:00:41.800]  有很多的痛苦
[00:00:41.800 --> 00:00:44.080]  為什麼會是這樣呢
[00:00:44.080 --> 00:00:47.040]  這個也是我們今天要學習的功課
[00:00:47.040 --> 00:00:49.600]  在猶太人的節期裡面
[00:00:49.600 --> 00:00:50.760]  他們會吹蠔
[00:00:50.760 --> 00:00:52.640]  在敬拜的時候會吹蠔
[00:00:52.640 --> 00:00:54.800]  在征戰的時候會吹蠔
[00:00:54.800 --> 00:00:59.200]  特別是最出名的就是在圍困耶利哥的時候
[00:00:59.200 --> 00:01:00.320]  到最後
[00:01:00.320 --> 00:01:02.560]  當吹響這個號角的時候
[00:01:02.560 --> 00:01:04.320]  城牆就倒塌
[00:01:04.320 --> 00:01:06.680]  但是在他們一般生活裡面
[00:01:06.680 --> 00:01:10.720]  他們這個號角事實上是一個警告的意思
[00:01:10.720 --> 00:01:13.240]  我們今天需要聽的
[00:01:13.240 --> 00:01:17.600]  也許都是天上來的一個警告
[00:01:17.600 --> 00:01:20.840]  人若不聽天上來的聲音
[00:01:20.840 --> 00:01:23.240]  人就會迷茫
[00:01:23.240 --> 00:01:24.520]  就會失喪
