
[00:00:00.000 --> 00:00:04.000]  今日夠約網上行,我哋繼續睇阿布拉罕嘅故事
[00:00:04.000 --> 00:00:07.000]  我哋睇創世紀第十六至第十七章
[00:00:07.000 --> 00:00:11.000]  曾經我提過阿布拉罕呢個故事可以用一個三文治結構嚟了解
[00:00:11.000 --> 00:00:16.000]  咁所以我哋今日睇十六十七章正正喺呢個三文治結構嘅中間
[00:00:16.000 --> 00:00:18.000]  十六章第一節
[00:00:18.000 --> 00:00:22.000]  阿布拉罕嘅妻子撒萊沒有為她生孩子
[00:00:22.000 --> 00:00:26.000]  撒萊佢有一個婢女,是埃及人名叫夏格
[00:00:26.000 --> 00:00:30.000]  撒萊對阿布蘭說:請看,也或使我不能生育
[00:00:30.000 --> 00:00:36.000]  求你去親近我的婢女,或者我可以從她得孩子
[00:00:36.000 --> 00:00:39.000]  阿布蘭就聽從撒萊嘅話
[00:00:39.000 --> 00:00:44.000]  阿布拉罕嘅妻子撒萊係生唔到仔
[00:00:44.000 --> 00:00:50.000]  你記得喺阿布拉罕嘅故事開頭已經係曾經提過呢一個事實
[00:00:50.000 --> 00:00:53.000]  十一章,撒萊係不育
[00:00:53.000 --> 00:00:59.000]  當時嘅社會,太太不育,當然係一個奏助,一個羞恥
[00:00:59.000 --> 00:01:02.000]  因為喺一個農耕嘅社會,當然你需要人手
[00:01:02.000 --> 00:01:07.000]  甚至喺古代近東社會裏面,一個父母希望有仔
[00:01:07.000 --> 00:01:13.000]  係希望當佢練腦嘅時候,能夠同佢傳宗接代
[00:01:13.000 --> 00:01:20.000]  辦理身後事,最主要去紀念同埋去延續,去continue個父家嘅命
[00:01:20.000 --> 00:01:24.000]  所以喺近東社會裏面,一個妻子最主要嘅責任就係做乜嘢?
[00:01:24.000 --> 00:01:28.000]  傳宗接代,生仔,生得越多就越好
[00:01:28.000 --> 00:01:33.000]  有少似我哋古代傳統嘅華人嘅文化
[00:01:33.000 --> 00:01:39.000]  當時嘅社會,點樣去解決呢個冇後代嘅問題呢?
[00:01:39.000 --> 00:01:44.000]  男人,當然就好簡單,好多時就直接去休妻,同佢離婚
[00:01:44.000 --> 00:01:51.000]  另外娶,或者娶更多嘅女人,呢啲都係當時嘅風俗習慣
[00:01:51.000 --> 00:01:55.000]  由開始我哋睇阿布拉罕呢個故事嘅時候
[00:01:55.000 --> 00:02:00.000]  我哋都已經知道阿布拉罕嘅家族係一個唔細嘅家族
[00:02:00.000 --> 00:02:09.000]  人手財力都係非常之豐富,所以佢都可以去到按照當時嘅風俗去做
[00:02:09.000 --> 00:02:14.000]  男人講完,女人就點呢?女人按照當時嘅風俗
