
[00:00:00.000 --> 00:00:04.560]  昨天晚上唱了我的首歌之後,很多姐妹問在哪裏找到
[00:00:04.560 --> 00:00:07.640]  昨晚唱的那首詩是陳方牧師作的
[00:00:07.640 --> 00:00:10.640]  唱了之後很多人問他哪裏可以找到
[00:00:10.640 --> 00:00:13.720]  那個版本我自己上去已經不見了
[00:00:13.720 --> 00:00:16.640]  那個版本我自己上網找找找,找不到
[00:00:16.640 --> 00:00:20.640]  不過你放心,你先找YouTube上面
[00:00:20.640 --> 00:00:22.760]  但你放心先去YouTube那裏找
[00:00:22.760 --> 00:00:25.040]  求主借意象激動我
[00:00:25.040 --> 00:00:27.440]  求主借意象激勵我
[00:00:27.440 --> 00:00:29.800]  後面寫恩典成事
[00:00:29.800 --> 00:00:31.880]  後面說恩典成事
[00:00:31.880 --> 00:00:33.040]  就找到這首歌了
[00:00:33.040 --> 00:00:34.320]  就可以找到這首歌了
[00:00:34.320 --> 00:00:41.480]  因為在三年前在香港開一個恩典城市的研討會
[00:00:41.480 --> 00:00:45.760]  三年前在香港開過恩典城市的研討會
[00:00:45.760 --> 00:00:48.960]  負責人就給我拿了版權在大會裏面唱
[00:00:48.960 --> 00:00:51.400]  負責人就給我拿了版權在大會裏面唱
[00:00:51.400 --> 00:00:56.200]  裏面的所有的參加者都是中國大陸的牧者
[00:00:56.200 --> 00:01:00.000]  裏面的所有的參加者都是中國大陸的牧者
[00:01:00.000 --> 00:01:02.280]  那天你上網看的時候
[00:01:02.280 --> 00:01:04.640]  他是用這首歌作為一個呼召
[00:01:04.640 --> 00:01:06.520]  第二首歌一個一個流到台前
[00:01:06.520 --> 00:01:09.080]  那天晚上你用這首詩作為一個呼召
[00:01:09.080 --> 00:01:11.640]  底子母一個一個走到台前
[00:01:11.640 --> 00:01:15.320]  所以你是用YouTube下載就可以了
[00:01:15.320 --> 00:01:18.920]  所以你是用YouTube下載下來就可以找到了
[00:01:18.920 --> 00:01:20.720]  然後他唱得比較慢
[00:01:20.720 --> 00:01:22.200]  他當時唱得比較慢
[00:01:22.200 --> 00:01:23.360]  其實是對的
[00:01:23.360 --> 00:01:24.120]  其實是對的
[00:01:24.120 --> 00:01:26.080]  這個節奏應該是100
[00:01:26.080 --> 00:01:28.160]  這個速率應該是100
[00:01:28.160 --> 00:01:30.120]  但是我喜歡唱到120
[00:01:30.120 --> 00:01:33.160]  但是我喜歡唱到120
[00:01:33.160 --> 00:01:35.560]  所以你照那個版本是對的
[00:01:35.560 --> 00:01:37.680]  所以照那個版本是對的
[00:01:37.680 --> 00:01:39.440]  今晚的題目是興旺福音
[00:01:39.440 --> 00:01:42.040]  今晚的題目是興旺福音
[00:01:42.040 --> 00:01:44.280]  感謝主人的聲音今晚開始沙了
[00:01:44.280 --> 00:01:47.680]  感謝主人今晚我的聲音才開始沙
[00:01:47.680 --> 00:01:49.640]  已經算是跟你平行一下
[00:01:49.640 --> 00:01:50.880]  大家的聲音差不多了
[00:01:50.880 --> 00:01:54.640]  你將我們兩個平一下聲音差不多了
[00:01:54.640 --> 00:01:58.080]  那麼在18到24世紀
[00:01:58.080 --> 00:02:02.840]  18到24世紀
[00:02:02.840 --> 00:02:05.640]  歐洲、美洲、太平洋洲
[00:02:05.640 --> 00:02:08.320]  是叫做基督教的世界
[00:02:08.320 --> 00:02:10.800]  歐洲、美洲、太平洋洲
[00:02:10.800 --> 00:02:12.640]  本來叫做基督教的世界
[00:02:12.640 --> 00:02:15.800]  現在這些西方的教會已經沒落了
[00:02:15.800 --> 00:02:18.880]  但現在這些西方的教會已經沒落了
[00:02:18.880 --> 00:02:21.080]  西方的國家好像荷蘭
