
[00:00:00.000 --> 00:00:13.260]  請問你到底把神放在一個什麼位置?
[00:00:13.260 --> 00:00:15.600]  很多基督徒心裏面都在想
[00:00:15.600 --> 00:00:17.340]  我很看重神的
[00:00:17.340 --> 00:00:19.540]  我把神放在很重的
[00:00:19.540 --> 00:00:20.700]  我想問問你
[00:00:20.700 --> 00:00:26.940]  如果你每個星期都陪你一位很年老的爸爸去飲茶
[00:00:26.940 --> 00:00:31.800]  怎知道那天你發覺有一個很重要的約會
[00:00:31.800 --> 00:00:34.460]  於是你心裏面就在掙扎
[00:00:34.460 --> 00:00:36.540]  到底我去那個約會
[00:00:36.540 --> 00:00:39.500]  去少一次陪爸爸喝茶
[00:00:39.500 --> 00:00:43.260]  還是你覺得爸爸已經年紀很大
[00:00:43.260 --> 00:00:45.300]  喝得一次就一次
[00:00:45.300 --> 00:00:46.560]  所以你就決定
[00:00:46.560 --> 00:00:50.240]  我仍然去陪我爸爸喝茶
[00:00:50.240 --> 00:00:51.740]  然後喝完茶
[00:00:51.740 --> 00:00:57.760]  稍後才去陪另一個很重要的約會
[00:00:57.760 --> 00:01:02.440]  怎知道當你那次和你爸爸喝茶的時候
[00:01:02.440 --> 00:01:05.360]  你爸爸將他很多的心事
[00:01:05.360 --> 00:01:08.000]  將你小時候告訴你
[00:01:08.000 --> 00:01:11.100]  你那天就覺得很感動
[00:01:11.100 --> 00:01:15.260]  原來爸爸很疼我
[00:01:15.260 --> 00:01:18.640]  如果我去少一次喝茶
[00:01:18.640 --> 00:01:20.740]  其實是我吃虧
[00:01:20.740 --> 00:01:23.100]  我失去了很多東西
[00:01:23.100 --> 00:01:24.700]  各位你知不知道
[00:01:24.700 --> 00:01:27.540]  我們都應該將神
[00:01:27.540 --> 00:01:30.700]  就好像我們天上的爸爸一樣
[00:01:30.700 --> 00:01:33.800]  放在一個很高很重要
[00:01:33.800 --> 00:01:37.240]  甚至說最重要的位置
[00:01:37.240 --> 00:01:39.900]  當我們基督徒能夠將神
[00:01:39.900 --> 00:01:43.240]  擺在一個很高很重要的位置
[00:01:43.240 --> 00:01:45.860]  我們就會時時想起祂
[00:01:45.860 --> 00:01:48.140]  時時都尊重祂
[00:01:48.140 --> 00:01:50.100]  時時去求問祂
[00:01:50.100 --> 00:01:52.240]  時時想親近祂
[00:01:52.240 --> 00:01:53.760]  你知不知道爸爸
[00:01:53.760 --> 00:01:56.060]  疼我們疼得很厲害
[00:01:56.060 --> 00:01:58.100]  他會將全部的愛
[00:01:58.100 --> 00:01:59.760]  將很多的祝福
[00:01:59.760 --> 00:02:01.360]  將很多的恩典
[00:02:01.360 --> 00:02:03.340]  臨到我們身上
[00:02:03.340 --> 00:02:04.240]  我有時覺得
[00:02:04.240 --> 00:02:06.400]  為甚麼我們基督徒這麼吃虧
[00:02:06.400 --> 00:02:08.500]  你不去拿神的祝福
[00:02:08.500 --> 00:02:10.340]  你不去靠近神
[00:02:10.340 --> 00:02:13.040]  黏著神的恩典
[00:02:13.040 --> 00:02:15.360]  黏著神的福氣
[00:02:15.360 --> 00:02:18.160]  所以我今天很想勸大家
[00:02:18.160 --> 00:02:20.400]  當你真的將神
[00:02:20.400 --> 00:02:24.000]  放在一個很重要的位置
[00:02:24.000 --> 00:02:27.740]  你對神的心就會靠近
[00:02:27.740 --> 00:02:30.900]  很影響你的行事為人
[00:02:30.900 --> 00:02:34.760]  影響你怎樣活在
[00:02:34.760 --> 00:02:37.800]  今天這個世上
[00:02:37.800 --> 00:02:38.800]  我們怎知道
[00:02:38.800 --> 00:02:40.900]  我們跟神有甚麼關係
[00:02:40.900 --> 00:02:42.840]  神怎樣看重我們
[00:02:42.840 --> 00:02:45.900]  我們一定要回到最原初
[00:02:45.900 --> 00:02:47.940]  創世紀
[00:02:47.940 --> 00:02:51.660]  神怎樣做人
[00:02:51.660 --> 00:02:54.640]  所以創世紀對我們基督徒來說
[00:02:54.640 --> 00:02:58.640]  是很重要很重要的一本書
[00:02:58.640 --> 00:03:01.100]  特別創世紀第一章
[00:03:01.100 --> 00:03:05.300]  其實是全本聖經的罪孽
[00:03:05.300 --> 00:03:06.500]  第一
[00:03:06.500 --> 00:03:08.600]  創世紀一章一節
[00:03:08.600 --> 00:03:10.860]  起初
