
[00:00:00.000 --> 00:00:01.000]  最近一兩個星期
[00:00:01.000 --> 00:00:03.720]  都是因著疫情的緣故
[00:00:03.720 --> 00:00:08.800]  我們又不能夠聚集在教會的禮堂裏面
[00:00:08.800 --> 00:00:10.200]  集體的敬拜
[00:00:10.200 --> 00:00:13.560]  以致我們都是分散在我們的家中
[00:00:13.560 --> 00:00:15.200]  或者在我們的地方
[00:00:15.200 --> 00:00:17.160]  在網上的敬拜
[00:00:17.160 --> 00:00:18.000]  但是呢
[00:00:18.000 --> 00:00:19.720]  雖然我們都可能會看到
[00:00:19.720 --> 00:00:22.600]  因為疫情帶來我們很多的不便
[00:00:22.600 --> 00:00:24.360]  或者實際上已經經過
[00:00:24.360 --> 00:00:27.480]  差不多有兩年多的時間
[00:00:27.480 --> 00:00:30.200]  我們都發覺很多事情
[00:00:30.200 --> 00:00:32.320]  是令到我們的計劃打斷了
[00:00:32.320 --> 00:00:36.840]  可能我們已經計劃去哪裏旅行
[00:00:36.840 --> 00:00:39.320]  始終這兩年都不能夠成行
[00:00:39.320 --> 00:00:41.080]  或者計劃教會一些工作
[00:00:41.080 --> 00:00:42.560]  特別是差權的工作
[00:00:42.560 --> 00:00:45.280]  我們又不能夠繼續展開
[00:00:45.280 --> 00:00:47.680]  或者我們人生裏面都有不同的計劃
[00:00:47.680 --> 00:00:49.680]  因為疫情我相信
[00:00:49.680 --> 00:00:52.320]  很多人都會打斷了
[00:00:52.320 --> 00:00:55.040]  可能就阻攔
[00:00:55.040 --> 00:00:57.600]  更加因為疫情的緣故
[00:00:57.600 --> 00:00:59.840]  有些人失去了生命
[00:00:59.840 --> 00:01:01.440]  因為疫情的緣故
[00:01:01.440 --> 00:01:04.680]  是帶來很多的悲傷痛苦的事情
[00:01:04.680 --> 00:01:07.520]  如果說回我們教會尖浸
[00:01:07.520 --> 00:01:10.920]  其實在疫情裏面又帶來我們甚麼呢?
