
[00:00:00.000 --> 00:00:07.000]  弟兄姊妹平安,我們一同禱告
[00:00:07.000 --> 00:00:09.000]  愛我們的阿爸父神,我們忠淑你兒女
[00:00:09.000 --> 00:00:16.000]  今天早上奉你的名,聚在你的家中敬拜你
[00:00:16.000 --> 00:00:20.000]  因為你配受尊崇,敬拜
[00:00:20.000 --> 00:00:24.000]  你是天地宇宙萬物唯一的主宰
[00:00:24.000 --> 00:00:27.000]  你也是我們生命的主宰
[00:00:27.000 --> 00:00:32.000]  我們能夠存留,我們的生命氣息是你所賜的
[00:00:32.000 --> 00:00:36.000]  今天早上是這個十一月的第一個主日
[00:00:36.000 --> 00:00:39.000]  我們聚在你家中唱詩敬拜
[00:00:39.000 --> 00:00:41.000]  我們要思想你的說話
[00:00:41.000 --> 00:00:44.000]  我們懇求你自己藉著真理的聖靈
[00:00:44.000 --> 00:00:46.000]  引導我們進入真理的裏面
[00:00:46.000 --> 00:00:50.000]  讓我們在你話語上得著勉勵,得著提醒
[00:00:50.000 --> 00:00:52.000]  能夠因應如行
[00:00:52.000 --> 00:00:55.000]  我們將以下時間恭敬交在你的手中
[00:00:55.000 --> 00:00:58.000]  我們懇求你除去我們心中的爛咒
[00:00:58.000 --> 00:01:01.000]  除去惡者的搞擾
[00:01:01.000 --> 00:01:03.000]  我叫你的聖言,你分享的時候
[00:01:03.000 --> 00:01:06.000]  我們都能夠一世義共聽
[00:01:06.000 --> 00:01:09.000]  一同去領受,一同去實踐
[00:01:09.000 --> 00:01:12.000]  願你持福,同心合意的祈禱
[00:01:12.000 --> 00:01:15.000]  奉主耶穌基督,聖名求,阿門
[00:01:15.000 --> 00:01:19.000]  轉眼一年就去到十一月了
[00:01:19.000 --> 00:01:25.000]  十一月即是剛才我們的道昌,還有四個月,四個星期
[00:01:25.000 --> 00:01:31.000]  就是在臨節,將臨期
[00:01:31.000 --> 00:01:35.000]  最重要的是我們教會今天是一個很特別的年
[00:01:35.000 --> 00:01:38.000]  今年是教會的堂慶年
[00:01:38.000 --> 00:01:40.000]  本來每年都有堂慶的
[00:01:40.000 --> 00:01:44.000]  不過今年的堂慶是慶祝八十週年
[00:01:44.000 --> 00:01:48.000]  八十週年是一個很虛寒的日子
[00:01:48.000 --> 00:01:51.000]  所以教會一直都有很多的節目活動
[00:01:51.000 --> 00:01:55.000]  之前有去尋根,或者去步行
[00:01:55.000 --> 00:01:58.000]  這個要來的禮拜也有徐靈會
[00:01:58.000 --> 00:02:02.000]  下個主日也有正式的堂慶
[00:02:02.000 --> 00:02:07.000]  在這麼多的節目裡面,無他我們很感恩
[00:02:07.000 --> 00:02:10.000]  感謝神賜給我們一個堂會
[00:02:10.000 --> 00:02:13.000]  由一九三百年直到今天
[00:02:13.000 --> 00:02:17.000]  仍然是屹立在尖沙咀地方為它發光
[00:02:17.000 --> 00:02:21.000]  當我知道我講到,我早就答應了
[00:02:21.000 --> 00:02:24.000]  不過我不知道這麼近堂慶
[00:02:24.000 --> 00:02:28.000]  所以我就思想究竟應該傳什麼訊息呢?
[00:02:28.000 --> 00:02:29.000]  真是要等候的
[00:02:29.000 --> 00:02:34.000]  裡面的方向就是和大家今天講一下教會
