
[00:00:00.000 --> 00:00:04.340]  首先呢 少少重覆上一個主日
[00:00:04.340 --> 00:00:05.720]  這裡很快的
[00:00:05.720 --> 00:00:07.720]  上一個主日呢 我的題目呢
[00:00:07.720 --> 00:00:09.020]  你們沒有這些在這裡
[00:00:09.020 --> 00:00:11.880]  就是叫做「揭開密封的印」
[00:00:11.880 --> 00:00:13.260]  是第五篇
[00:00:13.260 --> 00:00:15.720]  因為這個一路揭七印嘛
[00:00:15.720 --> 00:00:18.060]  第一印 第二印 第三印 第四印
[00:00:18.060 --> 00:00:20.380]  我相信大家都熟悉啦
[00:00:20.380 --> 00:00:22.680]  因為這個在《讀經》那裡讀了嘛 是不是
[00:00:22.680 --> 00:00:24.600]  第一印 白馬 第二印 紅馬
[00:00:24.600 --> 00:00:26.000]  第三印就是黑馬
[00:00:26.000 --> 00:00:27.440]  第四印就是灰馬
[00:00:27.440 --> 00:00:30.440]  第五印呢 就是在這個祭壇底下
[00:00:30.440 --> 00:00:32.500]  有些人在那裡呼冤
[00:00:32.500 --> 00:00:35.320]  在那裡 究竟我們還要等到什麼時候呢
[00:00:35.320 --> 00:00:36.780]  那麼去到第六印呢
[00:00:36.780 --> 00:00:39.340]  在第六印的時候呢
[00:00:39.340 --> 00:00:42.280]  我就是講到主在來的景象
[00:00:42.280 --> 00:00:44.160]  那麼主在來的景象呢
[00:00:44.160 --> 00:00:46.520]  其實呢 是有一個
[00:00:46.520 --> 00:00:49.960]  啟述出現了有七個的景象
[00:00:49.960 --> 00:00:51.960]  第一個景象呢 就是有地震
[00:00:51.960 --> 00:00:53.720]  那麼這個呢 我不再詳細講了
[00:00:53.720 --> 00:00:55.560]  這個上個主日跟大家講過
[00:00:55.560 --> 00:00:58.060]  第一個就是有地震這回事
[00:00:58.060 --> 00:01:00.060]  那麼地震之後就有什麼呢
[00:01:00.060 --> 00:01:01.360]  地震之後呢
[00:01:01.360 --> 00:01:04.060]  就是有太陽就會變黑色
[00:01:04.060 --> 00:01:06.060]  月亮就變紅色
[00:01:06.060 --> 00:01:07.660]  太陽變黑色呢
[00:01:07.660 --> 00:01:10.940]  就是說呢 太陽是沒有光的
[00:01:10.940 --> 00:01:11.820]  那麼你知道
[00:01:11.820 --> 00:01:14.260]  如果太陽不發光的時候呢
[00:01:14.260 --> 00:01:16.720]  這個世界就很大問題存在的了
[00:01:16.720 --> 00:01:17.360]  是不是
[00:01:17.360 --> 00:01:19.980]  就是很多生物都會死
[00:01:19.980 --> 00:01:23.420]  那麼就可能就會
[00:01:23.420 --> 00:01:26.500]  溫度就不是暖的
[00:01:26.500 --> 00:01:28.040]  是一直可能是很冷的
[00:01:28.040 --> 00:01:32.040]  冷到不結冰的地方也會結冰也說不定
[00:01:32.040 --> 00:01:33.460]  好了 不講這麼詳細了
[00:01:33.460 --> 00:01:34.820]  月亮變紅呢
[00:01:34.820 --> 00:01:36.820]  其實這個是一個自然意象來的
[00:01:36.820 --> 00:01:38.820]  那麼不過呢 很奇怪地呢
[00:01:38.820 --> 00:01:41.300]  當月亮變紅的時候呢
[00:01:41.300 --> 00:01:43.120]  在這個人類的歷史裡面
[00:01:43.120 --> 00:01:44.580]  這個你可以上網找
[00:01:44.580 --> 00:01:45.760]  月亮變紅
[00:01:45.760 --> 00:01:47.380]  它直接在人類的歷史裡面
[00:01:47.380 --> 00:01:49.220]  幾年幾月幾日發生的那些事
[00:01:49.220 --> 00:01:51.220]  就是月亮變紅的事跡
[00:01:51.220 --> 00:01:52.540]  那麼還有一些呢
[00:01:52.540 --> 00:01:55.480]  我看到有些簡直是有連月日
[00:01:55.480 --> 00:01:58.840]  就講到跟以色列國有關係的
[00:01:58.840 --> 00:02:00.840]  所以這個真的是很奇妙的
[00:02:00.840 --> 00:02:03.480]  這個大自然的現象呢
[00:02:03.480 --> 00:02:06.020]  不是人可以去控制的
[00:02:06.020 --> 00:02:08.020]  完全是由神控制的 是不是
[00:02:08.020 --> 00:02:11.680]  那麼神呢 就是容許這些事情會發生
[00:02:11.680 --> 00:02:14.300]  有地震 太陽都無光
[00:02:14.300 --> 00:02:15.880]  月亮就變成紅色
[00:02:15.880 --> 00:02:18.320]  其實這個是月全食的意思
[00:02:18.320 --> 00:02:19.440]  我不講太詳細了
[00:02:19.440 --> 00:02:20.420]  因為上個星期講過
[00:02:20.420 --> 00:02:22.420]  但是我要 recap(複製)一點點
[00:02:22.420 --> 00:02:24.240]  因為今天同樣地一路繼續下去
[00:02:24.240 --> 00:02:26.640]  然後就星辰墮落
[00:02:26.640 --> 00:02:28.640]  哇 那些星在天上的星呢
[00:02:28.640 --> 00:02:29.980]  掉下來
[00:02:29.980 --> 00:02:32.520]  如果你說隨便一粒撞到地球呢
[00:02:32.520 --> 00:02:33.600]  都很大件事
[00:02:33.600 --> 00:02:36.420]  很多年之前人們就這樣講
[00:02:36.420 --> 00:02:38.220]  為什麼地球 一個講法
[00:02:38.220 --> 00:02:40.460]  地球那些恐龍不見了 你知道為什麼嗎
[00:02:40.460 --> 00:02:42.160]  就有一個講法 就是因為
[00:02:42.160 --> 00:02:44.500]  是有星撞到地球
[00:02:44.500 --> 00:02:47.580]  於是就產生了很大的那些
[00:02:47.580 --> 00:02:50.660]  塵啊 還有那些水啊
[00:02:50.660 --> 00:02:53.080]  於是所有的恐龍都死光了
[00:02:53.080 --> 00:02:54.660]  不知道真還是假
[00:02:54.660 --> 00:02:56.500]  這個是一個講法
[00:02:56.500 --> 00:02:58.080]  但是呢 很想人知道
[00:02:58.080 --> 00:03:00.280]  那些星如果撞到地球的話
[00:03:00.280 --> 00:03:02.460]  這件事是一件大件事來的
[00:03:02.460 --> 00:03:04.320]  那麼天呢 被分開
[00:03:04.320 --> 00:03:06.160]  為什麼天都要分開呢
[00:03:06.160 --> 00:03:07.120]  那麼它其實呢
[00:03:07.120 --> 00:03:10.460]  這個是一般的有解經家就認為
[00:03:10.460 --> 00:03:14.880]  就是說 因為這個是主耶穌回來之前
[00:03:14.880 --> 00:03:16.540]  或者是世界末日
[00:03:16.540 --> 00:03:18.940]  那段時間的一個景象
[00:03:18.940 --> 00:03:21.980]  而世界末日是用來做什麼的呢
[00:03:21.980 --> 00:03:23.120]  其實世界末日呢
[00:03:23.120 --> 00:03:24.460]  就是在舊約裡面
[00:03:24.460 --> 00:03:26.980]  就是講到耶和華大而可畏的日子
[00:03:26.980 --> 00:03:29.400]  簡單就叫做耶和華的大日子
[00:03:29.400 --> 00:03:30.780]  但是大日子有很多種的
[00:03:30.780 --> 00:03:32.700]  譬如我問你什麼時候是你的大日子
[00:03:32.700 --> 00:03:33.620]  那麼你可能說
[00:03:33.620 --> 00:03:35.620]  我結婚就是我的大日子 是不是
[00:03:35.620 --> 00:03:37.620]  或者我是一百歲米
[00:03:37.620 --> 00:03:38.900]  生日我也是大日子
[00:03:38.900 --> 00:03:41.820]  但是耶和華神的大日子就不是這樣的
[00:03:41.820 --> 00:03:43.940]  在聖經裡面耶和華大日子是
[00:03:43.940 --> 00:03:45.160]  留這麼幾個字的講法
[00:03:45.160 --> 00:03:46.980]  不是叫留這麼幾個字 它簡化了
[00:03:46.980 --> 00:03:49.860]  其實就是大而可畏的日子
[00:03:49.860 --> 00:03:51.480]  那麼天打開是什麼意思呢
[00:03:51.480 --> 00:03:54.780]  那些人能夠可以直接看到天上的
[00:03:54.780 --> 00:03:57.980]  這位審判死人活人的神
[00:03:57.980 --> 00:03:59.060]  人見到神呢
[00:03:59.060 --> 00:03:59.860]  我告訴你
[00:03:59.860 --> 00:04:00.780]  你什麼時候會見到神
[00:04:00.780 --> 00:04:02.360]  我什麼時候會見到神
[00:04:02.360 --> 00:04:04.280]  死了就見到神了 是不是
[00:04:04.280 --> 00:04:07.320]  有些人說我想見一下神 見一下耶穌
[00:04:07.320 --> 00:04:10.400]  那你想過才會說這句話
[00:04:10.400 --> 00:04:11.780]  天被分開
[00:04:11.780 --> 00:04:13.780]  還有呢 山嶺
[00:04:13.780 --> 00:04:18.060]  講完這個日、月、地震、天、星
[00:04:18.060 --> 00:04:21.400]  接著講到那些山嶺和海島
[00:04:21.400 --> 00:04:23.060]  山嶺呢 你想一下
[00:04:23.060 --> 00:04:25.280]  地震通常不會整座山塌的
[00:04:25.280 --> 00:04:26.900]  但是連山都崩
[00:04:26.900 --> 00:04:27.780]  地都裂
[00:04:27.780 --> 00:04:30.780]  甚至再嚴重都會怎樣
[00:04:30.780 --> 00:04:32.980]  一個海島都會移動
[00:04:32.980 --> 00:04:35.360]  你想一下這些是多少級地震
[00:04:35.360 --> 00:04:37.280]  海島在那裡移動
[00:04:37.280 --> 00:04:39.560]  所以這個一般的輿論就是說
[00:04:39.560 --> 00:04:43.440]  在主耶穌回來之前
[00:04:43.440 --> 00:04:47.020]  回來之前直至到世界末日的七個景象
[00:04:47.020 --> 00:04:48.900]  今天和大家繼續去看
[00:04:48.900 --> 00:04:52.200]  就是體數的第六章的十五、十六、十七節
[00:04:52.200 --> 00:04:53.320]  十五、十六、十七節
[00:04:53.320 --> 00:04:54.240]  好 經文在這裡
[00:04:54.240 --> 00:04:56.740]  所以大家可以看著
[00:04:56.740 --> 00:05:01.560]  首先就是地上的君王、臣、宰、將軍、父、戶、壯士
[00:05:01.560 --> 00:05:04.940]  和一切遺牢的自主的
[00:05:04.940 --> 00:05:06.240]  大家數一下有多少種人
[00:05:06.240 --> 00:05:07.120]  七種
[00:05:07.120 --> 00:05:08.360]  又是那七字
[00:05:08.360 --> 00:05:13.120]  君王、一、臣、二、將軍、三、父、戶、四、壯士
