
[00:00:00.000 --> 00:00:04.760]  感謝上帝透過喜樂詩班剛才帶出的這首詩歌
[00:00:04.760 --> 00:00:06.760]  On the Night of Wonder
[00:00:06.760 --> 00:00:12.260]  鼎姐妹,你覺得今天上帝對我們的愛是否奇異呢?
[00:00:12.260 --> 00:00:15.260]  如果是的話,和你旁邊的朋友說一聲
[00:00:15.260 --> 00:00:17.260]  神的愛真是很奇異
[00:00:17.260 --> 00:00:24.260]  神的愛真是很奇異
[00:00:24.260 --> 00:00:28.260]  所以我們有很多人生都是
[00:00:28.260 --> 00:00:30.260]  你的片段你回想的時候
[00:00:30.260 --> 00:00:36.260]  我們的上帝是有很多的驚喜給我們
[00:00:36.260 --> 00:00:38.260]  但這些驚喜的背後
[00:00:38.260 --> 00:00:41.260]  不代表我們的人生是風平浪靜
[00:00:41.260 --> 00:00:44.260]  也不代表我們信了耶穌之後
[00:00:44.260 --> 00:00:46.260]  就好像一點難處都沒有
[00:00:46.260 --> 00:00:49.260]  正正是相反,但也是因為這樣的信仰
[00:00:49.260 --> 00:00:53.260]  我們知道我們所信靠的那位是又真又活的神
[00:00:53.260 --> 00:00:55.260]  今天和大家分享這個題目
[00:00:55.260 --> 00:00:59.260]  繼續延續茶口使徒行傳
[00:00:59.260 --> 00:01:01.260]  在經卷裏面
[00:01:01.260 --> 00:01:03.260]  來到第十四章
[00:01:03.260 --> 00:01:05.260]  當我仔細去研讀的時候
[00:01:05.260 --> 00:01:07.260]  我得出一個結論
[00:01:07.260 --> 00:01:10.260]  也嘗試用這個題目帶給大家
[00:01:10.260 --> 00:01:12.260]  善目良目
[00:01:12.260 --> 00:01:13.260]  你一聽完之後
[00:01:13.260 --> 00:01:16.260]  是否覺得我去了一個教目的退修會呢?
[00:01:16.260 --> 00:01:19.260]  林牧師是否在和一班傳道人說呢?
[00:01:19.260 --> 00:01:23.260]  怎樣做一個良善的目者
[00:01:23.260 --> 00:01:26.260]  又良善的一個僕人呢?
[00:01:26.260 --> 00:01:29.260]  其實你是有份的
[00:01:29.260 --> 00:01:31.260]  因為我正是在這個講題裏面
[00:01:31.260 --> 00:01:33.260]  很想大家看見
[00:01:33.260 --> 00:01:35.260]  今天其實每一個神的兒女
[00:01:35.260 --> 00:01:39.260]  你都在上帝呼召你的職份上
[00:01:39.260 --> 00:01:41.260]  你是一個祭司
[00:01:41.260 --> 00:01:44.260]  你有份參與在這個神的角度的大使命
[00:01:44.260 --> 00:01:47.260]  你是沒有枉活你的人生的
[00:01:47.260 --> 00:01:50.260]  所以不只是傳道人才有這個專利
[00:01:50.260 --> 00:01:52.260]  去和人分享耶穌基督
