
[00:00:00.000 --> 00:00:02.780]  很高興在套年的第一個主日
[00:00:02.780 --> 00:00:04.120]  也是大年初一
[00:00:04.120 --> 00:00:06.920]  可以看到大家回來教會一起敬拜神
[00:00:06.920 --> 00:00:17.640]  大家今天穿的都是五顏六色的
[00:00:17.640 --> 00:00:23.600]  特別有些人穿了傳統的服裝
[00:00:23.600 --> 00:00:29.840]  有姊妹就拿回結婚那件出來
[00:00:29.840 --> 00:00:32.280]  有些姊妹就拿結婚的衣服出來
[00:00:32.280 --> 00:00:35.040]  個個都很羨慕 為什麼還適合穿
[00:00:35.040 --> 00:00:37.440]  很多人就很羨慕了還能穿
[00:00:37.440 --> 00:00:42.720]  很高興見到大家
[00:00:42.720 --> 00:00:45.840]  因為這也是耶和華的日子
[00:00:45.840 --> 00:00:50.160]  給我們有一個農曆的新年
[00:00:50.160 --> 00:00:53.240]  讓我們大家一起來到
[00:00:53.240 --> 00:00:54.720]  弟兄姊妹朋友來到
[00:00:54.720 --> 00:00:57.320]  可以一起有團拜的時間
[00:01:00.840 --> 00:01:02.840]  忘記和大家拜年
[00:01:02.840 --> 00:01:08.600]  祝大家主恩常在
[00:01:08.600 --> 00:01:10.680]  福杯滿日
[00:01:10.680 --> 00:01:13.120]  事主蒙福
[00:01:13.120 --> 00:01:15.600]  重生得利
[00:01:15.600 --> 00:01:17.640]  一無掛慮
[00:01:17.640 --> 00:01:19.640]  凡事富足
[00:01:19.640 --> 00:01:21.840]  常常喜樂
[00:01:21.840 --> 00:01:23.760]  如應展前
[00:01:23.760 --> 00:01:28.000]  原來聖經有這麼多四字的祝福語
[00:01:30.440 --> 00:01:33.560]  是不是比恭喜發財那些高層次
[00:01:33.560 --> 00:01:36.560]  我們的神勁
[00:01:36.560 --> 00:01:40.160]  其實大家說的那幾句
[00:01:40.160 --> 00:01:43.120]  恭喜發財 青春常駐 心想事成
[00:01:43.120 --> 00:01:44.680]  那些意義不是很大
[00:01:44.680 --> 00:01:51.640]  恭喜發財
[00:01:51.640 --> 00:01:53.760]  年年都說了 你發財了嗎
[00:01:53.760 --> 00:01:58.400]  其實怎樣才可以發財
[00:02:00.400 --> 00:02:03.680]  發財通常就是做生意可以發財
[00:02:03.680 --> 00:02:08.640]  打工仔永遠不會發財
