
[00:00:00.000 --> 00:00:05.000]  今日我嘅題目呢就係即係即係可能會比較上係嚴肅少少嘅
[00:00:05.000 --> 00:00:10.000]  即係呢個題目就係紮根性經嘩即係幾嚴肅嘅你同隔離講幾嚴肅嘅紮根性經
[00:00:10.000 --> 00:00:15.000]  即係靈命成長添加埋啲咁嘅嘢姐係今日咁你見到今日我冇打胎
[00:00:15.000 --> 00:00:20.000]  頭先講完到係打胎嘅而到呢度我唔打胎因為我見到大家都冇打胎我就唔打胎姐係
[00:00:20.000 --> 00:00:25.000]  咁呀即係因為大家都應該好casual我見到Pastor Jim著住波鞋咁我覺得感謝主姐係
[00:00:25.000 --> 00:00:32.000]  即係我可以即係好自由地係呢度即係可以唔使打胎都可以講到咁呀咁呀點解
[00:00:32.000 --> 00:00:40.000]  可以我要淫呢個題目嘅咁呀因為其實我好想帶出一個我哋我哋基督徒
[00:00:40.000 --> 00:00:47.000]  好好重要好好基本但係我哋基督徒好多時好忽略嘅一樣嘢我講出嚟嘅
[00:00:47.000 --> 00:00:55.000]  大家又會話扯又講啲咁嘅嘢你講定先啦你話扯又講啲咁嘅嘢即係因為我好想講
[00:00:55.000 --> 00:01:03.000]  即係靈修係咪好重要你話咪扯又講靈修係咪即係由細到大都聽依兩個字姐係咪
[00:01:03.000 --> 00:01:11.000]  真係㗎我都反省呢個問題靈修係咪好重要我今日呢篇到嘅
[00:01:11.000 --> 00:01:18.000]  縱然我會用詩篇42篇由第一節到第五節即係同大家分享但其實係講緊我自己
[00:01:18.000 --> 00:01:24.000]  係我自己侍奉呢幾十年嘅旅邊係我自己的反思
[00:01:24.000 --> 00:01:29.000]  亦都係好真實地將我自己生命即係呈現喺弟兄姊妹面前
[00:01:29.000 --> 00:01:36.000]  因為我覺得呢個題目即係由我信耶穌嗰日我嘅牧師已經係同我講
[00:01:36.000 --> 00:01:41.000]  你而家信耶穌呀記得呀要返崇拜呀記得要靈修呀咁即係
[00:01:41.000 --> 00:01:46.000]  記得要靈修記得要返崇拜最好返埋祈禱會呀咁即係我嘅牧師都係咁教我
[00:01:46.000 --> 00:01:52.000]  所以我就會教大家一信耶穌嘅就記得要靈修呀記得要返崇拜呀記得返祈禱會
[00:01:52.000 --> 00:01:56.000]  咁即係即係我就由四十幾年前一個咁嘅成長
[00:01:56.000 --> 00:02:02.000]  咁到而家做咗牧師做咗四十幾年亦都係希望能夠係講返呢啲咁嘅嘢
[00:02:02.000 --> 00:02:06.000]  所以我自己都講咗幾十年即係靈修有時我自己都覺得好悶
[00:02:06.000 --> 00:02:10.000]  即係做牧師講幾多靈修咁咪有冇真係幾悶
[00:02:10.000 --> 00:02:13.000]  即係我有時都覺得自己好悶即係講埋呢啲咁嘅嘢
[00:02:13.000 --> 00:02:20.000]  咁但係點解我今日好想同我哋一班即係對我而講
[00:02:20.000 --> 00:02:24.000]  絕大部分都好年輕嘅絕大部分呀唔係唔應該絕大部分
[00:02:24.000 --> 00:02:28.000]  百分之百好年輕呀對唔住如果得罪大家就唔會輸真係真係唔好意思
[00:02:28.000 --> 00:02:32.000]  我今日已經六十六歲真係冇理由同你哋大過我呀係咪真係
[00:02:32.000 --> 00:02:37.000]  我今日已經六十幾歲所以變咗我覺得即係喺我人生去邊去到六十幾歲
[00:02:37.000 --> 00:02:42.000]  咁我成日都問返我自己呀究竟靈修係咪好重要
[00:02:42.000 --> 00:02:48.000]  真係嘅因為幾年前有個主教即係聖公會主教咁佢曾經做過調查
[00:02:48.000 --> 00:02:56.000]  佢話全世界基督徒唔超過百分之三十係日日都有靈修
[00:02:56.000 --> 00:03:01.000]  仲超過百分之三十當然我唔會叫大家舉手呀我唔會叫大家調查下究竟我哋有幾多percent
[00:03:01.000 --> 00:03:08.000]  就因為我就被呢個主教呢句說話係觸發我自己再去講呢個問題
[00:03:08.000 --> 00:03:12.000]  咁當然我今日會同大家講呢係我自己嘅一啲嘅掙扎嚟嘅
[00:03:12.000 --> 00:03:17.000]  所以我會好坦誠同大家分享我自己我呢四十幾年嘅侍奉
[00:03:17.000 --> 00:03:23.000]  去到我侍奉裏邊去到一個另一個階段即係大家都知道三月三十號
[00:03:23.000 --> 00:03:30.000]  大家都知道我自己即係去到六十五歲呢我一定要退下某啲嘅嘢
[00:03:30.000 --> 00:03:34.000]  咁縱然而家我未退嘅我去到十月先退嘅
[00:03:34.000 --> 00:03:39.000]  咁但係我都明去到六十幾歲我一定要去興起第二代
[00:03:39.000 --> 00:03:45.000]  而第二代呢喺我自己嘅觀點裏邊呢係要一代要精彩過一代係咩
[00:03:45.000 --> 00:03:48.000]  所以我成日都覺得你哋一定會精彩過我
[00:03:48.000 --> 00:03:50.000]  如果你哋唔精彩過我嘅就冇意思
[00:03:50.000 --> 00:03:54.000]  我希望我用我嘅能夠可以幫到大家或者祝福到大家
[00:03:54.000 --> 00:04:01.000]  或者同大家同行呢希望你哋有一日你哋嘅精彩嘅程度係比我更精彩
[00:04:01.000 --> 00:04:04.000]  以至到教會先能夠不斷嘅去復興
[00:04:04.000 --> 00:04:09.000]  即係如果我覺得我已經好精彩嘅即係已經你哋唔好嘅你哋渣啲嘅渣啲嘅
[00:04:09.000 --> 00:04:14.000]  咁冇意思嘅咁教會就會慢慢慢慢低落去到可能呢個世界某啲國家裏邊
[00:04:14.000 --> 00:04:19.000]  你發覺嘩啲教會已經唔係教會呀教會變咗玩bingo嘅地方
[00:04:19.000 --> 00:04:23.000]  教會已經係賣咗畀一啲嘅做生意嘅啲人去開酒店
[00:04:23.000 --> 00:04:30.000]  即係你會發覺如果教會係咁就變咗下一代就唔能夠精彩過我哋呢一代嘅時候
[00:04:30.000 --> 00:04:32.000]  教會只會越來越衰退
[00:04:32.000 --> 00:04:37.000]  所以我覺得今日我好希望你哋亦都係我祈禱
[00:04:37.000 --> 00:04:41.000]  亦都係我好信你哋一定比我精彩Amen
[00:04:41.000 --> 00:04:45.000]  你同嘉儀講要精彩過何牧師快啲講快啲講
[00:04:45.000 --> 00:04:48.000]  即係你哋要從心講要精彩過何牧師
[00:04:48.000 --> 00:04:50.000]  咁先有盼望我先有盼望
[00:04:50.000 --> 00:04:54.000]  如果你話咋過何牧師我就無乜盼望知唔知
[00:04:54.000 --> 00:04:57.000]  所以我要有盼望我要你哋一定要精彩過我
[00:04:57.000 --> 00:05:00.000]  所以我同大家講一個咁嚴肅嘅問題
[00:05:00.000 --> 00:05:07.000]  就因為我好想你哋唔好重蹈我自己過去嘅一啲嘅困難
[00:05:07.000 --> 00:05:09.000]  唔好重蹈我嘅覆轍
[00:05:09.000 --> 00:05:13.000]  以致到我好希望喺你哋嘅成長你哋嘅人生嘅當中
[00:05:13.000 --> 00:05:20.000]  你哋唔好忘記今日我作為一個老人家同大家講啲老人家嘅嘢
[00:05:20.000 --> 00:05:25.000]  所以我話呢個題目好嚴肅但係都係我自己嘅一啲肺腑之言
[00:05:25.000 --> 00:05:28.000]  詩篇四十二篇究竟邊個寫
[00:05:28.000 --> 00:05:32.000]  當然唔同嘅學者亦都有唔同嘅講法
[00:05:32.000 --> 00:05:36.000]  有四個唔同講法究竟詩篇四十二篇係邊個寫
[00:05:36.000 --> 00:05:38.000]  但詩一二四十二篇其實我哋好熟
[00:05:38.000 --> 00:05:41.000]  好多詩歌都係用詩篇四十二篇嚟到作
[00:05:41.000 --> 00:05:43.000]  所以我就唔讀住
[00:05:43.000 --> 00:05:45.000]  但係詩篇四十二篇邊個寫呢
[00:05:45.000 --> 00:05:47.000]  咁原來有四個唔同講法
[00:05:47.000 --> 00:05:53.000]  第一有啲學者就話係其中一個秘魯去巴比倫嘅一個利美人
[00:05:53.000 --> 00:05:57.000]  佢係一個即係專係聖殿嗰邊侍奉嘅一個利美人
[00:05:57.000 --> 00:05:59.000]  佢期待有一日返返去耶路撒冷
[00:05:59.000 --> 00:06:06.000]  可以喺耶路撒冷嘅聖殿同返自己嘅國家嘅人一齊去見拜神
[00:06:06.000 --> 00:06:10.000]  佢好想佢好想能夠有一日秘魯歸回返返去耶路撒冷
[00:06:10.000 --> 00:06:12.000]  咁第二個講法就係大衛
[00:06:12.000 --> 00:06:16.000]  大衛自己佢就因為佢喺面對佢自己嘅仔
