
[00:00:00.000 --> 00:00:03.080]  待會給大家看一張相,你知不知道他是誰呢?
[00:00:03.080 --> 00:00:09.380]  鹹蛋超人,我想沒有人不認識的
[00:00:09.380 --> 00:00:12.980]  可能小朋友都知道,因為鹹蛋超人有很多代
[00:00:12.980 --> 00:00:15.540]  鹹蛋超人的任務是什麼呢?
[00:00:15.540 --> 00:00:17.900]  保衛地球
[00:00:17.900 --> 00:00:23.080]  大家看那些日本的科幻片,通常有一個很奇怪的發現
[00:00:23.080 --> 00:00:26.480]  就是那些地球人永遠沒有能力去保衛自己
[00:00:26.480 --> 00:00:29.960]  是需要借助強大的外來能力
[00:00:29.960 --> 00:00:33.700]  就像這些鹹蛋超人去保衛他們
[00:00:33.700 --> 00:00:36.000]  但是雖然是這樣
[00:00:36.000 --> 00:00:38.580]  地球人往往有些組織
[00:00:38.580 --> 00:00:43.480]  例如地球防衛隊、反怪獸組
[00:00:43.480 --> 00:00:45.800]  有這些組織成立
[00:00:45.800 --> 00:00:48.760]  代表他們有一個願意的心
[00:00:48.760 --> 00:00:52.560]  他們和鹹蛋超人合作,去同心合力
[00:00:52.560 --> 00:00:55.340]  去保衛地球,他們的家園
[00:00:55.960 --> 00:00:59.320]  講到保衛地球,這個責任就很大了
[00:00:59.320 --> 00:01:04.520]  我們不如交給聯合國、美國、中國等強國去處理
[00:01:04.520 --> 00:01:07.040]  但是保衛家庭呢?
[00:01:07.040 --> 00:01:12.720]  無論你願不願意明白也好
[00:01:12.720 --> 00:01:14.400]  或者你承不承認也好
[00:01:14.400 --> 00:01:15.920]  你知不知道也好
[00:01:15.920 --> 00:01:20.120]  其實每一個人心底裡都有一個願望
[00:01:20.120 --> 00:01:22.320]  心裡有一個渴求
[00:01:22.320 --> 00:01:25.560]  就是我們很想有一個幸福快樂的家庭
[00:01:25.560 --> 00:01:28.520]  無論你願不願意承認也好
[00:01:28.520 --> 00:01:30.920]  心裡也有這個渴望
[00:01:30.920 --> 00:01:32.160]  大家有沒有聽過
[00:01:32.160 --> 00:01:35.480]  在家千日好,出外半朝難
[00:01:35.480 --> 00:01:37.840]  其實每個人心裡都有一個共同的願望
[00:01:37.840 --> 00:01:40.320]  就是有一個幸福快樂的家庭
[00:01:40.320 --> 00:01:43.200]  既然有這個幸福快樂的家庭
[00:01:43.200 --> 00:01:48.160]  我們就要努力、盡力去保護這個家庭
[00:01:48.160 --> 00:01:51.680]  讓它免受外來的威脅
[00:01:51.680 --> 00:01:57.680]  究竟什麼是幸福快樂的家庭最大的威脅呢?
[00:01:57.680 --> 00:01:59.040]  以下這張照片
[00:01:59.040 --> 00:02:01.040]  大家知不知道他是誰呢?
[00:02:01.040 --> 00:02:03.920]  很久之前有一個粵劇名伶
[00:02:03.920 --> 00:02:05.520]  叫《新馬斯曾》
[00:02:05.520 --> 00:02:10.120]  他有一首首本名曲叫《萬惡淫為首》
[00:02:10.120 --> 00:02:11.520]  可能Henry會唱
[00:02:11.520 --> 00:02:15.080]  《萬惡淫為首》為什麼叫《萬惡淫為首》呢?
[00:02:15.080 --> 00:02:17.720]  因為現今這個社會
[00:02:17.720 --> 00:02:19.000]  我們的家庭
[00:02:19.000 --> 00:02:21.360]  所面對很多很多的困難
[00:02:21.360 --> 00:02:22.880]  很多的危機
[00:02:22.880 --> 00:02:25.520]  其實其中一個最主要的原因是什麼呢?
[00:02:25.520 --> 00:02:27.040]  姦淫的問題
[00:02:27.040 --> 00:02:30.440]  所以十誡裡面第七條是說
[00:02:30.440 --> 00:02:32.120]  不可姦淫
[00:02:32.120 --> 00:02:33.960]  姦淫這個字
[00:02:33.960 --> 00:02:36.760]  在希伯來文叫na'a
[00:02:36.760 --> 00:02:39.880]  在希臘文叫maifiua
[00:02:39.880 --> 00:02:42.560]  在《聖經》一共出現了38次
[00:02:42.560 --> 00:02:44.320]  每一次的出現
[00:02:44.320 --> 00:02:46.680]  都是提到神不起悅
[00:02:46.680 --> 00:02:48.560]  神憎惡的行為
[00:02:48.560 --> 00:02:50.160]  什麼是姦淫呢?
[00:02:50.160 --> 00:02:53.560]  姦淫是婚姻以外的性關係
[00:02:53.560 --> 00:02:57.640]  也包括婚前的性關係
[00:02:57.640 --> 00:03:00.720]  姦淫為什麼威脅這麼大呢?
[00:03:00.720 --> 00:03:04.040]  因為姦淫可以摧毀我們的人生
[00:03:04.040 --> 00:03:06.040]  摧毀我們的家庭
[00:03:06.040 --> 00:03:09.000]  根據一些社會學家的研究
[00:03:09.000 --> 00:03:10.360]  這個發現
[00:03:10.360 --> 00:03:14.360]  超過90%的少年人
[00:03:14.360 --> 00:03:16.440]  他們在十七歲之前
[00:03:16.440 --> 00:03:18.160]  都看過色情的網頁
[00:03:18.160 --> 00:03:19.600]  看過色情的雜誌
[00:03:19.600 --> 00:03:22.960]  當中有超過70%的少年人
[00:03:22.960 --> 00:03:26.120]  表示他們曾經仿效色情網站
[00:03:26.120 --> 00:03:29.320]  色情雜誌裡面的行為
[00:03:29.320 --> 00:03:30.520]  在美國
[00:03:30.520 --> 00:03:32.400]  每24小時
[00:03:32.400 --> 00:03:34.200]  就有4000個少年人
[00:03:34.200 --> 00:03:36.920]  因為性行為而染上性病
[00:03:36.920 --> 00:03:38.440]  每24小時
[00:03:38.440 --> 00:03:41.600]  就有2000個少女未婚成人
[00:03:41.600 --> 00:03:44.160]  因為這樣有1200個少女
[00:03:44.160 --> 00:03:45.800]  要接受墮胎手術
