
[00:00:00.000 --> 00:00:06.340]  菲律賓書第一章第三到第六節
[00:00:06.340 --> 00:00:09.700]  保羅在這裡,我每逢想念你們就感謝我的神
[00:00:09.700 --> 00:00:13.700]  每逢為你們眾人祈求的時候,常是歡歡喜喜的祈求
[00:00:13.700 --> 00:00:16.540]  因為從頭一天直到如今
[00:00:16.540 --> 00:00:19.660]  你們是同心合一的心旺福音
[00:00:19.660 --> 00:00:23.140]  第六節,我深信那在你們心裡動了善功的
[00:00:23.140 --> 00:00:27.260]  必成全這功,直到耶穌基督的日子
[00:00:27.260 --> 00:00:29.000]  我們就讀到這裡
[00:00:29.000 --> 00:00:33.480]  上禮拜我們教會的人數是一次性的新高
[00:00:33.480 --> 00:00:38.140]  包括晚崇拜,我們的人數是3421人
[00:00:38.140 --> 00:00:42.640]  Hallelujah
[00:00:42.640 --> 00:00:47.540]  Even我們扣除了晚崇拜,也有3150人
[00:00:47.540 --> 00:00:51.680]  生命和是一個繼續不斷成長的教會
[00:00:51.680 --> 00:00:52.640]  Amen
[00:00:52.640 --> 00:00:57.000]  最近我回頭看了一下我們教會人數的成長
[00:00:57.000 --> 00:01:00.800]  從2003年我們搬到這個新堂
[00:01:00.800 --> 00:01:03.780]  一直到如今這十年來
[00:01:03.780 --> 00:01:08.800]  我們人數從1300人增長到3100人
[00:01:08.800 --> 00:01:11.440]  是成長了一倍半
[00:01:11.440 --> 00:01:14.400]  特別是2012年
[00:01:14.400 --> 00:01:18.140]  我們完成了兒童中心之後
[00:01:18.140 --> 00:01:22.840]  從2012年到現在短短的兩年多的時間
[00:01:22.840 --> 00:01:28.700]  我們人數也是從當時的2500人增長到現在3100人
[00:01:28.700 --> 00:01:33.280]  換句話說在兩年多的時間我們增長了600人
[00:01:33.280 --> 00:01:37.940]  今年青少年會堂陸續完工之後
[00:01:37.940 --> 00:01:41.840]  我們也預計將會有更大的成長
[00:01:41.840 --> 00:01:47.180]  事實上上個禮拜光是初中部我們就163人
[00:01:47.180 --> 00:01:50.380]  高中部225人
[00:01:50.380 --> 00:01:54.680]  如果我們把我們教會的兒童部跟青少年部的
[00:01:54.680 --> 00:01:56.900]  所有下一個generation
[00:01:56.900 --> 00:01:59.700]  我們叫next gen的人數加起來
[00:01:59.700 --> 00:02:01.240]  我們已經超過1000人了
[00:02:01.240 --> 00:02:02.440]  Hallelujah
[00:02:02.440 --> 00:02:06.500]  它本身就是個Mega Church
[00:02:06.500 --> 00:02:09.640]  這真是一個不斷繼續成長的教會
[00:02:09.640 --> 00:02:11.700]  就像今天我們所讀的經文
[00:02:11.700 --> 00:02:13.940]  保羅說我們真的要感謝神
[00:02:13.940 --> 00:02:16.500]  因為從開始直到如今
[00:02:16.500 --> 00:02:20.380]  我們都同心合意在興旺福音
[00:02:20.380 --> 00:02:21.500]  Amen
[00:02:21.500 --> 00:02:25.240]  當然成長也帶來很多的不方便
[00:02:25.240 --> 00:02:28.480]  停車就是一個最大的不方便
[00:02:28.480 --> 00:02:31.280]  所以在這裡真的是要請大家多多包容
[00:02:31.280 --> 00:02:33.940]  我們在成長中的過程
[00:02:33.940 --> 00:02:38.440]  我常說就好像你在公路上看人家修馬路一樣
[00:02:38.440 --> 00:02:42.300]  在每一個修馬路的旁邊一定放了一個牌子不是嗎
[00:02:42.300 --> 00:02:46.740]  那個牌子上寫著施公期間諸多不便
[00:02:46.740 --> 00:02:48.680]  敬請包容
[00:02:48.680 --> 00:02:53.140]  我就想到其實今天神在這個教會的工作還沒有完成
[00:02:53.140 --> 00:02:56.040]  神繼續不斷的在我們中間工作
[00:02:56.040 --> 00:02:58.080]  所以其實我們每一個人的生命當中
[00:02:58.080 --> 00:03:00.440]  其實也應該掛一個牌子不是嗎
[00:03:00.440 --> 00:03:02.040]  我們每個人都掛一個牌子
[00:03:02.040 --> 00:03:05.340]  施公期間諸多不便
[00:03:05.340 --> 00:03:06.580]  敬請包容
[00:03:06.580 --> 00:03:07.500]  Amen
[00:03:07.500 --> 00:03:08.340]  Hallelujah
[00:03:08.340 --> 00:03:14.400]  給你旁邊的弟兄讓我們多多包容彼此包容跟他說
[00:03:14.400 --> 00:03:17.100]  所以今天早上我要從五方面來思想
[00:03:17.100 --> 00:03:20.280]  這是一個成長中的教會
[00:03:20.280 --> 00:03:21.680]  從五方面我們來看
[00:03:21.680 --> 00:03:23.180]  第一個
[00:03:23.180 --> 00:03:26.500]  神給我們一個成長的意象
[00:03:26.500 --> 00:03:30.740]  給你旁邊的弟兄說神給我們一個成長的意象
[00:03:30.740 --> 00:03:35.040]  在1995年我們開始建立生命和靈良堂的時候
[00:03:35.040 --> 00:03:40.840]  我們很清楚看見生命和是要流向萬國萬民的
[00:03:40.840 --> 00:03:45.400]  那就是一個不斷成長的意象擺在我們面前
[00:03:45.400 --> 00:03:48.240]  我還記得當我們在慶祝十週年慶典的時候
[00:03:48.240 --> 00:03:51.180]  YWAM的創辦人Lauren Conahan
[00:03:51.180 --> 00:03:53.180]  很清楚的對我們說
[00:03:53.180 --> 00:03:56.880]  生命和是需要繼續不斷湧流出去的
[00:03:56.880 --> 00:03:59.540]  如果有一天我們不再湧流的話
[00:03:59.540 --> 00:04:01.740]  那我們就應當改名字了
[00:04:01.740 --> 00:04:02.840]  不能叫生命和
[00:04:02.840 --> 00:04:04.940]  只能叫生命沼澤了
[00:04:04.940 --> 00:04:07.480]  你們願意做生命沼澤嗎
[00:04:07.480 --> 00:04:08.740]  No
[00:04:08.740 --> 00:04:14.080]  我們看見生命和就是一個不斷成長的一個教會
[00:04:14.080 --> 00:04:16.480]  這個成長不但是在生命上
[00:04:16.480 --> 00:04:18.180]  在事公上
[00:04:18.180 --> 00:04:20.880]  更是在人數上的成長
[00:04:20.880 --> 00:04:22.340]  在1998年的時候
