
[00:00:00.000 --> 00:00:06.040]  眨眼有一日,仍然是講以色列人
[00:00:06.040 --> 00:00:08.760]  不過今次是講弱勢的後裔
[00:00:08.760 --> 00:00:11.960]  你知道,以色列十二支派
[00:00:11.960 --> 00:00:15.000]  約書亞帶他們入了迦南地
[00:00:15.000 --> 00:00:19.680]  摩西帶他們離開埃及,一路行完抗日入迦南
[00:00:19.680 --> 00:00:22.600]  入迦南約書亞接手帶他們入去
[00:00:22.600 --> 00:00:25.640]  一路打低了當地人
[00:00:25.640 --> 00:00:28.560]  南部五個王,北部數不到那麼多個王
[00:00:28.560 --> 00:00:32.200]  都被他們平定了,吊在樹上
[00:00:32.200 --> 00:00:34.640]  將那些人趕走或殺死
[00:00:34.640 --> 00:00:39.160]  開始分地了,不過還有很多未得之地
[00:00:39.160 --> 00:00:41.520]  如果你早幾日看到地圖
[00:00:41.520 --> 00:00:45.920]  有些是粉紅色未得之地,黃色得了的地
[00:00:45.920 --> 00:00:48.760]  後來再講,他們都開始得了
[00:00:48.760 --> 00:00:53.280]  未得那怎麼辦?未得已經分了
[00:00:53.280 --> 00:00:57.040]  分了又未得怎麼辦?你自己去打仗獲得
[00:00:57.040 --> 00:01:01.360]  你自己去拿,昨日讀就是
[00:01:01.360 --> 00:01:05.360]  你迦南給你一塊地,你自己去打,自己去獲得
[00:01:05.360 --> 00:01:10.080]  你不要等,等你給我,天跌下來
[00:01:10.080 --> 00:01:13.480]  我們無論自己屬靈的經歷
[00:01:13.480 --> 00:01:16.360]  無論世上有什麼都是神給我們
[00:01:16.360 --> 00:01:19.280]  叫我們朝著目標去獲得
[00:01:19.280 --> 00:01:23.200]  你獲得給你,是應許的,你拿
[00:01:23.200 --> 00:01:27.440]  我不拿,不拿那個應許的禮物永遠給不到你
[00:01:27.440 --> 00:01:31.240]  起碼你要自己伸手去拿
[00:01:31.240 --> 00:01:34.520]  要做些事的,都要戰鬥的,都要獲得的
[00:01:34.520 --> 00:01:39.000]  好了,現在分地了
[00:01:39.000 --> 00:01:43.880]  這句是「不可僅有一溝之地」
