
[00:00:00.000 --> 00:00:03.400]  今天我們要結束《生命記》
[00:00:03.400 --> 00:00:05.520]  我們講《生命記》已經半年了
[00:00:05.520 --> 00:00:08.800]  今天講到最後是兩章的經文
[00:00:08.800 --> 00:00:11.440]  33章和34章
[00:00:11.440 --> 00:00:14.400]  其實都是講到摩西臨死
[00:00:14.400 --> 00:00:17.080]  給十二支派的祝福
[00:00:17.080 --> 00:00:18.600]  然後祝福完了之後
[00:00:18.600 --> 00:00:20.840]  他就個人上去尼泊爾山
[00:00:20.840 --> 00:00:24.720]  然後他就在那裡死了
[00:00:24.720 --> 00:00:28.120]  這個題目我想一下應該叫做什麼呢
[00:00:28.120 --> 00:00:30.280]  想了很久都想不到
[00:00:30.280 --> 00:00:36.400]  後來看到摩西在《生命記》33章25節
[00:00:36.400 --> 00:00:38.480]  就是剛才讀的經文
[00:00:38.480 --> 00:00:42.440]  摩西和阿徹這個支派
[00:00:42.440 --> 00:00:44.520]  他說你的日子如何
[00:00:44.520 --> 00:00:47.080]  你的力量也是如何
[00:00:47.080 --> 00:00:51.000]  我相信這個題目對摩西來說
[00:00:51.000 --> 00:00:53.080]  也是非常的貼切
[00:00:53.080 --> 00:00:55.960]  摩西一生人他的日子如何
[00:00:55.960 --> 00:00:59.000]  他的力量也是如何
[00:00:59.000 --> 00:01:03.000]  今天會和大家看看三個重點
[00:01:03.000 --> 00:01:04.760]  第一個就是
[00:01:04.760 --> 00:01:06.680]  摩西 神人摩西
[00:01:06.680 --> 00:01:09.120]  究竟他的力量從何而來
[00:01:09.120 --> 00:01:10.920]  我們說他的日子如何
[00:01:10.920 --> 00:01:12.840]  他的力量也是如何
[00:01:12.840 --> 00:01:15.640]  到底他的力量從何而來
[00:01:15.640 --> 00:01:17.720]  第二個要和大家講的
[00:01:17.720 --> 00:01:21.720]  就是他到底是依靠誰的力量
[00:01:21.720 --> 00:01:24.280]  第三點和大家看的
[00:01:24.280 --> 00:01:28.320]  就是一個有神力量的人在身上的人
[00:01:28.320 --> 00:01:30.360]  他究竟有什麼特徵
[00:01:30.360 --> 00:01:31.880]  好像摩西一樣
[00:01:31.880 --> 00:01:34.840]  所以今天會和大家講這三點
[00:01:34.840 --> 00:01:39.040]  我們先看看摩西力量的來源
[00:01:39.040 --> 00:01:42.120]  摩西在《生命記》33章第一節
[00:01:42.120 --> 00:01:45.000]  他叫自己做神人
[00:01:45.000 --> 00:01:48.440]  這個字在聖經裡面
[00:01:48.440 --> 00:01:53.240]  是第一次出現在《生命記》33章第一節
[00:01:53.240 --> 00:01:58.080]  摩西是一個和神面對面說話
[00:01:58.080 --> 00:02:00.320]  是與神同行的人
[00:02:00.320 --> 00:02:01.400]  毫無疑問
[00:02:01.400 --> 00:02:04.920]  摩西的力量是從神那裡來的
[00:02:04.920 --> 00:02:10.040]  因為我們看到摩西最後給十二支派的祝福
[00:02:10.040 --> 00:02:12.880]  是滿有預言在裡面的
[00:02:12.880 --> 00:02:16.640]  我們知道預言不是我們自己要講就講得出來
[00:02:16.640 --> 00:02:20.200]  摩西是有神而來的力量
[00:02:20.200 --> 00:02:24.200]  能夠講出很多日後的預言
[00:02:24.200 --> 00:02:29.400]  我們先來看看這個祝福
[00:02:29.400 --> 00:02:33.080]  其實摩西的祝福在《生命記》33章
[00:02:33.080 --> 00:02:37.720]  和《創世紀》49章有很多相似的地方
[00:02:37.720 --> 00:02:41.440]  因為《創世紀》49章是講到雅各
[00:02:41.440 --> 00:02:43.680]  記不記得雅各有很多兒子
[00:02:43.680 --> 00:02:45.320]  雅各有十二個兒子
[00:02:45.320 --> 00:02:48.560]  日後變成了十二支派
[00:02:48.560 --> 00:02:54.520]  《創世紀》49章是為了十二個兒子來祝福
[00:02:54.520 --> 00:03:00.440]  也是與我們今天《生命記》33章所講的很相似
[00:03:00.440 --> 00:03:02.720]  我們從這兩個祝福
[00:03:02.720 --> 00:03:07.800]  就是《創世紀》49章和《生命記》33章
[00:03:07.800 --> 00:03:11.280]  從每個支派被祝福的篇幅
[00:03:11.280 --> 00:03:15.840]  我們就能夠知道哪些支派比較重要
[00:03:15.840 --> 00:03:20.400]  重要的支派有更多的祝福
[00:03:20.400 --> 00:03:22.440]  就好像猶大支派
[00:03:22.440 --> 00:03:23.880]  就好像約瑟
[00:03:23.880 --> 00:03:25.080]  約瑟有兩個兒子
[00:03:25.080 --> 00:03:27.160]  爾法蓮和馬拿西
[00:03:27.160 --> 00:03:28.800]  都有很多祝福
[00:03:28.800 --> 00:03:30.560]  還有彈的支派
[00:03:30.560 --> 00:03:32.640]  還有利美的支派
[00:03:32.640 --> 00:03:35.200]  但我們也會講劉便
[00:03:35.200 --> 00:03:38.320]  劉便支派他得到的祝福不多
[00:03:38.320 --> 00:03:41.680]  但因為劉便是雅各的長子
[00:03:41.680 --> 00:03:44.440]  所以值得我們一提
[00:03:44.440 --> 00:03:50.120]  我們先看看摩西對猶大的祝福
[00:03:50.120 --> 00:03:52.520]  在這裡雅各的祝福就是
[00:03:52.520 --> 00:03:55.600]  《創世紀》49章9節
[00:03:55.600 --> 00:03:59.160]  雅各叫猶大做小獅子
[00:03:59.160 --> 00:04:01.000]  所以很有趣
[00:04:01.000 --> 00:04:02.360]  你如果注意的話
[00:04:02.360 --> 00:04:05.400]  猶大人的軍旗
[00:04:05.400 --> 00:04:07.960]  他們會行軍安營
[00:04:07.960 --> 00:04:10.040]  每個支派都有軍旗
[00:04:10.040 --> 00:04:12.840]  猶大的軍旗就是一隻獅子
[00:04:12.840 --> 00:04:18.360]  他們就是東面軍隊的領袖
[00:04:18.360 --> 00:04:22.280]  另外雅各祝福他的兒子猶大
[00:04:22.280 --> 00:04:26.840]  他說貴必不離猶大
[00:04:26.840 --> 00:04:29.880]  他的將必不離他兩腳之間
[00:04:29.880 --> 00:04:32.600]  我以前也和大家講過很多次
[00:04:32.600 --> 00:04:35.280]  這一節的經文就是告訴我們
[00:04:35.280 --> 00:04:39.360]  王是由猶大的支派所出來
[00:04:39.360 --> 00:04:41.720]  所以我們見到耶穌基督
[00:04:41.720 --> 00:04:45.400]  我們見到大衛也是王
