
[00:00:00.000 --> 00:00:04.000]  各位兄弟姐妹,復活節平安!
[00:00:04.000 --> 00:00:09.000]  在復活節的時候,主耶穌向我們說:
[00:00:09.000 --> 00:00:11.000]  「願你們平安!」
[00:00:11.000 --> 00:00:16.000]  我們也可以帶著一份信心去領受這份平安,
[00:00:16.000 --> 00:00:22.000]  也帶著一份內心真正的平安去過每一天。
[00:00:22.000 --> 00:00:25.000]  今天我們感謝上帝讓我們在復活節的主日,
[00:00:25.000 --> 00:00:27.000]  我們也一起來敬拜上帝,
[00:00:27.000 --> 00:00:33.000]  我們也成為一個大師班,一起將讚美獻給這位復活的主。
[00:00:33.000 --> 00:00:35.000]  在我們開始一切思想聖經說話之前,
[00:00:35.000 --> 00:00:38.000]  大家和我坐在一起,我們同心仰望禱告。
[00:00:38.000 --> 00:00:47.000]  主啊,祢是那位得勝死亡的上帝,
[00:00:47.000 --> 00:00:51.000]  祢真是那位生命的主宰。
[00:00:51.000 --> 00:00:53.000]  主,我們感謝祢,
[00:00:53.000 --> 00:00:59.000]  今天祢不僅拯救我們,祢更加住在我們的心中。
[00:00:59.000 --> 00:01:04.000]  復活的主,祢比我們今天有盼望,
[00:01:04.000 --> 00:01:08.000]  祢更加應許要將永恆的榮耀,
[00:01:08.000 --> 00:01:12.000]  永恆的生命賜給信靠祢的人。
[00:01:12.000 --> 00:01:17.000]  主,我們看到我們在地上生活,
[00:01:17.000 --> 00:01:21.000]  有不少的問題、困擾,
[00:01:21.000 --> 00:01:24.000]  但是主,每當我們轉眼仰望祢的時候,
[00:01:24.000 --> 00:01:28.000]  主,我們知道祢曾經跟我們說,
[00:01:28.000 --> 00:01:32.000]  祢叫我們放心,因為祢已經得勝世界。
[00:01:32.000 --> 00:01:37.000]  主啊,地上滋長滋輕的困難,
[00:01:37.000 --> 00:01:41.000]  卻是為我們成就永遠長存的榮耀。
[00:01:41.000 --> 00:01:44.000]  主,我們感謝祢,我們讚美祢,
[00:01:44.000 --> 00:01:46.000]  今天祢的子民到祢面前來,
[00:01:46.000 --> 00:01:48.000]  同心地向祢獻上敬拜,
[00:01:48.000 --> 00:01:50.000]  願祢接納我們的感謝,
[00:01:50.000 --> 00:01:52.000]  也在我們敬拜祢的時候,
[00:01:52.000 --> 00:01:57.000]  讓我們眼睛可以看見祢自己復活的大能,
[00:01:57.000 --> 00:02:00.000]  我們更加領受祢所賜的信心,
[00:02:00.000 --> 00:02:03.000]  我們跟隨祢,我們愛祢。
[00:02:03.000 --> 00:02:05.000]  求主在這段時間,
[00:02:05.000 --> 00:02:08.000]  祢與我們同在,施恩於我們。
[00:02:08.000 --> 00:02:12.000]  我們仰望祈禱,奉耶穌基督成名祈求。
[00:02:12.000 --> 00:02:16.000]  我們再展開聖經,
[00:02:16.000 --> 00:02:23.000]  我們一起看聖經剛剛讀過的《哥林多後書》的一段經文。
[00:02:23.000 --> 00:02:25.000]  在剛剛前幾天,
[00:02:25.000 --> 00:02:28.000]  我有機會留心到一些圖片,
[00:02:28.000 --> 00:02:30.000]  我看到兩幅圖片,
[00:02:30.000 --> 00:02:39.000]  一幅圖片就是繪畫了主耶穌被釘的受傷的右手,
[00:02:39.000 --> 00:02:45.000]  這幅圖畫同時畫了一支很長很粗的釘,
[00:02:45.000 --> 00:02:47.000]  釘在耶穌的手上,
[00:02:47.000 --> 00:02:50.000]  而手的形態很特別,
[00:02:50.000 --> 00:02:53.000]  因為手是張開,
