
[00:00:00.000 --> 00:00:06.200]  我們進入到信息環節,我們繼續講的是我們過海有落的系列
[00:00:06.200 --> 00:00:12.000]  這個系列其實是之前我們一直在講的,就是說那幫以色列人過了紅海之後
[00:00:12.000 --> 00:00:15.800]  正式走上了這個曠野的道路里面
[00:00:15.800 --> 00:00:19.500]  在這個過程裏面,對上幾邊我們都聽到
[00:00:19.500 --> 00:00:25.100]  其實這幫以色列人很快就發現了出埃及之後的這個情況
[00:00:25.100 --> 00:00:30.900]  原來跟他們原先腦裏面所想的都有點落差
[00:00:30.900 --> 00:00:36.000]  又沒水喝,又沒東西喫,他們發覺開始漸漸地不對路了
[00:00:36.000 --> 00:00:42.000]  就因爲這樣,他們就因爲這些不同的事,他們去到埋怨摩西亞倫
[00:00:42.000 --> 00:00:47.200]  還去到說得很絕的,他們說恨不得一早就死在埃及地
[00:00:47.200 --> 00:00:54.900]  情願當初十災的時候跟那幫埃及人一起死在堯華的手裏面
[00:00:54.900 --> 00:00:58.700]  起碼那時候我還有一口好喫
[00:00:58.700 --> 00:01:04.400]  面對着這些困境,以色列人跟摩西亞倫的關係
[00:01:04.400 --> 00:01:08.100]  其實不斷地慢慢地越來越緊張
[00:01:08.100 --> 00:01:16.400]  他們對上帝的信心也很看到,也慢慢地越跌越不知道去了哪裏
[00:01:16.400 --> 00:01:21.700]  不過上帝很好,沒有因爲以色列人的埋怨就立刻說放棄他們
[00:01:21.700 --> 00:01:25.000]  不如選擇另外一幫民族,沒有,他沒有這樣做
[00:01:25.000 --> 00:01:31.700]  他反而仍然堅守着他當初對阿伯拉罕,對以色列人的承諾
[00:01:31.700 --> 00:01:36.300]  他仍然定意要帶這幫以色列人去到迦南地這個地方
[00:01:36.300 --> 00:01:40.000]  所以在故事裏面,你看到他們沒水喝,又會變得有水喝
[00:01:40.000 --> 00:01:41.700]  沒東西喫,又會變得有東西喫
[00:01:41.700 --> 00:01:45.500]  上帝一次一次地供應着他們的需要
[00:01:45.500 --> 00:01:47.500]  那去到今天,我們要看的經文呢
[00:01:47.500 --> 00:01:50.700]  就是看出一級的十七章八至十六節
[00:01:50.700 --> 00:01:55.100]  說到這幫以色列人終於出了埃及之後
[00:01:55.100 --> 00:01:58.200]  在曠野也走了一段小小的日子之後
[00:01:58.200 --> 00:02:03.100]  他們迎來了他們出埃及之後第一場要打的仗
[00:02:03.100 --> 00:02:06.900]  經文記載在《出埃及的十七章八至十六節》
[00:02:06.900 --> 00:02:11.100]  我想邀請大家和我一起讀
[00:02:11.100 --> 00:02:12.100]  一二三
[00:02:12.100 --> 00:02:17.100]  那時阿瑪利人來到利非定和以色列人爭戰
[00:02:17.100 --> 00:02:23.000]  摩西對約書亞說,你爲我們選出人來,出去和阿瑪利人爭戰
[00:02:23.000 --> 00:02:27.500]  明天我手裏要拿着上帝的像,站在山頂上
[00:02:27.500 --> 00:02:33.700]  於是約書亞照着摩西對他所說的話行和阿瑪利人爭戰
[00:02:33.700 --> 00:02:37.900]  摩西、阿倫與胡爾也都上了山頂
[00:02:37.900 --> 00:02:41.600]  摩西何時舉手,以色列人就得勝
[00:02:41.600 --> 00:02:45.400]  何時垂手,阿瑪利人就得勝
[00:02:45.400 --> 00:02:51.400]  但摩西的手發沉,他們就搬石頭來,放在他耳下
[00:02:51.400 --> 00:02:56.000]  他就坐在上面,阿倫與胡爾扶着他的手
[00:02:56.000 --> 00:02:58.400]  一個在這邊,一個在那邊
[00:02:58.400 --> 00:03:02.100]  他的手就穩住,直到日落的時候
[00:03:02.100 --> 00:03:07.700]  約書亞用刀殺了阿瑪利王和他的百姓
[00:03:07.700 --> 00:03:14.700]  耶和華對摩西說,我要將阿瑪利的名號從天下傳言逃沒了
[00:03:14.700 --> 00:03:20.100]  你要將這話寫在書上作紀念,由念級約書亞聽
[00:03:20.100 --> 00:03:24.400]  摩西足了一座壇,起名叫耶和華離世
[00:03:24.400 --> 00:03:32.000]  又說耶和華已經起了勢,必世世代代和阿瑪利人爭戰
[00:03:32.000 --> 00:03:34.800]  經文不多,故事也很簡單直接
[00:03:34.800 --> 00:03:39.500]  就是說當這幫以色列人去到利非頂這個地方安營的時候
[00:03:39.500 --> 00:03:43.900]  阿瑪利人來到他們的地方就想着和他們打仗
[00:03:43.900 --> 00:03:45.900]  那麼阿瑪利人是什麼人呢?
[00:03:45.900 --> 00:03:48.900]  如果我們看文書之後的經文
[00:03:48.900 --> 00:03:54.200]  摩西曾經派十二探子去到加南地
[00:03:54.200 --> 00:03:59.600]  探子回報的時候,其實就有說到阿瑪利人是住在南地
[00:03:59.600 --> 00:04:03.800]  所以在這個經文中,說到阿瑪利人其實就是住在加南地
[00:04:03.800 --> 00:04:08.600]  南部的一個已經住了很久的民族
[00:04:08.600 --> 00:04:09.800]  爲什麼說很久呢?
[00:04:09.800 --> 00:04:11.700]  因爲其實在創世紀的時候
[00:04:11.700 --> 00:04:16.300]  阿伯拉罕時期已經曾經出現過阿瑪利人這一羣人
[00:04:16.300 --> 00:04:19.800]  所以他們已經很多年都仍然在那個地方
[00:04:19.800 --> 00:04:21.900]  所以他們一直都住在加南地
[00:04:21.900 --> 00:04:26.400]  那麼爲什麼阿瑪利人要突然之間來打以色列人呢?
[00:04:26.400 --> 00:04:29.000]  如果看回上下文的話
[00:04:29.000 --> 00:04:31.200]  有幾個可能性的
[00:04:31.200 --> 00:04:35.100]  如果看回十七章的一至七節
[00:04:35.100 --> 00:04:40.000]  之前他說這幫以色列人來到利非頂這個地方
[00:04:40.000 --> 00:04:42.400]  沒水喝,又去埋怨
[00:04:42.400 --> 00:04:46.000]  結果就出現了一個盤石出水的故事
[00:04:46.000 --> 00:04:47.400]  所以有些詩經書就說
