
[00:00:00.000 --> 00:00:04.300]  過去一個星期我不知道你又經歷了什麼呢?
[00:00:04.300 --> 00:00:07.940]  如果我想你用一個天氣來形容
[00:00:07.940 --> 00:00:09.620]  你過去一個星期的經歷
[00:00:09.620 --> 00:00:12.260]  我不知道你會用一個什麼天氣呢?
[00:00:12.260 --> 00:00:17.080]  會是晴天 好像這個星期的天氣一樣
[00:00:17.080 --> 00:00:21.300]  陰天 還是橫風橫雨呢?
[00:00:21.300 --> 00:00:25.200]  不知道你的心情 你的情緒又是怎樣呢?
[00:00:25.200 --> 00:00:31.560]  如果要你用一個圖像來形容你的心情
[00:00:31.560 --> 00:00:34.280]  不知道你會用什麼樣子呢?
[00:00:34.280 --> 00:00:40.560]  哈哈笑 微微笑 還是愁眉苦臉呢?
[00:00:40.560 --> 00:00:43.340]  無論過去你經歷了什麼
[00:00:43.340 --> 00:00:45.060]  我盼望你仍然看到
[00:00:45.060 --> 00:00:47.520]  在你每一個情緒 每一個經歷裏面
[00:00:47.520 --> 00:00:49.720]  上帝都與你同在
[00:00:49.720 --> 00:00:53.360]  上帝感受你的感受 上帝知道你的經歷
[00:00:53.360 --> 00:00:55.520]  上帝都知道你的心情
[00:00:55.520 --> 00:00:58.000]  不過有時是我們看不見祂
[00:00:58.000 --> 00:01:01.040]  或者是我們刻意忘記了祂
[00:01:01.040 --> 00:01:04.180]  為了今天我們仍然能夠在神的殿裏面
[00:01:04.180 --> 00:01:08.080]  一起敬拜主 我們要滿心感謝神
[00:01:08.080 --> 00:01:10.000]  還能夠回到教會
[00:01:10.000 --> 00:01:13.600]  原來真的不是這麼簡單的 感謝神
[00:01:13.600 --> 00:01:15.160]  如果你手上有聖經
[00:01:15.160 --> 00:01:17.280]  無論是電子也好 紙本也好
[00:01:17.280 --> 00:01:20.240]  我都希望你今天可以翻開聖經
[00:01:20.240 --> 00:01:26.600]  翻開你的聖經來到《羅馬書》第十五章
[00:01:26.600 --> 00:01:32.400]  今天我們看的經文在《羅馬書》第十五章
[00:01:32.400 --> 00:01:36.300]  雖然我們今時今日可能有時都很方便
[00:01:36.300 --> 00:01:38.880]  聽到的時候又有PowerPoint
[00:01:38.880 --> 00:01:42.760]  但我都很想偶爾叫大家翻一下聖經
[00:01:42.760 --> 00:01:45.200]  翻到《羅馬書》
[00:01:45.200 --> 00:01:49.120]  你們一直找的時候 我一直說
[00:01:49.120 --> 00:01:55.960]  《羅馬書》是寫給當時兩批不同的信徒看的
[00:01:55.960 --> 00:02:00.560]  《羅馬書》是寫給保羅說是致羅馬人的書信
[00:02:00.560 --> 00:02:04.520]  其實當時在羅馬有兩批的信徒
[00:02:04.520 --> 00:02:10.460]  有猶太的信徒 也有羅馬的外邦信徒
[00:02:10.460 --> 00:02:14.600]  有兩邊的人 你能夠想像
