
[00:00:00.000 --> 00:00:03.160]  講返十屆先,有始有終
[00:00:03.160 --> 00:00:08.000]  我哋出返呢張slide先,呢張就係十大精選係今個月
[00:00:08.000 --> 00:00:10.240]  希望今個月同你一齊渡過
[00:00:10.240 --> 00:00:14.120]  by the way, 呢度所揀嘅講度唔係淨係小弟嗰日嘅講度
[00:00:14.120 --> 00:00:17.600]  有好多長長短短唔同嘅講員去到分享
[00:00:17.600 --> 00:00:21.920]  咁希望呢啲十大嘅精選可以幫助大家
[00:00:21.920 --> 00:00:24.600]  你煲劇係可以煲劇嘅
[00:00:24.600 --> 00:00:27.720]  不過都煲埋呢個,ok
[00:00:27.720 --> 00:00:32.560]  咁所以呢希望呢個月呢我哋能夠喺主嘅話語裏面重新再開始
[00:00:32.560 --> 00:00:37.440]  咁呢個呢都係我哋十屆嘅系列我哋希望能夠做到嘅
[00:00:37.440 --> 00:00:40.480]  咁我哋上個禮拜我哋講咗頭三屆啫
[00:00:40.480 --> 00:00:43.520]  今次呢我哋rap up講到四同十屆
[00:00:43.520 --> 00:00:49.240]  咁呢一個嘅文件正如我所講喺特別西方嘅文明裏面
[00:00:49.240 --> 00:00:50.960]  係非常之著名嘅
[00:00:50.960 --> 00:00:54.240]  我哋大家呢要知道十屆係啲乜嘢
[00:00:54.240 --> 00:00:57.640]  以致我哋先至明白即係所謂基督教
[00:00:57.640 --> 00:01:03.000]  猶太教基督教嘅傳統對西方嘅社會對西方嘅文明
[00:01:03.000 --> 00:01:07.200]  對我哋嘅思想其實有啲乜嘢嘅影響
[00:01:07.200 --> 00:01:08.640]  就係呢一個嘅文件
[00:01:08.640 --> 00:01:11.480]  所以我哋值得去到睇一睇整個嘅文件
[00:01:11.480 --> 00:01:13.760]  今次呢我哋不如由頭讀落尾好嗎
[00:01:13.760 --> 00:01:17.440]  十七節,二十章一至到十七節出阿及記
[00:01:17.440 --> 00:01:22.720]  我哋睇一睇十屆呢段咁出名嘅呢段嘅聖經嘅文件
[00:01:22.720 --> 00:01:29.160]  到底係有啲乜嘢嘅重大嘅啟示出嚟
[00:01:29.160 --> 00:01:30.200]  二十章第一節
[00:01:30.200 --> 00:01:31.960]  上帝吩咐這一切話說
[00:01:31.960 --> 00:01:33.880]  我是耶和華,你的上帝
[00:01:33.880 --> 00:01:38.560]  曾將你從埃及地圍爐之家領出來
[00:01:38.560 --> 00:01:42.040]  除了我以外,你不可有別的神
[00:01:42.040 --> 00:01:45.040]  不可自己雕刻偶像,也不可做甚麽形象
[00:01:45.040 --> 00:01:48.640]  放忽上天下地,地底下水中的百物
[00:01:48.640 --> 00:01:52.480]  不可跪拜那些像,也不可侍奉他們
[00:01:52.480 --> 00:01:55.920]  因為我耶和華,你的上帝是既邪的上帝
[00:01:55.920 --> 00:01:59.160]  恨我的,我必懲罰他們的罪
[00:01:59.160 --> 00:02:01.840]  至父及子直到三四代
[00:02:01.840 --> 00:02:03.800]  愛我,守我誡命的
[00:02:03.800 --> 00:02:07.040]  我必向他施詞愛,直到千代
[00:02:07.040 --> 00:02:09.960]  不可妄稱耶和華,你上帝的名
[00:02:09.960 --> 00:02:12.240]  因為妄稱耶和華名的
[00:02:12.240 --> 00:02:15.360]  耶和華必不以他為無罪
[00:02:15.360 --> 00:02:18.160]  當紀念安息日,守為聖日
[00:02:18.160 --> 00:02:21.120]  六日要牢獄做你一切的功
[00:02:21.120 --> 00:02:25.560]  但第七日是向耶和華,你的上帝當守的安息日
[00:02:25.560 --> 00:02:28.200]  這一日,你和你的兒女
[00:02:28.200 --> 00:02:31.160]  奴僕、婢女、生畜
[00:02:31.160 --> 00:02:34.520]  以及你成女、寄居的客女
[00:02:34.520 --> 00:02:37.000]  都不可做任何的功
[00:02:37.000 --> 00:02:38.920]  因為六日之內
[00:02:38.920 --> 00:02:42.480]  耶和華造天、地、海和其中的萬物
[00:02:42.480 --> 00:02:44.320]  第七日就安息了
[00:02:44.320 --> 00:02:48.280]  所以耶和華賜福於安息日,定為聖日
[00:02:48.280 --> 00:02:51.440]  當孝敬父母,使你的日子在耶和華
[00:02:51.440 --> 00:02:54.800]  你上帝所賜你的地上得以長久
[00:02:54.800 --> 00:02:58.320]  不可殺人、不可姦淫、不可偷渡
[00:02:58.320 --> 00:03:02.080]  不可造假見證,陷害你的鄰舍
[00:03:02.080 --> 00:03:04.800]  不可貪戀你鄰舍的房屋
[00:03:04.800 --> 00:03:06.960]  不可貪戀你鄰舍的妻子
[00:03:06.960 --> 00:03:09.480]  奴僕、婢女、牛奴
[00:03:09.480 --> 00:03:11.880]  以及他一切所有的
[00:03:11.880 --> 00:03:13.880]  一口氣讀了十誡
[00:03:13.880 --> 00:03:15.400]  是不是還沒看過?
[00:03:15.400 --> 00:03:17.160]  我們經常聽十誡、十誡
[00:03:17.160 --> 00:03:19.400]  可能大家都沒有看過
[00:03:19.400 --> 00:03:20.760]  《出一及記》二十章
[00:03:20.760 --> 00:03:24.800]  這是聖經其中兩處提到十誡的地方
[00:03:24.800 --> 00:03:27.440]  第二個地方有機會可以回去看看
[00:03:27.440 --> 00:03:29.440]  《新明記》第五章
