
[00:00:00.000 --> 00:00:03.000]  親愛的天父上帝,我們再一次感謝祢
[00:00:03.000 --> 00:00:07.000]  因為祢讓我們能夠進入2021年
[00:00:07.000 --> 00:00:11.000]  神啊,我們今天在聽道之先
[00:00:11.000 --> 00:00:15.000]  我們將我們的心去交上
[00:00:15.000 --> 00:00:17.000]  神啊,我們渴想祢的話語
[00:00:17.000 --> 00:00:20.000]  我們很想從祢的話語裡面
[00:00:20.000 --> 00:00:22.000]  聽到神祢親自跟我們說話
[00:00:22.000 --> 00:00:28.000]  提醒、督責、鼓勵、引導、安慰
[00:00:28.000 --> 00:00:31.000]  幫助我們每一個弟兄姊妹
[00:00:31.000 --> 00:00:33.000]  帶領以下一段時間
[00:00:33.000 --> 00:00:35.000]  求神祢工作
[00:00:35.000 --> 00:00:37.000]  禱告奉耶穌基督的聖名求
[00:00:37.000 --> 00:00:39.000]  阿們,請坐
[00:00:39.000 --> 00:00:44.000]  剛才我邀請你們
[00:00:44.000 --> 00:00:46.000]  如果你們想的時候
[00:00:46.000 --> 00:00:48.000]  就怎樣?
[00:00:48.000 --> 00:00:50.000]  站起來祈禱
[00:00:50.000 --> 00:00:51.000]  你有沒有留意
[00:00:51.000 --> 00:00:53.000]  其實站起來對於你來說
[00:00:53.000 --> 00:00:54.000]  也不是很難
[00:00:54.000 --> 00:00:56.000]  不過牧師真是煩
[00:00:56.000 --> 00:00:58.000]  又坐又站
[00:00:58.000 --> 00:01:00.000]  位置也不知多舒服
[00:01:00.000 --> 00:01:02.000]  站起來
[00:01:02.000 --> 00:01:03.000]  代表某個程度上
[00:01:03.000 --> 00:01:08.000]  我們也要站一站
[00:01:08.000 --> 00:01:10.000]  站起來
[00:01:10.000 --> 00:01:11.000]  剛才的站起來
[00:01:11.000 --> 00:01:12.000]  代表你的心裡面
[00:01:12.000 --> 00:01:16.000]  你也很想聽神的話
[00:01:16.000 --> 00:01:17.000]  站起來
[00:01:17.000 --> 00:01:19.000]  代表你願意跟神
[00:01:19.000 --> 00:01:21.000]  更加有一個進入的
[00:01:21.000 --> 00:01:24.000]  更加深刻的關係
[00:01:24.000 --> 00:01:25.000]  站起來
[00:01:25.000 --> 00:01:26.000]  所以第一點
[00:01:26.000 --> 00:01:27.000]  今天我們看約書亞記
[00:01:27.000 --> 00:01:31.000]  一到十八節的時候
[00:01:31.000 --> 00:01:32.000]  約書亞這個故事
[00:01:32.000 --> 00:01:34.000]  怎樣對我們生命有幫助呢?
[00:01:34.000 --> 00:01:35.000]  第一點
[00:01:35.000 --> 00:01:37.000]  就是站起來的呼召
[00:01:37.000 --> 00:01:39.000]  剛才主席跟我們讀了
[00:01:39.000 --> 00:01:42.000]  特別在一到五節這裡
[00:01:42.000 --> 00:01:44.000]  站起來
[00:01:44.000 --> 00:01:46.000]  我們讀第二節,好嗎?
[00:01:46.000 --> 00:01:48.000]  預備,一、二、三
[00:01:48.000 --> 00:01:51.000]  我的僕人摩西死了
[00:01:51.000 --> 00:01:56.000]  現在你要起來和眾百姓過這約旦河
[00:01:56.000 --> 00:02:00.000]  和我所有次級以色列人的地去
[00:02:00.000 --> 00:02:01.000]  站起來
[00:02:01.000 --> 00:02:03.000]  站起來做什麼?
