
[00:00:00.000 --> 00:00:05.860]  所有在這裏的,在現場的,在家中的父親們,
[00:00:05.860 --> 00:00:07.860]  父親節快樂。
[00:00:07.860 --> 00:00:09.860]  如果你家裏有其他人,跟你的爸爸,
[00:00:09.860 --> 00:00:14.000]  跟你的家中的父親說,父親節快樂。
[00:00:14.000 --> 00:00:16.000]  阿門。
[00:00:16.000 --> 00:00:27.260]  有人說,家可以是父親的王國,
[00:00:27.260 --> 00:00:31.260]  母親的天地,兒女的樂園。
[00:00:31.260 --> 00:00:37.260]  那裏可以找到溫情與瞭解,
[00:00:37.260 --> 00:00:39.260]  饒恕與接納,
[00:00:39.260 --> 00:00:41.260]  意義與價值,
[00:00:41.260 --> 00:00:44.260]  喜悅與滿足。
[00:00:44.260 --> 00:00:48.260]  也可以是父親的家所,
[00:00:48.260 --> 00:00:50.260]  母親的刑場,
[00:00:50.260 --> 00:00:52.260]  兒女的地獄。
[00:00:52.260 --> 00:00:55.260]  那裏可以找到冷戰與分裂,
[00:00:55.260 --> 00:00:57.260]  鬥爭與暴力,
[00:00:57.260 --> 00:00:59.260]  虐待與扭曲,
[00:00:59.260 --> 00:01:02.260]  怨言與咒詛。
[00:01:02.260 --> 00:01:04.260]  我不曉得,
[00:01:04.260 --> 00:01:08.260]  你的家是哪一種的情況?
[00:01:08.260 --> 00:01:12.260]  我相信我們都希望我們有一個家庭,
[00:01:12.260 --> 00:01:15.260]  是一個幸福美滿的家庭。
[00:01:15.260 --> 00:01:20.260]  那麼,這個幸福美滿的家庭呢?
[00:01:20.260 --> 00:01:23.260]  這一個在聖經上裏面,
[00:01:23.260 --> 00:01:25.260]  今天我要跟大家從
[00:01:25.260 --> 00:01:27.260]  真言書二十三章
[00:01:27.260 --> 00:01:30.260]  二十二到二十五節這裏面,
[00:01:30.260 --> 00:01:32.260]  這段聖經剛纔我們讀了,
[00:01:32.260 --> 00:01:34.260]  你會發現很多次提到
[00:01:34.260 --> 00:01:39.260]  快樂、歡喜、歡喜、快樂。
[00:01:39.260 --> 00:01:42.260]  所以呢,我想
[00:01:42.260 --> 00:01:45.260]  一般我們都叫幸福美滿家庭,
[00:01:45.260 --> 00:01:46.260]  是不是?
[00:01:46.260 --> 00:01:48.260]  但是我希望我們今天
[00:01:48.260 --> 00:01:49.260]  我們來分享,
