
[00:00:00.000 --> 00:00:01.280]  弟兄姊妹,大家好!
[00:00:01.280 --> 00:00:06.140]  四海之內的兄弟姊妹,大家都好!
[00:00:06.140 --> 00:00:13.320]  今天的講道題目是「在聚散中保持通話」
[00:00:13.320 --> 00:00:16.380]  「保持通話」
[00:00:16.380 --> 00:00:21.240]  如果你不是很熟悉香港的電影的話
[00:00:21.240 --> 00:00:23.800]  你只會覺得這是很普通的講法
[00:00:23.800 --> 00:00:28.160]  「保持通話」其實是一套
[00:00:28.420 --> 00:00:31.500]  香港電影的名字
[00:00:31.500 --> 00:00:38.400]  主演的那位是近日很多人都說要支持他的男演員
[00:00:38.400 --> 00:00:43.260]  劇本就改編自一套電影
[00:00:43.260 --> 00:00:47.880]  叫做「Cellular」的荷里活電影
[00:00:47.880 --> 00:00:52.480]  內容圍繞著一個人被綁架
[00:00:52.480 --> 00:00:56.320]  囚禁在一間屋裡面
[00:00:57.080 --> 00:00:58.620]  不知道這裏是哪一間
[00:00:58.620 --> 00:01:07.320]  但是他很熟悉機器的東西,電話被人打爛了也好
[00:01:07.320 --> 00:01:14.480]  他也可以隨機打電話出去給一個陌生人
[00:01:14.480 --> 00:01:19.340]  然後最終他就獲得拯救
[00:01:19.340 --> 00:01:21.900]  就是一個這樣的故事
[00:01:23.440 --> 00:01:27.780]  當然在我們日常的生活場景裡面
[00:01:27.780 --> 00:01:32.140]  保持通話就未必是那麼嚴重
[00:01:32.140 --> 00:01:33.680]  得到拯救
[00:01:33.680 --> 00:01:35.980]  事態嚴重
[00:01:35.980 --> 00:01:39.560]  不過在過往的日子其實
[00:01:39.560 --> 00:01:41.860]  能夠保持通話
[00:01:41.860 --> 00:01:44.180]  不是一件容易的事
[00:01:44.180 --> 00:01:46.740]  我記得三十多年前
[00:01:46.740 --> 00:01:51.600]  是的,我近來講話經常都講幾十年前,因為年紀又回到那麼上下
[00:01:52.360 --> 00:01:54.420]  三十多年前那時候未曾
[00:01:54.420 --> 00:01:55.700]  Cellular
[00:01:55.700 --> 00:01:58.000]  流動電話
[00:01:58.000 --> 00:01:59.520]  沒有這東西的
[00:01:59.520 --> 00:02:02.340]  當時就只是這一種電話
[00:02:02.340 --> 00:02:05.660]  你不知道懂不懂得叫這種電話做什麼
[00:02:05.660 --> 00:02:08.480]  學名叫做「脈衝撥號電話」
[00:02:08.480 --> 00:02:12.320]  我用了很久都不知道這個名字,Pulse Darling
[00:02:12.320 --> 00:02:15.400]  後來那些叫「Tone Darling」,你不懂不要緊
[00:02:15.400 --> 00:02:19.740]  當時三十多年前就當然沒有互聯網
[00:02:19.740 --> 00:02:21.540]  電郵等等
[00:02:22.300 --> 00:02:24.860]  於是乎出國讀書
[00:02:24.860 --> 00:02:28.960]  就要和香港的家人聯繫
[00:02:28.960 --> 00:02:30.740]  其實很不容易
[00:02:30.740 --> 00:02:33.820]  你如果要用IDD
[00:02:33.820 --> 00:02:37.920]  IDD可能你都不知道是什麼,國際直撥電話
[00:02:37.920 --> 00:02:40.480]  當時在
[00:02:40.480 --> 00:02:43.300]  那裡的地方的電訊公司
[00:02:43.300 --> 00:02:46.380]  又很怕那些留學生走數
[00:02:46.380 --> 00:02:50.200]  因為都不知道你是不是一下子回到你的故鄉
[00:02:50.720 --> 00:02:53.020]  於是乎就要等到
[00:02:53.020 --> 00:02:55.840]  我們去參加教會,教會
[00:02:55.840 --> 00:02:58.140]  又有弟兄姊妹信得過我們
[00:02:58.140 --> 00:02:59.160]  那當然不是唯一
[00:02:59.160 --> 00:03:01.720]  拼IDD所以去參加教會
[00:03:01.720 --> 00:03:04.280]  但是就肯定
[00:03:04.280 --> 00:03:07.360]  他們熟悉了這幫人,信得過的
[00:03:07.360 --> 00:03:09.400]  於是就擔保我們
[00:03:09.400 --> 00:03:14.020]  在我們家裡可以安葬IDD
[00:03:14.020 --> 00:03:18.880]  那才能夠和遠方的親友保持通話
[00:03:18.880 --> 00:03:19.900]  否則
[00:03:20.160 --> 00:03:21.180]  去到外國
[00:03:21.180 --> 00:03:24.760]  當時的感覺就好像與世隔絕一樣
[00:03:24.760 --> 00:03:26.820]  和今天的處境很不同
[00:03:26.820 --> 00:03:29.640]  剛過去的7月
[00:03:29.640 --> 00:03:31.680]  有一位
[00:03:31.680 --> 00:03:35.780]  文壇的很出名的人物倪匡先生他
[00:03:35.780 --> 00:03:37.060]  離開了世界
[00:03:37.060 --> 00:03:39.360]  我和他不算很熟的
[00:03:39.360 --> 00:03:43.200]  他寫了300多本小說作品
[00:03:43.200 --> 00:03:45.240]  我十分一都未看到
