
[00:00:00.000 --> 00:00:02.880]  今天是教會202的主日
[00:00:02.880 --> 00:00:05.000]  亦鼓勵弟兄姊妹
[00:00:05.000 --> 00:00:08.600]  不單單自己一個人思想傳福音的事
[00:00:08.600 --> 00:00:13.560]  亦與弟兄姊妹合拍 合夥
[00:00:13.560 --> 00:00:15.080]  大家同心
[00:00:15.080 --> 00:00:19.640]  一年之內向另外兩位的朋友傳福音
[00:00:19.640 --> 00:00:22.440]  帶領兩位的朋友信主
[00:00:22.440 --> 00:00:24.880]  當然這是一個目標
[00:00:24.880 --> 00:00:28.920]  但重要的是我們剛才所聽到姊妹的分享
[00:00:28.920 --> 00:00:33.040]  是神讓我們真的感受到生命的寶貴
[00:00:33.040 --> 00:00:35.320]  亦體會到主給我們的愛
[00:00:35.320 --> 00:00:37.960]  我們很願意帶著愛神的心
[00:00:37.960 --> 00:00:44.040]  將寶貴的福音帶給身邊所愛的朋友、親人
[00:00:44.040 --> 00:00:47.560]  我們很盼望神在今天再次感動我們
[00:00:47.560 --> 00:00:49.200]  知道祂的心意
[00:00:49.200 --> 00:00:51.720]  亦一起同心地去答賞
[00:00:51.720 --> 00:00:52.680]  大家再一起祈禱
[00:00:52.680 --> 00:00:54.720]  我們將時間再交給主
[00:00:59.920 --> 00:01:03.920]  昔在今在 以後永在的主
[00:01:03.920 --> 00:01:07.240]  主祢的確是那位創造天地
[00:01:07.240 --> 00:01:11.520]  創造生命 又是永恆的上帝
[00:01:11.520 --> 00:01:14.440]  主祢在世上面一段日子
[00:01:14.440 --> 00:01:17.320]  但祢何等盼望不單在地上
[00:01:17.320 --> 00:01:19.640]  祢將平安賜給我們
[00:01:19.640 --> 00:01:25.640]  祢更渴望將祢自己永遠的生命賜給我們
[00:01:25.640 --> 00:01:31.760]  主我們知道人在罪當中真是被罪所捆綁著
[00:01:31.760 --> 00:01:36.640]  主我們何等需要祢自己伸出祢救恩的手
[00:01:36.640 --> 00:01:40.320]  讓我們領受祢給我們的奇妙的救恩
[00:01:40.320 --> 00:01:44.840]  能夠領受祢給我們永恆的應許
[00:01:44.840 --> 00:01:47.240]  主如今我們再次敬拜祢
[00:01:47.240 --> 00:01:49.240]  承認祢是天地的主
[00:01:49.240 --> 00:01:53.160]  亦渴望主自己透過祢聖經的真理
[00:01:53.160 --> 00:01:55.640]  來指教我們的內心
[00:01:55.640 --> 00:01:58.840]  也讓我們歡喜快樂地跟隨祢
[00:01:58.840 --> 00:02:01.640]  去見證祢 去傳揚祢
[00:02:01.640 --> 00:02:03.440]  主在今天這段時間
[00:02:03.440 --> 00:02:05.160]  求主繼續帶領我們
[00:02:05.160 --> 00:02:08.840]  賜下祢寶貴的聖靈來引導我們
[00:02:08.840 --> 00:02:10.440]  我們仰望祈禱
[00:02:10.440 --> 00:02:12.640]  奉耶穌基督的聖名求
[00:02:12.640 --> 00:02:14.640]  阿門
[00:02:14.640 --> 00:02:16.640]  今天大家打開聖經
[00:02:16.640 --> 00:02:19.360]  《士郎傳》第五章經文
[00:02:19.360 --> 00:02:21.360]  我們思想靠著聖靈的能力
[00:02:21.360 --> 00:02:23.840]  來作主的見證
[00:02:23.840 --> 00:02:27.840]  我剛剛在中學生的崇拜來分享訊息
[00:02:27.840 --> 00:02:30.840]  他們也有一位姊妹來分享見證
[00:02:30.840 --> 00:02:34.440]  她是一位少年人 中四
[00:02:34.440 --> 00:02:36.640]  聽完的時候心裡很為她快樂
[00:02:36.640 --> 00:02:39.240]  因為她說有四個很好的同學
[00:02:39.240 --> 00:02:41.640]  大家平時很熟絡 很多話題
[00:02:41.640 --> 00:02:44.840]  但偏偏很難說及信仰的事情
[00:02:44.840 --> 00:02:47.440]  覺得好像有點尷尬
[00:02:47.440 --> 00:02:51.440]  後來她嘗試邀請他們回教會聚會
[00:02:51.440 --> 00:02:54.040]  但他們很多次都推遲她
[00:02:54.040 --> 00:02:57.040]  但有一次她再鼓起勇氣再邀請他們
[00:02:57.040 --> 00:02:59.440]  他們四個人都一齊答應了
[00:02:59.440 --> 00:03:02.440]  來參加教會的報道會
[00:03:02.440 --> 00:03:05.240]  一位姊妹一方面很開心
[00:03:05.240 --> 00:03:07.440]  另一方面很震驚
[00:03:07.440 --> 00:03:10.040]  不知道他們來到會不會很不喜歡
[00:03:10.040 --> 00:03:12.840]  為什麼把我們拉來這些聚會
[00:03:12.840 --> 00:03:15.040]  所以聚會之前的晚上
[00:03:15.040 --> 00:03:20.440]  她就一直祈禱 祈禱了很久才睡得著
[00:03:20.440 --> 00:03:22.440]  但她從沒想到
[00:03:22.440 --> 00:03:25.240]  當這四位同學第一次踏足教會
[00:03:25.240 --> 00:03:27.440]  聽到福音的訊息
[00:03:27.440 --> 00:03:29.640]  在講完呼召的時候
[00:03:29.640 --> 00:03:32.840]  竟然四個人都缺席
[00:03:32.840 --> 00:03:37.840]  而且四個人都是哭著出來
[00:03:37.840 --> 00:03:43.840]  不是勉強 而是覺得很真實地決心信耶穌
[00:03:43.840 --> 00:03:47.840]  這四個人的反應令到一位姊妹的心裡很感動
[00:03:47.840 --> 00:03:50.640]  她說之前很害怕 不知道他們會怎樣反應
[00:03:50.640 --> 00:03:54.840]  但想不到神都透過一件事情鼓勵她的心
[00:03:54.840 --> 00:03:59.440]  無論如何放膽可以帶人到主的面前
[00:03:59.440 --> 00:04:03.640]  而這班同學後來一路來信靠耶穌
[00:04:03.640 --> 00:04:06.040]  我聽見的時候都想起一件事情
[00:04:06.040 --> 00:04:08.440]  就是很多年前我信耶穌的時候
[00:04:08.440 --> 00:04:10.240]  我是比較早的時候信耶穌
[00:04:10.240 --> 00:04:12.840]  我是中一就信主
[00:04:12.840 --> 00:04:16.440]  但是當年我讀書的時候已經不小了
[00:04:16.440 --> 00:04:20.040]  我十四歲才讀中一
[00:04:20.040 --> 00:04:22.040]  在學校的時候去到新的地方
[00:04:22.040 --> 00:04:24.040]  環境很不熟悉
[00:04:24.040 --> 00:04:27.040]  但我很深刻記得一位同學
[00:04:27.040 --> 00:04:29.840]  中五姓翁的
[00:04:29.840 --> 00:04:31.840]  他走來我們班房
[00:04:31.840 --> 00:04:33.240]  在我們班房門口
[00:04:33.240 --> 00:04:37.440]  我們當時說的話在那裡逃來逃去
[00:04:37.440 --> 00:04:39.240]  他不認識我們 我們又不認識他
[00:04:39.240 --> 00:04:42.440]  不知為何經常走來我們班房門口走來走去
[00:04:42.440 --> 00:04:45.440]  又找機會去認識我們
[00:04:45.440 --> 00:04:49.040]  我當時因為想認識大哥哥也不錯
[00:04:49.040 --> 00:04:52.240]  所以就走過去跟他聊天
[00:04:52.240 --> 00:04:55.440]  聊天的時候他就一路來關心我
[00:04:55.440 --> 00:04:57.440]  怎樣認不認識這個學校
[00:04:57.440 --> 00:04:58.840]  然後他就鼓勵我
