
[00:00:00.000 --> 00:00:03.260]  大家好,今天是新春年初三
[00:00:03.260 --> 00:00:06.880]  今年在農曆中國文化當中
[00:00:06.880 --> 00:00:10.080]  就說這一年是牛年
[00:00:10.080 --> 00:00:14.440]  所以在今年出世
[00:00:14.440 --> 00:00:18.580]  還是不是屬牛?
[00:00:18.580 --> 00:00:20.480]  是不是屬牛?不是
[00:00:20.480 --> 00:00:23.120]  我們是屬誰的?屬主的
[00:00:23.120 --> 00:00:26.160]  當然我們是在牛年出世的
[00:00:26.160 --> 00:00:29.760]  往往我們都說我們都是在牛年出世
[00:00:29.760 --> 00:00:32.200]  好了,其實這個也是半開玩笑
[00:00:32.200 --> 00:00:34.200]  不過這個也是的
[00:00:34.200 --> 00:00:37.900]  其實我們是屬於誰的?屬於上帝的
[00:00:37.900 --> 00:00:42.180]  其實在新春,特別今天也是初三
[00:00:42.180 --> 00:00:44.840]  今天也是一個西方世界
[00:00:44.840 --> 00:00:48.040]  包括香港的世界都是一個另類的日子
[00:00:48.040 --> 00:00:53.520]  2月14日,都是一個一般稱為情人節的時候
[00:00:53.520 --> 00:00:58.320]  這個季節實際上都是一個談情說愛的季節
[00:00:58.320 --> 00:01:00.320]  不過我所說的情愛
[00:01:00.320 --> 00:01:03.860]  固然是有一種人間的愛
[00:01:03.860 --> 00:01:07.960]  但更加是上帝對人的愛
[00:01:07.960 --> 00:01:11.800]  上帝對於整個世界的愛
[00:01:11.800 --> 00:01:15.640]  也是人回應上帝的愛
[00:01:15.640 --> 00:01:21.240]  所以在這裡我想特別祝福大家四句話
[00:01:21.240 --> 00:01:23.680]  愛神所愛
[00:01:23.680 --> 00:01:25.980]  獻上自己
[00:01:25.980 --> 00:01:28.360]  作息有事
[00:01:28.360 --> 00:01:31.820]  行動關懷
[00:01:31.820 --> 00:01:34.560]  第一樣,愛神所愛
[00:01:34.560 --> 00:01:38.900]  其實如果你有留意,我今天的講題
[00:01:38.900 --> 00:01:42.460]  是叫「神愛世上牛」
[00:01:42.460 --> 00:01:47.200]  為什麼這麼有趣呢?當然是給點氣氛的
[00:01:47.200 --> 00:01:49.980]  不過牛其實在
[00:01:49.980 --> 00:01:53.080]  我上一次在大堂崇拜講道的時候也提到
[00:01:53.080 --> 00:01:55.080]  在啟示錄第四章
[00:01:55.080 --> 00:01:58.020]  那裡有講到四種的活物
[00:01:58.020 --> 00:02:05.380]  牛、獅子、鷹、人
[00:02:05.380 --> 00:02:08.120]  這四個特別包括牛
[00:02:08.120 --> 00:02:11.220]  都是代表著整個受造界的
[00:02:11.220 --> 00:02:13.100]  是要敬拜神的
[00:02:13.100 --> 00:02:14.900]  是要歸榮要給神的
[00:02:14.900 --> 00:02:17.760]  原來牛所代表的這種受造界
[00:02:17.760 --> 00:02:20.900]  都是要敬拜神,歸榮要給神的
[00:02:20.900 --> 00:02:25.180]  很有趣,其實在約翰福音三章十六節
[00:02:25.180 --> 00:02:27.740]  這段經文我相信很多人都會懂得背
