
[00:00:00.000 --> 00:00:03.880]  今天的經文是《河西雅書》六章一至三節
[00:00:03.880 --> 00:00:06.580]  請先聽我讀出
[00:00:06.580 --> 00:00:10.400]  「來吧,我們歸向耶和華
[00:00:10.400 --> 00:00:14.240]  祂撕裂我們也必依旨
[00:00:14.240 --> 00:00:19.240]  祂打傷我們也必前果
[00:00:19.240 --> 00:00:22.840]  過兩天祂必使我們甦醒
[00:00:22.840 --> 00:00:26.880]  第三天祂必使我們興起
[00:00:26.880 --> 00:00:30.360]  我們就在祂面前得以存活
[00:00:30.360 --> 00:00:33.280]  我們務要認識耶和華
[00:00:33.280 --> 00:00:36.160]  竭力追求認識祂
[00:00:36.160 --> 00:00:38.920]  祂出現 確如神光
[00:00:38.920 --> 00:00:41.760]  祂必臨到我們象金爐
[00:00:41.760 --> 00:00:45.040]  象滋潤田地的春雨」
[00:00:45.040 --> 00:00:47.880]  這是神的話語
[00:00:47.880 --> 00:00:49.280]  今天講題的信息是
[00:00:49.280 --> 00:00:53.560]  「力久常新 認識神」
[00:00:53.560 --> 00:00:57.800]  各位弟兄姊妹 剛剛我們踏入一月
[00:00:57.800 --> 00:01:02.400]  再一次祝大家新年快樂 主恩滿載
[00:01:02.400 --> 00:01:07.040]  兩三個星期前是因爲聖誕節
[00:01:07.040 --> 00:01:14.000]  澳洲人的聖誕節都歡喜喫火腿
[00:01:14.000 --> 00:01:16.880]  我留意了一點火腿的事
[00:01:16.880 --> 00:01:19.640]  原來一些陳年的火腿
[00:01:19.640 --> 00:01:24.040]  是要四五年的時間去醃製
[00:01:24.040 --> 00:01:25.720]  還要很講究
[00:01:25.720 --> 00:01:29.560]  講到豬的品種 魚肉的位置
[00:01:29.560 --> 00:01:33.960]  和製作的方法全部都很講究
[00:01:33.960 --> 00:01:36.200]  讓我想起不少事情
[00:01:36.200 --> 00:01:38.600]  其實都需要經歷一段時間
[00:01:38.600 --> 00:01:41.840]  才知道是好
[00:01:41.840 --> 00:01:44.440]  又或者好像那些陳年的紅酒
[00:01:44.440 --> 00:01:46.120]  要某一個的年份
[00:01:46.120 --> 00:01:48.440]  又或者是我們華人當中
[00:01:48.440 --> 00:01:50.480]  有圖片看到的果皮
[00:01:50.480 --> 00:01:53.760]  原來果皮說要有果效好的果皮
[00:01:53.760 --> 00:01:57.000]  要十年以上才能夠化痰止咳
[00:01:57.000 --> 00:01:58.720]  效果更好
[00:01:58.720 --> 00:02:03.560]  然而有些事情並非越舊越好
[00:02:03.560 --> 00:02:08.280]  甚至越舊就變得越殘舊
[00:02:08.280 --> 00:02:11.080]  就越沒有味道
[00:02:11.080 --> 00:02:13.920]  大家看看自己的手機
[00:02:13.920 --> 00:02:18.680]  我們當中哪一個人在過去十二個月有換過手機的
[00:02:18.680 --> 00:02:21.640]  我邀請你舉手好嗎
[00:02:21.640 --> 00:02:25.040]  有的
[00:02:25.040 --> 00:02:26.520]  OK OK
[00:02:26.520 --> 00:02:27.360]  再問一下
[00:02:27.360 --> 00:02:28.800]  沒理由這麼少
[00:02:28.800 --> 00:02:31.840]  我們哪一個人在過去二十四個月
[00:02:31.840 --> 00:02:33.240]  有換過一次手機的
[00:02:33.240 --> 00:02:34.800]  我邀請你舉手好嗎
[00:02:34.800 --> 00:02:35.800]  不少人舉手
[00:02:35.800 --> 00:02:37.680]  正常其實不需要覺得不好
[00:02:37.680 --> 00:02:40.960]  可能真的壞了
[00:02:40.960 --> 00:02:46.240]  現在的手機要有十個鏡頭
[00:02:46.240 --> 00:02:48.320]  大數據人工智能
[00:02:48.320 --> 00:02:49.800]  相機要有濾鏡
[00:02:49.800 --> 00:02:51.720]  真的好看很多
[00:02:51.720 --> 00:02:53.120]  畫面要夠大
[00:02:53.120 --> 00:02:54.720]  大都不夠
[00:02:54.720 --> 00:02:55.720]  手機還要摺
[00:02:55.720 --> 00:02:57.040]  摺衣服我們很不喜歡
[00:02:57.040 --> 00:02:59.240]  摺手機我們OK
[00:02:59.240 --> 00:03:00.640]  摺一摺不夠
[00:03:00.640 --> 00:03:01.480]  摺兩摺
[00:03:01.480 --> 00:03:02.800]  要摺三摺
[00:03:02.800 --> 00:03:05.040]  這樣就爲之好
[00:03:05.040 --> 00:03:06.520]  又讓我想起
[00:03:06.520 --> 00:03:09.680]  這個世界好像真的要新一點
[00:03:09.680 --> 00:03:14.320]  要更新一下才是好
[00:03:14.320 --> 00:03:16.760]  人與人的關係
[00:03:16.760 --> 00:03:18.880]  人與人的認識又怎麼樣
[00:03:18.880 --> 00:03:21.160]  你覺得是舊的好
[00:03:21.160 --> 00:03:22.800]  還是新的好
[00:03:22.800 --> 00:03:24.280]  聽過人家說
[00:03:24.280 --> 00:03:25.760]  新相識
[00:03:25.760 --> 00:03:29.800]  就可以因誤會而結合
[00:03:29.800 --> 00:03:31.200]  認識久了
[00:03:31.200 --> 00:03:33.400]  卻因瞭解而分開
[00:03:33.400 --> 00:03:35.840]  男性指男女關係
[00:03:35.840 --> 00:03:38.680]  其實朋友關係都是一樣
[00:03:38.680 --> 00:03:41.400]  那我們與神的關係又怎麼樣呢
[00:03:41.400 --> 00:03:45.240]  大家覺得人與神之間的關係
