
[00:00:00.000 --> 00:00:02.000]  各位頂點會主內平安
[00:00:02.000 --> 00:00:06.000]  感謝神給我有機會在這裡宣講祂自己的話語
[00:00:06.000 --> 00:00:08.000]  亦都感謝靈福堂
[00:00:08.000 --> 00:00:10.000]  報道會靈福堂給我一個機會
[00:00:10.000 --> 00:00:12.000]  邀請我分享上帝的話語
[00:00:12.000 --> 00:00:16.000]  來到報道會靈福堂也有親切的感覺
[00:00:16.000 --> 00:00:18.000]  因為自己之前也在報道會裡面服侍
[00:00:18.000 --> 00:00:22.000]  今天的題目就是移民移民
[00:00:22.000 --> 00:00:24.000]  提到移民
[00:00:24.000 --> 00:00:28.000]  我記得大概在三十多年前
[00:00:28.000 --> 00:00:32.000]  和家人移民到澳洲
[00:00:32.000 --> 00:00:36.000]  在澳洲讀書,信耶穌
[00:00:36.000 --> 00:00:40.000]  之後我回到香港工作
[00:00:40.000 --> 00:00:44.000]  神蒙著我,我就讀神學
[00:00:44.000 --> 00:00:46.000]  在香港侍奉
[00:00:46.000 --> 00:00:50.000]  直到去年底,因為我爸爸身體有些問題
[00:00:50.000 --> 00:00:52.000]  所以我回到香港
[00:00:52.000 --> 00:00:54.000]  我爸爸就去世了
[00:00:54.000 --> 00:00:58.000]  我希望能夠多一點時間在澳洲陪我媽媽
[00:00:58.000 --> 00:01:02.000]  所以我就決定在澳洲
[00:01:02.000 --> 00:01:04.000]  在雪里定居
[00:01:04.000 --> 00:01:06.000]  我太太除了之前
[00:01:06.000 --> 00:01:08.000]  她來到這個地方奔喪之外
[00:01:08.000 --> 00:01:12.000]  上個月她就正式移民到這裡
[00:01:12.000 --> 00:01:14.000]  希望大家去禱告
[00:01:14.000 --> 00:01:16.000]  禱告我們,紀念
[00:01:16.000 --> 00:01:18.000]  特別是在澳洲裡面的適應
[00:01:18.000 --> 00:01:20.000]  我想問問在座當中
[00:01:20.000 --> 00:01:24.000]  有沒有人在澳洲出生?
[00:01:24.000 --> 00:01:26.000]  沒有
[00:01:26.000 --> 00:01:28.000]  有
[00:01:28.000 --> 00:01:30.000]  厲害
[00:01:30.000 --> 00:01:32.000]  懂廣東話也不容易
[00:01:32.000 --> 00:01:34.000]  在澳洲出生
[00:01:34.000 --> 00:01:36.000]  我想問問在座當中有沒有人在香港出生?
[00:01:36.000 --> 00:01:38.000]  有很多人在香港出生
[00:01:38.000 --> 00:01:42.000]  有沒有在中國內地出生?
[00:01:42.000 --> 00:01:44.000]  都有部分
[00:01:44.000 --> 00:01:48.000]  有沒有在台灣或者東南亞等地區出生?
[00:01:48.000 --> 00:01:50.000]  都有
[00:01:50.000 --> 00:01:52.000]  我們移民
[00:01:52.000 --> 00:01:54.000]  不知道為什麼你會移民到這個地方
[00:01:54.000 --> 00:01:56.000]  其實我們每一個人移民到這個地方
[00:01:56.000 --> 00:01:58.000]  都有很多不同的原因
[00:01:58.000 --> 00:02:00.000]  可能是你們的工作
[00:02:00.000 --> 00:02:02.000]  家庭
