
[00:00:00.000 --> 00:00:03.080]  好,我們今天可以去到
[00:00:03.080 --> 00:00:05.760]  約瑟拉紀十三章,十九二十一章
[00:00:05.760 --> 00:00:09.000]  關於分地的啓示,未完成的作業
[00:00:09.000 --> 00:00:12.520]  我們一生中都見到很多東西未完成
[00:00:12.520 --> 00:00:15.160]  當然未完成都分兩種
[00:00:15.160 --> 00:00:19.200]  有些未完成是因爲騎尼的原因
[00:00:19.200 --> 00:00:22.840]  例如你看看圖畫中有什麼問題
[00:00:22.840 --> 00:00:25.240]  你就知道爲什麼未完成
[00:00:25.240 --> 00:00:27.840]  你見到左邊有什麼問題
[00:00:27.840 --> 00:00:30.760]  他未做了什麼
[00:00:30.760 --> 00:00:33.960]  未完成,剪了頭髮
[00:00:33.960 --> 00:00:36.880]  當然可能現在疫情剪了一半也不行
[00:00:36.880 --> 00:00:38.160]  要隔離
[00:00:38.160 --> 00:00:40.560]  在右邊的圖畫你見到什麼問題
[00:00:40.560 --> 00:00:45.840]  蓋和燈分開了
[00:00:45.840 --> 00:00:47.480]  有東西放上去就算了
[00:00:47.480 --> 00:00:50.480]  可能舊燈的位置和新燈的位置是不同的
[00:00:50.480 --> 00:00:52.040]  這叫騎尼
[00:00:52.040 --> 00:00:54.560]  或者看這個有什麼問題出現
[00:00:55.560 --> 00:00:58.560]  左邊的圖畫有什麼問題出現
[00:00:58.560 --> 00:01:00.520]  倒轉了,停止了
[00:01:00.520 --> 00:01:03.680]  停止倒轉了是不是等於不停止,按下去就不知道了
[00:01:03.680 --> 00:01:08.560]  其實幾分鐘把螺絲拔出來就完成了,都不弄
[00:01:08.560 --> 00:01:11.560]  右邊的圖畫有什麼問題
[00:01:11.560 --> 00:01:12.960]  沒有了什麼
[00:01:12.960 --> 00:01:15.640]  沒有了五字,不過寫上去了,夠奇怪的
[00:01:15.640 --> 00:01:18.520]  可能工程人員做了,沒有了
[00:01:18.520 --> 00:01:20.520]  只有四個,那就先放上去吧
[00:01:20.520 --> 00:01:23.000]  你按四樓,究竟哪個是四,哪個是四
[00:01:23.000 --> 00:01:25.360]  究竟哪個是五呢,就見到了
[00:01:25.360 --> 00:01:28.080]  這些就是騎尼的東西,都會出現
[00:01:28.080 --> 00:01:32.080]  以下這兩張圖,我想你都會見過,我真的見過了
[00:01:32.080 --> 00:01:35.080]  左邊的風有什麼問題出現
[00:01:35.080 --> 00:01:39.240]  他畫地線的時候畫了下去
[00:01:39.240 --> 00:01:41.240]  見到一個障礙
[00:01:41.240 --> 00:01:43.240]  這叫什麼,按本子辦事
[00:01:43.240 --> 00:01:44.640]  總之畫了就行了
[00:01:44.640 --> 00:01:47.880]  那究竟拿不拿開那張紙呢,拿開沒有那條線
[00:01:47.880 --> 00:01:50.280]  不拿開那張紙遲早被雨水滴爛
[00:01:50.280 --> 00:01:52.160]  那就很奇怪,有沒有人見過
[00:01:52.160 --> 00:01:53.760]  這種情況在香港
[00:01:53.760 --> 00:01:55.600]  到處都有
[00:01:55.600 --> 00:02:00.000]  有時我們鋪地,石紙地,有些腳印在那裏
[00:02:00.000 --> 00:02:02.640]  不知爲什麼,鋪了印在那裏,一定是印了
[00:02:02.640 --> 00:02:05.000]  右邊這個見過沒有,有沒有人見過
[00:02:05.000 --> 00:02:08.000]  有沒有人見過,舉下手
[00:02:08.000 --> 00:02:12.200]  沒有,有啦,我出差的那些酒店不是那麼好
[00:02:12.200 --> 00:02:16.600]  以前的時候,發現插頭竟然在桌子上
[00:02:16.600 --> 00:02:19.200]  究竟想插還是不插呢,插了會不會電死呢
