
[00:00:00.000 --> 00:00:07.020]  最近這一個多月裏有中國新聞深深吸引了我的心
[00:00:07.020 --> 00:00:16.340]  伊斯蘭國殺的那些秘魯者已經成為家常便飯
[00:00:16.340 --> 00:00:20.980]  但是這麼多被殺的人當中最吸引我的是其中一個
[00:00:20.980 --> 00:00:24.080]  就是日本第二個被殺的
[00:00:24.080 --> 00:00:29.460]  他的名字叫做後藤健二
[00:00:29.460 --> 00:00:31.620]  為什麼會特別吸引我呢
[00:00:31.620 --> 00:00:35.020]  就是當日本第一個人質被殺的時候
[00:00:35.020 --> 00:00:38.100]  日本都沒有這麼大的哄動
[00:00:38.100 --> 00:00:42.940]  但是當第二個人質就是這個後藤健二被殺的時候
[00:00:42.940 --> 00:00:48.220]  我發現全球很多不同的地方帶來很多的哄動
[00:00:48.220 --> 00:00:50.140]  我特別感動的一件事
[00:00:50.140 --> 00:00:54.380]  令到我一定要上網看看到底這個記者是什麼人
[00:00:54.380 --> 00:01:00.740]  就是當第一個人質他的名字叫做湯川瑤菜被殺的時候
[00:01:00.740 --> 00:01:03.500]  他的爸爸都沒有這麼激動
[00:01:03.500 --> 00:01:07.100]  他自己的兒子死了他都沒有這麼激動
[00:01:07.100 --> 00:01:12.900]  但是他的悲動之情在第二個人質被殺的時候
[00:01:12.900 --> 00:01:16.180]  全部顯露出來
[00:01:16.180 --> 00:01:19.100]  所以我就去上網看看他是什麼人
[00:01:19.100 --> 00:01:21.300]  我看完之後
[00:01:21.300 --> 00:01:23.780]  我心裏面很感恩
[00:01:23.780 --> 00:01:26.140]  原來他是一個弟兄
[00:01:26.140 --> 00:01:28.860]  47歲
[00:01:28.860 --> 00:01:31.140]  他做記者的時候
[00:01:31.140 --> 00:01:34.100]  曾經在一些很著名的電視台
[00:01:34.100 --> 00:01:39.340]  NHK 朝日電視台等等做過記者
[00:01:39.340 --> 00:01:41.380]  他最有負擔的
[00:01:41.380 --> 00:01:44.660]  是要去到人間地獄的地方
[00:01:44.660 --> 00:01:47.100]  打仗打到飛起
[00:01:47.100 --> 00:01:52.300]  甚至招藉條命都不保的地方去採訪
[00:01:52.300 --> 00:01:58.660]  他將在這些戰爭下受苦的人的心聲顯露出來
[00:01:58.660 --> 00:02:00.340]  他自己有一個心願
[00:02:00.340 --> 00:02:02.060]  當他採訪的時候
[00:02:02.060 --> 00:02:04.380]  他是去幫那裏的人
[00:02:04.380 --> 00:02:06.380]  去救那裏的人
[00:02:06.380 --> 00:02:10.500]  但當他去到遍地看見這麼多人被強姦
[00:02:10.500 --> 00:02:12.580]  這麼多人被火燒
[00:02:12.580 --> 00:02:14.100]  這麼多人被殺
[00:02:14.100 --> 00:02:16.900]  這麼多人被虐待
[00:02:16.900 --> 00:02:18.980]  他自己做得好笑
[00:02:18.980 --> 00:02:20.980]  所以因為這樣他抱著一個使命
[00:02:20.980 --> 00:02:23.420]  能夠將這些最真實的情形
[00:02:23.420 --> 00:02:25.380]  無論你是哪一邊
[00:02:25.380 --> 00:02:26.780]  來顯露出來
