
[00:00:00.000 --> 00:00:11.000]  我想問問在這中多少是已經做人的父母的,好不好舉手。有孩子的,感謝主。
[00:00:11.000 --> 00:00:23.000]  你們對孩子們念書的時候他們的成績緊張嗎?為人父母的緊張嗎?
[00:00:23.000 --> 00:00:28.000]  有多少人你都很緊張他們的成績的,好不好舉手?
[00:00:28.000 --> 00:00:32.000]  那為什麼緊張他們的成績呢?
[00:00:32.000 --> 00:00:43.000]  因為這個是關鍵,關鍵到未來到底他們能不能進到他們心儀的學校,能不能繼續地求學。
[00:00:43.000 --> 00:00:58.000]  這個是個非常大的一個問題,在今天的香港,今天的中國,今天的台灣,三地都非常注重我們孩子他們的成績。
[00:00:58.000 --> 00:01:25.000]  我剛剛看到有寫的新聞,台北市信義區某國中的一位老師,為了讓自己的孩子在高考考得好的成績,竟然偷取了試卷讓孩子練習,結果後來就被發現。
[00:01:25.000 --> 00:01:39.000]  教育部長非常非常驚嘆,他感覺怎麼可能這個事出現在為人老師的一個父親的身上。
[00:01:39.000 --> 00:01:48.000]  孩子縱使因為這個緣故考得好的成績,這個成績有什麼意義呢?
[00:01:48.000 --> 00:01:59.000]  同時,在中國,原來是非常多的父母都非常緊張他們孩子們的考試。
[00:01:59.000 --> 00:02:18.000]  不少的人竟然是用一些在考TOEFL有把握的人貿認他們的孩子,進到這個市場,進到這個市場來替他們的孩子考TOEFL,而帶來的結果怎麼樣呢?
[00:02:18.000 --> 00:02:37.000]  令到美國的一方面非常憤怒,他們感覺受騙,因為這個緣故,在這個考TOEFL的市場,他們願意跟中國有關的當局要統一來處理。
[00:02:37.000 --> 00:02:46.000]  甚至他們都要派一些人來檢查考生他們的證件,是否與這個考生相配的。
[00:02:46.000 --> 00:02:55.000]  那這個事件的本身,也令到美國的方面,在收取中國的學生的方面,非常非常嚴謹來處理。
[00:02:55.000 --> 00:03:00.000]  甚至他們要求怎麼樣呢?當他們去到美國的時候,還要給他們考多一個試。
[00:03:00.000 --> 00:03:07.000]  也知道看到他們的考這個TOEFL的成績,是他們自己拿回來的,還是別人替他們考的。
