
[00:00:00.000 --> 00:00:03.300]  多謝天父給我們藉著施班所獻唱的詩歌
[00:00:03.300 --> 00:00:04.900]  我們一同在其中
[00:00:04.900 --> 00:00:07.900]  去知道我們有一個很重要的喜樂源頭
[00:00:07.900 --> 00:00:09.400]  就是主祂自己
[00:00:09.400 --> 00:00:10.400]  我們先一同祈禱
[00:00:10.400 --> 00:00:13.200]  預備我們的心去預備領受神的道
[00:00:13.200 --> 00:00:20.300]  天父我們感謝祢
[00:00:20.300 --> 00:00:21.800]  祢創造我們
[00:00:21.800 --> 00:00:23.400]  有救贖我們
[00:00:23.400 --> 00:00:26.800]  祢將生命的力量賜給我們
[00:00:26.800 --> 00:00:29.200]  好叫我們得到飽足
[00:00:29.800 --> 00:00:31.800]  在祢所賜的力量裡面去生活
[00:00:31.800 --> 00:00:33.300]  為祢作見證
[00:00:33.300 --> 00:00:35.800]  如今我們一同來到祢的殿內裡面
[00:00:35.800 --> 00:00:37.300]  去敬拜祢
[00:00:37.300 --> 00:00:39.300]  心願祢幫助我們
[00:00:39.300 --> 00:00:40.800]  去闖開我們的心
[00:00:40.800 --> 00:00:43.800]  藉著聖靈明白祢自己的話語
[00:00:43.800 --> 00:00:45.800]  好叫我們得到更生
[00:00:45.800 --> 00:00:47.300]  得著力量
[00:00:47.300 --> 00:00:49.300]  可以敬拜和服侍祢
[00:00:49.300 --> 00:00:51.300]  禱告奉耶穌的名及
[00:00:51.300 --> 00:00:52.300]  阿們
[00:00:52.300 --> 00:00:53.300]  各位姐妹
[00:00:53.300 --> 00:00:56.300]  在這個季度我們都一直以喜樂
[00:00:56.300 --> 00:01:00.800]  作為我們在崇拜裡面去學習的一個重點
[00:01:00.800 --> 00:01:04.300]  在最近留心到有一些清晨中心
[00:01:04.300 --> 00:01:06.300]  都有一些活動叫做
[00:01:06.300 --> 00:01:08.300]  下一站快樂度
[00:01:08.300 --> 00:01:12.300]  特別鼓勵人學一些正向心理學的一些方法
[00:01:12.300 --> 00:01:14.300]  透過一些遊戲活動
[00:01:14.300 --> 00:01:18.300]  希望他們能夠更加學會感恩樂觀和寬恕
[00:01:18.300 --> 00:01:21.300]  快樂有得揀
[00:01:21.300 --> 00:01:23.300]  我們俗語說
[00:01:23.300 --> 00:01:25.300]  有得揀才是老闆
[00:01:26.300 --> 00:01:28.300]  快樂是否也有得揀呢
[00:01:28.300 --> 00:01:30.300]  有時我們覺得好像對於某些人來說
[00:01:30.300 --> 00:01:33.300]  他的生命的遭遇好像輕散一點
[00:01:33.300 --> 00:01:35.300]  或者比較得到的東西豐富一點
[00:01:35.300 --> 00:01:37.300]  他自然就快樂
[00:01:37.300 --> 00:01:39.300]  當他落在我的處境
[00:01:39.300 --> 00:01:41.300]  他未必都是這麼快樂的
[00:01:41.300 --> 00:01:42.300]  但是我們說
[00:01:42.300 --> 00:01:45.300]  在神給我們的福氣裡面
[00:01:45.300 --> 00:01:48.300]  我們就有一種超越環境的那種喜樂
[00:01:48.300 --> 00:01:50.300]  這個都是我們深相信
[00:01:50.300 --> 00:01:52.300]  但我們很需要靠著神的話語
[00:01:52.300 --> 00:01:54.300]  去常常提醒我們
[00:01:54.300 --> 00:01:55.300]  鼓勵我們
[00:01:55.300 --> 00:01:56.300]  只要我們知道
[00:01:56.300 --> 00:01:58.300]  去抓住這個應許
[00:01:58.300 --> 00:01:59.300]  今天所讀的聖經
[00:01:59.300 --> 00:02:03.300]  我請大家回去翻開《尼米基第八章》的經文
[00:02:03.300 --> 00:02:06.300]  《尼米基第八章》我們所讀的部分
[00:02:06.300 --> 00:02:08.300]  其實透過兩個節期的活動
[00:02:08.300 --> 00:02:09.300]  提醒我們
[00:02:09.300 --> 00:02:11.300]  我們是得著喜樂的
[00:02:11.300 --> 00:02:12.300]  那兩個活動
[00:02:12.300 --> 00:02:14.300]  一個就是吃喝
[00:02:14.300 --> 00:02:18.300]  吃喝這個在神面前的筵席
[00:02:18.300 --> 00:02:20.300]  一個群體的筵席
[00:02:20.300 --> 00:02:25.300]  代表著神將自己天國的筵席都賜給我們
[00:02:25.300 --> 00:02:27.300]  另一個很重要的節期活動
[00:02:27.300 --> 00:02:29.300]  就是住棚
[00:02:29.300 --> 00:02:31.300]  守住棚節當中
[00:02:31.300 --> 00:02:34.300]  以色列人他們的歷史經驗告訴我們
