
[00:00:00.000 --> 00:00:05.000]  主持人:上次我在這個講壇裏面跟大家分享馬後福音的時候
[00:00:05.000 --> 00:00:11.000]  主持人:其實在當中跟大家看到主耶穌的權柄
[00:00:11.000 --> 00:00:14.000]  主持人:很有智慧地去辯護
[00:00:14.000 --> 00:00:22.000]  主持人:特別是對於那些法律賽人、對於那些民事諸多的挑剔
[00:00:22.000 --> 00:00:29.000]  主持人:而我們在今天這段經文是隔了很短的時間
[00:00:29.000 --> 00:00:33.000]  主持人:有些聖經學者認為在最後的一個星期
[00:00:33.000 --> 00:00:36.000]  主持人:耶穌在耶路撒冷裏面去到星期三的時候
[00:00:36.000 --> 00:00:41.000]  主持人:這一班法律賽人和希律黨的人又要去找耶穌
[00:00:41.000 --> 00:00:45.000]  主持人:裝一個局要祂來落入這些陷阱把柄
[00:00:45.000 --> 00:00:51.000]  主持人:其實是緊接於上文主耶穌怎樣來為祂的權柄來辯護的
[00:00:51.000 --> 00:00:56.000]  主持人:因為這一班是聖殿裏頭的一些宗教領袖
[00:00:56.000 --> 00:01:02.000]  主持人:但是他們沒有按照上帝的心意去牧養神的子民、百姓
[00:01:02.000 --> 00:01:09.000]  主持人:反而用很多人為的傳統和重擔壓在他們的肩頭上
[00:01:09.000 --> 00:01:12.000]  主持人:我們看見在11章27到33節
[00:01:12.000 --> 00:01:14.000]  主持人:耶穌就是反問他們
[00:01:14.000 --> 00:01:16.000]  主持人:究竟你問我的權柄在哪裏
[00:01:16.000 --> 00:01:19.000]  主持人:你們說私生養我的權柄是不是從天上來的
[00:01:19.000 --> 00:01:21.000]  主持人:你先回答我我就回答你
[00:01:21.000 --> 00:01:26.000]  主持人:很有智慧 耶穌因為知道他們如果怎樣回答
[00:01:26.000 --> 00:01:32.000]  主持人:他們都會得罪那些百姓 也都得罪上帝所差派來的
[00:01:32.000 --> 00:01:35.000]  主持人:這個宗僕就是私生養
[00:01:35.000 --> 00:01:39.000]  主持人:而後文在1至12節那個兇惡的玄乎裏面
[00:01:39.000 --> 00:01:44.000]  主持人:我們看見那個玄乎的主人就是代表、比喻我們的天父
[00:01:44.000 --> 00:01:50.000]  主持人:他由歷世歷代一路差派很多忠心的先知
[00:01:50.000 --> 00:01:52.000]  主持人:去傳講神的道
[00:01:52.000 --> 00:01:57.000]  主持人:但是神的百姓、神的這些家的領袖
[00:01:57.000 --> 00:02:02.000]  主持人:他們反而誤導了神的百姓去拜偶像、去利器神
[00:02:02.000 --> 00:02:07.000]  主持人:他們將這些所謂的先知去宰殺
[00:02:07.000 --> 00:02:09.000]  主持人:他們一一殉道
[00:02:09.000 --> 00:02:11.000]  主持人:到最後在新約的時候
[00:02:11.000 --> 00:02:14.000]  主持人:耶穌出來傳道以私 私洗弱汗
[00:02:14.000 --> 00:02:18.000]  主持人:到後來都是被斬首來殉道的
[00:02:18.000 --> 00:02:24.000]  主持人:我們在當中這個耶穌的好有智慧的辯護
[00:02:24.000 --> 00:02:26.000]  主持人:祂的權柄裏面
[00:02:26.000 --> 00:02:28.000]  主持人:我們來到我們今天的段落
[00:02:28.000 --> 00:02:32.000]  主持人:今天看的段落在12章13至44節
[00:02:32.000 --> 00:02:35.000]  主持人:其實包含了五個的段落
[00:02:35.000 --> 00:02:39.000]  主持人:這五個段落你可以說都是錯綜複雜
[00:02:39.000 --> 00:02:43.000]  主持人:要等人和大家一起來分解的時候
[00:02:43.000 --> 00:02:44.000]  主持人:首先我們要明白
[00:02:44.000 --> 00:02:48.000]  主持人:其實如果我們直接一段段看下去
[00:02:48.000 --> 00:02:51.000]  主持人:你很難看到究竟有什麼關係
[00:02:51.000 --> 00:02:54.000]  主持人:但其實它是一個文學的結構
[00:02:54.000 --> 00:02:57.000]  主持人:是用一個所謂線形
[00:02:57.000 --> 00:03:01.000]  主持人:或者叫做交錯對稱的一個結構
[00:03:01.000 --> 00:03:03.000]  主持人:這個結構簡單來講
[00:03:03.000 --> 00:03:06.000]  主持人:其實就是說五層
[00:03:06.000 --> 00:03:09.000]  主持人:而好像我們今天吃漢堡包
[00:03:09.000 --> 00:03:13.000]  主持人:如果你面和底那一層是麵包
[00:03:13.000 --> 00:03:16.000]  主持人:第二層和第四層可能就是那些生菜
[00:03:16.000 --> 00:03:18.000]  主持人:或者那些pickle
[00:03:18.000 --> 00:03:20.000]  主持人:那些其他的配菜
[00:03:20.000 --> 00:03:23.000]  主持人:最重要是中間那一層
[00:03:23.000 --> 00:03:25.000]  主持人:那一層是什麼來的
[00:03:25.000 --> 00:03:27.000]  主持人:如果你是牛肉漢堡包
[00:03:27.000 --> 00:03:28.000]  主持人:或者是魚柳包
[00:03:28.000 --> 00:03:31.000]  主持人:中間那個餡那個肉
[00:03:31.000 --> 00:03:34.000]  主持人:是牛肉是豬肉還是魚
[00:03:34.000 --> 00:03:36.000]  主持人:這個就是我們說
[00:03:36.000 --> 00:03:38.000]  主持人:你研究這五段經文
[00:03:38.000 --> 00:03:39.000]  主持人:你就看中間那段經文
[00:03:39.000 --> 00:03:42.000]  主持人:你就看見馬可在聖靈的感動底下
[00:03:42.000 --> 00:03:44.000]  主持人:其實是很有心思
[00:03:44.000 --> 00:03:47.000]  主持人:去將這個文學的結構佈局了出來
[00:03:47.000 --> 00:03:50.000]  主持人:那我和大家稍為很快run一次
[00:03:50.000 --> 00:03:52.000]  主持人:首先他就是法利塞人
[00:03:52.000 --> 00:03:54.000]  主持人:和希律黨的人走來問耶穌
[00:03:54.000 --> 00:03:57.000]  主持人:我們是否需要納粹比蓋撒
[00:03:57.000 --> 00:03:59.000]  主持人:就是當時的羅馬的皇帝
[00:03:59.000 --> 00:04:02.000]  主持人:而第二班人就是撒到蓋人
[00:04:02.000 --> 00:04:04.000]  主持人:要問耶穌關於復活
[00:04:04.000 --> 00:04:07.000]  主持人:他們本身不信有復活的
[00:04:07.000 --> 00:04:09.000]  主持人:但是他們要刁難耶穌
[00:04:09.000 --> 00:04:12.000]  主持人:第三段就是說有一個民事問耶穌
[00:04:12.000 --> 00:04:14.000]  主持人:究竟誡命這麼多條
[00:04:14.000 --> 00:04:16.000]  主持人:最大的誡命是哪一條呢
[00:04:16.000 --> 00:04:19.000]  主持人:那耶穌就在這三個回合裏面
[00:04:19.000 --> 00:04:21.000]  主持人:逐一幫他們解答
[00:04:21.000 --> 00:04:23.000]  主持人:不單止是解答好那些問題
[00:04:23.000 --> 00:04:26.000]  主持人:而且很精彩地 很精準地
[00:04:26.000 --> 00:04:30.000]  主持人:也都讓他們更進一步去明白
[00:04:30.000 --> 00:04:33.000]  主持人:作為跟隨耶穌的門徒
[00:04:33.000 --> 00:04:34.000]  主持人:其實他們的生命
[00:04:34.000 --> 00:04:37.000]  主持人:我們是需要接受提醒和教導
[00:04:37.000 --> 00:04:40.000]  主持人:今天究竟我們說我們信主
[00:04:40.000 --> 00:04:42.000]  主持人:無論你多少年都好
[00:04:42.000 --> 00:04:44.000]  主持人:我盼望今天這個訊息
[00:04:44.000 --> 00:04:47.000]  主持人:再一次挑戰大家
[00:04:47.000 --> 00:04:51.000]  主持人:你要勇敢誠實地去向主回答
[00:04:51.000 --> 00:04:52.000]  主持人:這些問題
[00:04:52.000 --> 00:04:54.000]  主持人:你有沒有真的以主耶穌
[00:04:54.000 --> 00:04:56.000]  主持人:成為你生命的主宰
[00:04:56.000 --> 00:04:59.000]  主持人:包括你的家庭 包括你的事業
[00:04:59.000 --> 00:05:02.000]  主持人:包括你今天生活的每一個場景
[00:05:02.000 --> 00:05:05.000]  主持人:原來都是主耶穌是你生命的主
[00:05:05.000 --> 00:05:08.000]  主持人:而最後耶穌是主動出擊
[00:05:08.000 --> 00:05:10.000]  主持人:耶穌不是被人問了
[00:05:10.000 --> 00:05:12.000]  主持人:耶穌問回那些會眾
[00:05:12.000 --> 00:05:14.000]  主持人:那些民事怎樣解釋
[00:05:14.000 --> 00:05:16.000]  主持人:大衛子孫的身份
[00:05:16.000 --> 00:05:19.000]  主持人:其實是他們錯誤解釋聖經
[00:05:19.000 --> 00:05:22.000]  主持人:而引致他們不接受耶穌基督
[00:05:22.000 --> 00:05:24.000]  主持人:是尼賽亞這個身份
[00:05:24.000 --> 00:05:28.000]  主持人:而最後是窮寡婦奉獻的表達
[00:05:28.000 --> 00:05:32.000]  主持人:窮寡婦只是奉獻兩個小錢
[00:05:32.000 --> 00:05:35.000]  主持人:我其實今天這篇道講完了
[00:05:35.000 --> 00:05:40.000]  主持人:但這五段經文就要大家逐一去破解
[00:05:40.000 --> 00:05:42.000]  主持人:如果我問一問大家
[00:05:42.000 --> 00:05:45.000]  主持人:第一層和第五層A和A派
[00:05:45.000 --> 00:05:48.000]  主持人:是否納稅?是否奉獻?
[00:05:48.000 --> 00:05:51.000]  主持人:跟什麼的元素有關連?
[00:05:51.000 --> 00:05:54.000]  主持人:嘩!嘩!你們很聰明
[00:05:54.000 --> 00:05:57.000]  主持人:那你就知道是關於金錢
[00:05:57.000 --> 00:05:58.000]  主持人:對!你說得好
[00:05:58.000 --> 00:06:00.000]  主持人:關於金錢
[00:06:00.000 --> 00:06:03.000]  主持人:金錢是否我們的主人?
[00:06:03.000 --> 00:06:07.000]  主持人:還是耶穌是你所擁有的金錢的主人?
[00:06:07.000 --> 00:06:09.000]  主持人:這個問題你要回答
[00:06:09.000 --> 00:06:12.000]  主持人:第二個人死後復活的問題
[00:06:12.000 --> 00:06:13.000]  主持人:大衛子孫的身份
