
[00:00:00.000 --> 00:00:02.440]  我們一起有個安靜的祈禱的時候
[00:00:02.440 --> 00:00:04.440]  接着我會有個結束
[00:00:04.440 --> 00:00:10.440]  我們的天父,我們多謝你
[00:00:10.440 --> 00:00:15.080]  因爲今天我們仍然可以在這裏相聚
[00:00:15.080 --> 00:00:19.120]  我們求主你來到我們的當中
[00:00:19.120 --> 00:00:24.200]  在疫症當中爲我們作王
[00:00:24.200 --> 00:00:27.560]  疫症當中沒有醫院
[00:00:27.560 --> 00:00:33.000]  這是恐怖的事情
[00:00:33.000 --> 00:00:38.280]  在我們最需要醫療的時候
[00:00:38.280 --> 00:00:45.120]  我們因爲疫情沒有辦法去打開這個門戶
[00:00:45.120 --> 00:00:47.000]  而主求你幫助我們
[00:00:47.000 --> 00:00:50.040]  讓我們渡過這個難關
[00:00:50.040 --> 00:00:52.600]  求主你賜力量給每一個
[00:00:52.600 --> 00:00:58.800]  在門診上當值的傳道人、牧師
[00:00:58.800 --> 00:01:04.840]  讓我們真的有純正的靈奶
[00:01:04.840 --> 00:01:10.080]  有天國給我們屬靈的藥
[00:01:10.080 --> 00:01:18.960]  可以醫治我們的罪、我們的叛逆
[00:01:18.960 --> 00:01:21.160]  讓我們渡過這個難關
[00:01:21.160 --> 00:01:26.520]  再次期待回到你的教會里
[00:01:26.520 --> 00:01:29.440]  敬拜你
[00:01:29.440 --> 00:01:34.440]  接受你的慰養和醫治
[00:01:34.440 --> 00:01:39.720]  求主你給教會有智慧、有勇氣
[00:01:39.720 --> 00:01:46.320]  如果我們需要重開教會的時候
[00:01:46.320 --> 00:01:47.400]  給我們勇氣
[00:01:47.400 --> 00:01:50.720]  因爲真的需要勇氣
[00:01:50.720 --> 00:01:55.040]  需要有很多的思想
[00:01:55.040 --> 00:02:00.840]  也給我們弟兄姊妹每一個人警醒
[00:02:00.840 --> 00:02:03.600]  耶穌留給我們其中最後一個命令
[00:02:03.600 --> 00:02:06.800]  要警醒
[00:02:06.800 --> 00:02:10.840]  我們擔心的是我們不能警醒
[00:02:10.840 --> 00:02:14.960]  對於疫症、對於經濟我們很警醒
[00:02:14.960 --> 00:02:22.040]  但對於屬靈的東西我們沒辦法去警醒
[00:02:22.040 --> 00:02:24.760]  我們在這裏沉睡
[00:02:24.760 --> 00:02:27.040]  我們需要醒來
[00:02:27.040 --> 00:02:31.520]  我求主使用今天
[00:02:31.520 --> 00:02:37.440]  我們有機會來到崇拜當中去聽你的道
[00:02:37.440 --> 00:02:41.000]  無論是在教會里面的弟兄姊妹
[00:02:41.000 --> 00:02:45.160]  又或者在網上來的弟兄姊妹
[00:02:45.160 --> 00:02:51.200]  無論是我們舊友的會友
[00:02:51.200 --> 00:02:52.640]  平時離開的弟兄姊妹
[00:02:52.640 --> 00:02:55.440]  又或者是新的朋友
[00:02:55.440 --> 00:03:00.080]  願你的福音成爲我們的祝福
[00:03:00.080 --> 00:03:05.680]  願我們真的認真思量
[00:03:05.680 --> 00:03:11.120]  究竟人是什麼?人生是什麼?
[00:03:11.120 --> 00:03:15.640]  讓我們看見你福音的偉大
[00:03:15.640 --> 00:03:19.960]  讓我們追求一個不一樣的生活
[00:03:19.960 --> 00:03:21.400]  再次多謝禰
[00:03:21.400 --> 00:03:25.240]  祝福我們以下一起聽禰道的時間
[00:03:25.240 --> 00:03:28.320]  這樣祈禱是奉主耶穌基督的名求
[00:03:28.320 --> 00:03:29.320]  阿們
[00:03:35.680 --> 00:03:37.640]  正在研讀《馬可福音》
[00:03:37.640 --> 00:03:41.880]  到現在已經有超過兩年的時間
[00:03:41.880 --> 00:03:46.280]  我們講到系列的總題叫做《非凡的見證》
