
[00:00:00.000 --> 00:00:06.080]  弟兄姊妹,平安,還有健康,是不是很重要
[00:00:06.080 --> 00:00:09.640]  可能大家都有留意,我在Facebook寫
[00:00:09.640 --> 00:00:16.880]  我上個星期六中招,小小喉嚨痛,小小鼻水,小小咳嗽
[00:00:16.880 --> 00:00:20.760]  一直都叫大家為我祈禱
[00:00:20.760 --> 00:00:24.400]  昨天早上起床,已經沒什麼咳嗽
[00:00:24.400 --> 00:00:28.080]  不過就跟牧師說,喉嚨還是癢癢的
[00:00:28.080 --> 00:00:32.480]  他說你先不要承認,你知不知道現在香港很多人生病
[00:00:32.480 --> 00:00:36.000]  你到處都有一個,我都見到有些戴了口罩,生病了
[00:00:36.000 --> 00:00:40.080]  他說生病都兩三個星期了,咳到癢癢的
[00:00:40.080 --> 00:00:45.680]  你都沒怎麼咳嗽,要感恩,我說是呀是呀,感恩
[00:00:45.680 --> 00:00:48.960]  所以昨天開始,我們用感恩開始
[00:00:48.960 --> 00:00:52.240]  感謝主,讓我有能力可以講道
[00:00:52.240 --> 00:00:55.360]  昨晚兩堂沒咳嗽過,今天呢
[00:00:55.360 --> 00:00:59.600]  剛才有人說我有氣有力,是不是,感謝主
[00:00:59.600 --> 00:01:08.360]  我們的上帝是一個醫治的上帝,是一個大能的上帝
[00:01:08.360 --> 00:01:12.480]  但是人生真的有很多很難過的事情
[00:01:12.480 --> 00:01:18.440]  一個星期之前,我想很多基督徒好像我這樣都收到那個消息
[00:01:18.440 --> 00:01:23.120]  上個星期日,發生了什麼事,知不知道
[00:01:23.120 --> 00:01:27.600]  美國,Texas,Southland Spring
[00:01:27.600 --> 00:01:31.240]  我想沒什麼人知道這個城市,因為是一個很小的小鎮
[00:01:31.240 --> 00:01:37.520]  只有四百人,其中有間教會十一點半崇拜的時候
[00:01:37.520 --> 00:01:45.760]  有個槍手走進去,開了二十槍,死了二十六個人
[00:01:45.760 --> 00:01:48.280]  還有超過二十個人受傷
[00:01:48.280 --> 00:01:52.840]  我再查一下那間教會知不知道有多少人,只有五十人
[00:01:52.840 --> 00:02:03.800]  就是說整間教會是一半死了,一半傷了
[00:02:03.800 --> 00:02:07.760]  我自然很關心牧師怎麼樣
[00:02:07.760 --> 00:02:14.600]  主任牧師那星期剛好不在港督,跟太太沒事
[00:02:14.600 --> 00:02:21.840]  但是他十四歲的女兒死了,中槍
[00:02:21.840 --> 00:02:26.120]  牧師不在港督,誰來港督?傅牧師
[00:02:26.120 --> 00:02:31.680]  傅牧師一家三代都是基督徒
[00:02:31.680 --> 00:02:37.360]  很美麗的生命見證,死了九個人
[00:02:37.360 --> 00:02:40.040]  不知道剩下四個還是五個
[00:02:40.040 --> 00:02:44.680]  我看到的時候,我心裡極度難過
[00:02:44.680 --> 00:02:52.480]  主啊,怎麼會有這樣的事情發生?
