
[00:00:00.000 --> 00:00:04.280]  中國人說「禮多人不怪」
[00:00:04.280 --> 00:00:08.480]  雖然已經說了很多次「新年快樂」
[00:00:08.480 --> 00:00:12.360]  再次在這裡祝大家「新年快樂」
[00:00:12.360 --> 00:00:14.080]  我們希望新的一年裏面
[00:00:14.080 --> 00:00:16.200]  我們勤讀聖經、愛主更多
[00:00:16.200 --> 00:00:20.600]  我們希望2017年我們勤讀聖經、愛主更多
[00:00:20.600 --> 00:00:28.080]  今年開始我們以道自見的讀經進度作為「聖言三合一」
[00:00:28.080 --> 00:00:33.600]  今年開始我們以道自見的讀經進度作為「聖言三合一」
[00:00:33.600 --> 00:00:36.560]  但因為我們教會也有一個主題
[00:00:36.560 --> 00:00:38.320]  但因為我們教會也有一個主題
[00:00:38.320 --> 00:00:42.280]  所以我保留每個月一次的講道配合那個主題
[00:00:42.280 --> 00:00:46.560]  所以我保留每個月一次主題配合教會的主題
[00:00:46.560 --> 00:00:53.280]  有一批即將大學畢業的精英大學生要準備進入職場
[00:00:53.280 --> 00:00:58.760]  有一批即將大學畢業的精英大學生要準備進入職場
[00:00:58.760 --> 00:01:03.120]  所以他們希望可以去參加一個職業研討會
[00:01:03.120 --> 00:01:06.200]  希望了解一下將來怎樣找到一份更好的工作
[00:01:06.200 --> 00:01:08.720]  所以他們去參加一個職業的研討會
[00:01:08.720 --> 00:01:12.160]  去了解將來怎樣去找一份好的工作
[00:01:12.160 --> 00:01:15.720]  在答問的時候其中一位年輕人就問了一個問題
[00:01:15.720 --> 00:01:18.680]  在答問的問題其中一個年輕人問了一個問題
[00:01:18.680 --> 00:01:20.920]  他就問那個人力專員的顧問
[00:01:20.920 --> 00:01:25.240]  他說在你們的經營當中哪一種的職業是最令人討厭的呢?
[00:01:25.240 --> 00:01:28.200]  他就問人力資源的那個負責人說
[00:01:28.200 --> 00:01:32.040]  你們經歷的當中是哪一份職業令人最討厭的呢?
[00:01:32.040 --> 00:01:33.800]  那個人想一想之後呢
[00:01:33.800 --> 00:01:35.600]  那個人想了一下呢
[00:01:35.600 --> 00:01:37.160]  他的答案是牧師
[00:01:37.160 --> 00:01:38.920]  他的答案是牧師
[00:01:38.920 --> 00:01:41.800]  那個年輕人說為什麼?牧師不是好人的嗎?
[00:01:41.800 --> 00:01:44.320]  那個年輕人說為什麼?牧師不是很好人的嗎?
[00:01:44.320 --> 00:01:45.720]  那個主人就回答他
[00:01:45.720 --> 00:01:47.480]  你知不知道牧師有一個愛好的?
[00:01:47.480 --> 00:01:49.640]  那個主持人就說你知道牧師有一個愛好
[00:01:49.640 --> 00:01:53.040]  他說牧師的愛好就是非洲和尚、黑人憎
[00:01:53.040 --> 00:01:56.360]  牧師的外號就是非洲和尚
[00:01:56.360 --> 00:01:59.920]  就是國語翻譯就是討人厭的意思
[00:01:59.920 --> 00:02:01.960]  另外一個年輕人就再問了
[00:02:01.960 --> 00:02:05.280]  他說有沒有另一種的職業比牧師更令人討厭的呢?
[00:02:05.280 --> 00:02:07.760]  另外那個青年再問
[00:02:07.760 --> 00:02:11.760]  還有沒有另外一種的職業比牧師更討厭的呢?
[00:02:11.760 --> 00:02:12.920]  那個主人就回答
[00:02:12.920 --> 00:02:14.120]  浸信會的牧師
[00:02:14.120 --> 00:02:16.720]  那個主持人就說信信會的牧師
[00:02:16.720 --> 00:02:18.400]  因為他同樣都有一個愛好
[00:02:18.400 --> 00:02:19.920]  因為他同樣都有一個愛好
[00:02:19.920 --> 00:02:22.240]  他們叫非洲和尚、黑人憎
[00:02:22.240 --> 00:02:24.560]  不單止還要中午去曬太陽
[00:02:24.560 --> 00:02:27.680]  他們叫做非洲和尚就是令人討厭
[00:02:27.680 --> 00:02:28.680]  不單止這樣子
[00:02:28.680 --> 00:02:30.480]  他們還要中午去曬太陽
[00:02:30.480 --> 00:02:32.160]  所以叫非常黑人憎
[00:02:32.160 --> 00:02:34.560]  所以意思就是非常令人討厭
[00:02:34.560 --> 00:02:37.480]  有一個年輕人就再追問了
[00:02:37.480 --> 00:02:40.160]  有沒有比浸信會更令人討厭的職業?
[00:02:40.160 --> 00:02:41.840]  有一個年輕人就再追問
[00:02:41.840 --> 00:02:45.160]  有沒有比浸信會的牧師更令人討厭的職位呢?
[00:02:45.160 --> 00:02:46.440]  那個主人想都不想
[00:02:46.440 --> 00:02:49.920]  那個主人就說是地方語言的浸信會牧師
[00:02:49.920 --> 00:02:51.400]  那個主持人想都不想
[00:02:51.400 --> 00:02:54.000]  就是地方語言的浸信會的牧師
[00:02:54.000 --> 00:02:56.320]  因為他們的愛好叫非洲和尚
[00:02:56.320 --> 00:02:57.600]  中午去曬太陽
[00:02:57.600 --> 00:02:59.000]  中午去曬太陽油
[00:02:59.000 --> 00:03:01.560]  因為他們的外號是
[00:03:01.560 --> 00:03:03.760]  非洲和尚令人討厭
[00:03:03.760 --> 00:03:05.480]  中午去曬太陽
[00:03:05.480 --> 00:03:06.760]  還不去曬太陽油
[00:03:06.760 --> 00:03:08.320]  所以叫極度黑人憎
[00:03:08.320 --> 00:03:10.720]  所以意思是極度的令人討厭
[00:03:10.720 --> 00:03:12.720]  天父開了我一個玩笑
