
[00:00:00.000 --> 00:00:02.000]  有弟兄姊妹問我
[00:00:02.000 --> 00:00:09.000]  究竟使徒保羅一生的成功秘訣在那裏呢?
[00:00:09.000 --> 00:00:11.000]  我可以說
[00:00:11.000 --> 00:00:13.500]  保羅的成功秘訣
[00:00:13.500 --> 00:00:18.000]  記載在我們剛才所讀的
[00:00:18.000 --> 00:00:20.500]  《肥臘比書》那段經文裏
[00:00:20.500 --> 00:00:27.000]  《肥臘比書》第三章十三到十四節說
[00:00:27.500 --> 00:00:33.000]  我只有一件事就是忘記背後努力面前的
[00:00:33.000 --> 00:00:35.000]  向著標竿直跑
[00:00:35.000 --> 00:00:42.000]  要得神在基督耶穌裏從上面照我來得的獎賞
[00:00:42.000 --> 00:00:46.000]  如果我們真的明白這句話
[00:00:46.000 --> 00:00:49.000]  我們會一生受用不盡
[00:00:49.000 --> 00:00:52.000]  這個成功秘訣
[00:00:52.000 --> 00:00:57.000]  不單止可以實踐在我們個人的生命裏
[00:00:58.000 --> 00:01:01.000]  其實對我們教會整體也有幫助
[00:01:01.000 --> 00:01:06.000]  所以在今天二十六週年堂慶裏
[00:01:06.000 --> 00:01:09.000]  我要和大家一起思想這段經文
[00:01:09.000 --> 00:01:17.000]  《肥臘比書》是保羅最個人化的一封信
[00:01:17.000 --> 00:01:22.000]  很多地方他描寫自己的生命歷程
[00:01:23.000 --> 00:01:29.500]  這兩節的經文可以說是將保羅一生都刻劃了出來
[00:01:29.500 --> 00:01:33.500]  在這兩節經文裏有一個重要的名詞
[00:01:33.500 --> 00:01:35.500]  就是標竿
[00:01:35.500 --> 00:01:37.500]  標竿即是目標
[00:01:37.500 --> 00:01:42.000]  保羅的人生目標是甚麼
[00:01:42.000 --> 00:01:46.000]  你的人生目標又是甚麼
[00:01:46.000 --> 00:01:48.000]  如果你是一位學生
[00:01:48.000 --> 00:01:50.000]  你或者會這樣回答
[00:01:50.500 --> 00:01:55.000]  我的目標就是要考到一間心儀的大學
[00:01:55.000 --> 00:01:58.500]  如果你已經在職場上工作
[00:01:58.500 --> 00:02:00.500]  你的答案可能是
[00:02:00.500 --> 00:02:03.000]  我的目標就是買樓
[00:02:03.000 --> 00:02:06.500]  或者換一間更加大的樓
[00:02:06.500 --> 00:02:10.500]  很多人將自己的人生目標
[00:02:10.500 --> 00:02:16.000]  放在樓或者錢或者職業上
[00:02:16.000 --> 00:02:20.000]  那麼你的目標又放在哪裏呢
[00:02:21.500 --> 00:02:27.000]  名作家托爾斯泰寫過一個短篇故事
[00:02:27.000 --> 00:02:30.500]  這個故事的英文叫
[00:02:30.500 --> 00:02:34.500]  How much land does a man need
[00:02:34.500 --> 00:02:38.000]  一個人需要多少地
[00:02:38.000 --> 00:02:42.500]  這個故事講到從前在俄國某一個地方
[00:02:42.500 --> 00:02:47.000]  他買賣土地的方法非常特別
[00:02:47.500 --> 00:02:51.500]  那個買家早上付了錢
[00:02:51.500 --> 00:02:57.500]  然後就可以由日出到日落
[00:02:57.500 --> 00:03:01.000]  透過步行來得到他的地
[00:03:01.000 --> 00:03:04.000]  那一天裏面他能走多少
[00:03:04.000 --> 00:03:07.000]  那些地就歸於他
[00:03:07.000 --> 00:03:10.000]  換句話說他走得越快
[00:03:10.000 --> 00:03:12.000]  他圈的地越多
[00:03:12.000 --> 00:03:15.000]  他就越著數
[00:03:15.500 --> 00:03:19.000]  不過他一定要在日落之前
[00:03:19.000 --> 00:03:21.000]  太陽落山之前
[00:03:21.000 --> 00:03:24.000]  要回到出發點那裏
[00:03:24.000 --> 00:03:27.500]  完成這個圈
[00:03:27.500 --> 00:03:31.000]  否則他的勞苦就會白費
[00:03:31.000 --> 00:03:36.000]  他也會失去付的地價
[00:03:36.000 --> 00:03:40.500]  有一個買家早上太陽一出來
[00:03:40.500 --> 00:03:42.000]  他就付了錢
[00:03:42.000 --> 00:03:44.000]  於是他就開始跑步
[00:03:44.500 --> 00:03:47.000]  圈他所想買的地
[00:03:47.000 --> 00:03:49.000]  他很勤力跑得很快
[00:03:49.000 --> 00:03:52.000]  他中午時分已經走了很多
[00:03:52.000 --> 00:03:54.000]  他說還有時間
[00:03:54.000 --> 00:03:57.000]  我再走多些再跑多些
[00:03:57.000 --> 00:03:59.000]  他很興奮
[00:03:59.000 --> 00:04:02.000]  但是他跑多了地方
[00:04:02.000 --> 00:04:04.000]  又怕趕不及
[00:04:04.000 --> 00:04:06.000]  因為太陽落山
[00:04:06.000 --> 00:04:08.000]  他不去原本的地方
[00:04:08.000 --> 00:04:10.000]  他就沒有了
[00:04:10.000 --> 00:04:13.000]  於是他要拼命拼命跑
[00:04:13.500 --> 00:04:15.000]  他筋疲力倦
[00:04:15.000 --> 00:04:18.000]  終於在太陽落山之前
[00:04:18.000 --> 00:04:21.000]  最後一刻他回到出發點
[00:04:21.000 --> 00:04:26.000]  那些旁觀的人為他高興拍掌
[00:04:26.000 --> 00:04:29.000]  但是他到了出發點之後
[00:04:29.000 --> 00:04:31.000]  就跌在地上
[00:04:31.000 --> 00:04:33.000]  動都不動
