
[00:00:00.000 --> 00:00:03.260]  剛纔我都講過了,今天是一個很特別的日子
[00:00:03.260 --> 00:00:05.940]  雖然我剛纔已經說了,現在是soft opening
[00:00:05.940 --> 00:00:09.100]  所以很多事情我們還沒有完全開始
[00:00:09.100 --> 00:00:12.580]  但始終都是我們第一次,第一天
[00:00:12.580 --> 00:00:16.400]  在這個裝修好的地方去敬拜上帝
[00:00:16.400 --> 00:00:19.040]  所以真的很值得我們紀念
[00:00:19.040 --> 00:00:22.080]  事實上,大家知道我們一直在講《藥書雅記》
[00:00:22.080 --> 00:00:27.160]  講到得着者地,這是我們這個講道系列的主題
[00:00:27.160 --> 00:00:29.700]  我們就好像當日的以色列一樣
[00:00:29.700 --> 00:00:35.620]  上星期在敬拜時,是講到約書雅帶領以色列過紅海
[00:00:35.620 --> 00:00:38.380]  對不起,說錯了,是過約旦河
[00:00:38.380 --> 00:00:41.160]  過約旦河,入迦南
[00:00:41.160 --> 00:00:45.060]  過了河之後,就是迦南的土地
[00:00:45.060 --> 00:00:48.960]  但是他們還沒有得着那地
[00:00:48.960 --> 00:00:55.540]  不過爲了得着那地,是踏出了第一步
[00:00:55.540 --> 00:01:00.600]  今天我們在這裏,是天父賜給我們一個很好的環境
[00:01:00.600 --> 00:01:04.680]  和地方的設備
[00:01:04.680 --> 00:01:08.500]  天父上帝的恩典,讓我們能夠在這裏敬拜
[00:01:08.500 --> 00:01:10.080]  可以在這裏傳福音
[00:01:10.080 --> 00:01:14.920]  但我想告訴大家,剛纔特卡第兄也提過
[00:01:14.920 --> 00:01:21.760]  我們還沒有將耶穌的愛和救恩傳遍三國
[00:01:21.760 --> 00:01:26.900]  但是爲了完成這個使命,得着那地
[00:01:26.900 --> 00:01:28.640]  我覺得我們是踏出了第一步
[00:01:28.640 --> 00:01:31.980]  我們做了一個很好的準備
[00:01:31.980 --> 00:01:36.260]  我們記得當日以色列人在過約旦河的時候
[00:01:36.260 --> 00:01:38.600]  如果今天我們看經文的時候,就會發現
[00:01:38.600 --> 00:01:42.560]  約書雅就是吩咐民族裏面的領袖
[00:01:42.560 --> 00:01:44.620]  大家知道有十二支派
[00:01:44.620 --> 00:01:46.620]  每個支派派一個代表
[00:01:46.620 --> 00:01:49.120]  每個支派選一個人,做什麼呢?
[00:01:49.120 --> 00:01:53.320]  去到約旦河的中間,就是約會的地方
[00:01:53.320 --> 00:01:55.780]  執起十二個石頭,每人執一個
[00:01:55.780 --> 00:02:00.280]  然後帶過河,去到他們晚上紮營的地方
[00:02:00.280 --> 00:02:04.000]  大家知道看聖經的時候,那是吉甲的地方
[00:02:04.000 --> 00:02:07.680]  在那裏樹立一個石壁
[00:02:07.680 --> 00:02:12.480]  爲什麼上帝在過約旦河神蹟的時候
[00:02:12.480 --> 00:02:14.880]  會有這樣的行動呢?
[00:02:14.880 --> 00:02:19.600]  我相信有三個很基本的原因
[00:02:19.600 --> 00:02:25.240]  第一,上帝吩咐約書雅和以色列人要立石爲基
[00:02:25.240 --> 00:02:28.800]  因爲他希望他們不要忘記
[00:02:28.800 --> 00:02:32.100]  耶和華上帝給他們的恩典
[00:02:32.100 --> 00:02:34.200]  立石爲基,提醒我們
[00:02:34.200 --> 00:02:39.560]  讓我們不要忘記上帝給我們的恩典
[00:02:39.560 --> 00:02:47.080]  不知道大家同不同意,善忘是人的本性
[00:02:47.080 --> 00:02:48.400]  同不同意嗎?
[00:02:48.400 --> 00:02:50.960]  不要以爲年紀大的纔會善忘
[00:02:50.960 --> 00:02:53.840]  年輕的也會善忘
