
[00:00:00.000 --> 00:00:07.000]  我今天要和大家分享的是無法拒絕的呼召
[00:00:07.000 --> 00:00:10.000]  即是我今天會講呼召這個題目
[00:00:10.000 --> 00:00:14.000]  呼召這個題目如果相信了耶穌
[00:00:14.000 --> 00:00:16.000]  不要講了
[00:00:16.000 --> 00:00:18.000]  即是我年輕的時候
[00:00:18.000 --> 00:00:23.000]  呼召這個字眼是很普遍的
[00:00:23.000 --> 00:00:27.000]  在我們教會的圈子裏都是很容易很重視
[00:00:27.000 --> 00:00:29.000]  因為經常都會講
[00:00:29.000 --> 00:00:31.000]  甚至我們這些年輕人
[00:00:31.000 --> 00:00:33.000]  當年我是年輕人
[00:00:33.000 --> 00:00:35.000]  就比較反叛
[00:00:35.000 --> 00:00:36.000]  喜歡玩東西
[00:00:36.000 --> 00:00:37.000]  年輕人的特色就是這樣
[00:00:37.000 --> 00:00:39.000]  所以我們經常都會講
[00:00:39.000 --> 00:00:41.000]  呼召都是用來玩的
[00:00:41.000 --> 00:00:43.000]  這班人都很大膽
[00:00:43.000 --> 00:00:44.000]  怎樣玩呢
[00:00:44.000 --> 00:00:46.000]  譬如大家一起去燒烤
[00:00:46.000 --> 00:00:48.000]  去踩單車去玩
[00:00:48.000 --> 00:00:49.000]  我們多數會問
[00:00:49.000 --> 00:00:51.000]  喂 你有沒有呼召去呀
[00:00:51.000 --> 00:00:53.000]  你有呼召才去呀
[00:00:53.000 --> 00:00:55.000]  大家沒有反應
[00:00:55.000 --> 00:00:58.000]  你不會這樣想
[00:00:58.000 --> 00:01:01.000]  但我們那時候很自然地就講呼召
[00:01:01.000 --> 00:01:03.000]  某程度在那個時間裏
[00:01:03.000 --> 00:01:08.000]  教會都很重視神的臨到我們的呼召
[00:01:08.000 --> 00:01:10.000]  當然我們很容易想的
[00:01:10.000 --> 00:01:11.000]  呼召而已
[00:01:11.000 --> 00:01:12.000]  當然是穆斯傳道人那些
[00:01:12.000 --> 00:01:14.000]  兵姐那些
[00:01:14.000 --> 00:01:15.000]  我又不是全時間的
[00:01:15.000 --> 00:01:16.000]  怎會有呼召
