
[00:00:00.000 --> 00:00:04.660]  今天我們來看一位聖經的人物多瑪
[00:00:04.660 --> 00:00:09.040]  不知道你們對多瑪的認識有多少
[00:00:09.040 --> 00:00:14.000]  雖然聖經不是很詳盡的來講聖經的人物多瑪
[00:00:14.000 --> 00:00:18.000]  不過我們大概都知道這個多瑪有一個外號
[00:00:18.000 --> 00:00:22.840]  很多人叫多瑪為「多疑的多瑪」
[00:00:22.840 --> 00:00:25.760]  或者甚至是「不信的多瑪」
[00:00:25.760 --> 00:00:30.600]  這個稱呼如果大家聽下去都很明顯
[00:00:30.600 --> 00:00:34.100]  貶義當然是褒義的
[00:00:34.100 --> 00:00:39.200]  今天我們所讀的經文記載了多瑪這個聖經人物的一個故事
[00:00:39.200 --> 00:00:47.900]  這個故事講到其他的使徒跟他說
[00:00:47.900 --> 00:00:51.600]  你錯過了見復活的耶穌
[00:00:51.600 --> 00:00:55.000]  但是多瑪聽了之後卻是不信
[00:00:55.000 --> 00:01:00.500]  很多時候我們就因為這個事件
[00:01:00.500 --> 00:01:06.400]  就定義了這個多瑪整個人生就是一個不信的多瑪
[00:01:06.400 --> 00:01:10.000]  甚至我們通過這個故事來理解什麼叫做懷疑
[00:01:10.000 --> 00:01:14.000]  但是如果只是單憑這個事蹟來理解的時候
[00:01:14.000 --> 00:01:18.600]  恐怕我們很容易會錯過一些很重要的屬靈的功課
[00:01:18.600 --> 00:01:23.200]  我們就嘗試一同通過剛才我們所讀的經文
[00:01:23.200 --> 00:01:26.900]  通過多瑪這個故事一同去理解一下
[00:01:26.900 --> 00:01:34.900]  究竟在疑惑、不信所帶給我們一些危機的同時
[00:01:34.900 --> 00:01:39.900]  我們怎樣可以在這個懷疑之中
[00:01:39.900 --> 00:01:43.600]  來學習一個成長的轉機
[00:01:43.600 --> 00:01:44.900]  好了
[00:01:44.900 --> 00:01:46.900]  首先我們一同來看看
[00:01:46.900 --> 00:01:51.200]  究竟當我們講到多瑪是一個很多疑的人的時候
[00:01:51.200 --> 00:01:54.200]  有什麼為之懷疑呢?
[00:01:54.200 --> 00:01:57.200]  懷疑是不是等同不信呢?
[00:01:57.200 --> 00:01:59.500]  當我們懷疑的時候
[00:01:59.500 --> 00:02:01.900]  是不是我們就犯罪呢?
[00:02:01.900 --> 00:02:06.900]  大家記得早前我們在復活主義的時候
[00:02:06.900 --> 00:02:09.400]  我們提過一個我們講的信息裡面講到什麼?
[00:02:09.400 --> 00:02:11.200]  空的墳墓
[00:02:11.200 --> 00:02:17.700]  復活的主向當時去到墳墓的兩個瑪利亞顯現
[00:02:17.700 --> 00:02:19.700]  兩個瑪利亞看到空的墳墓
[00:02:19.700 --> 00:02:21.600]  看到復活主義的時候他們怎樣?
[00:02:21.600 --> 00:02:24.600]  馬上回到門徒那裡
[00:02:24.600 --> 00:02:26.000]  跟這幫門徒說
[00:02:26.000 --> 00:02:28.200]  我們的主義已經復活了
[00:02:28.200 --> 00:02:30.700]  記不記得他們這幫門徒的反應是什麼?
[00:02:30.700 --> 00:02:32.200]  卻是不信
[00:02:32.200 --> 00:02:37.500]  覺得這幫婦女在胡言亂語
[00:02:37.500 --> 00:02:39.400]  就在那天晚上
