
[00:00:00.000 --> 00:00:05.240]  「使徒行傳」是今年教會講壇裏面第二個書卷
[00:00:05.240 --> 00:00:07.240]  我們一起來查考
[00:00:07.240 --> 00:00:10.440]  當我今年來到計劃教會講壇的時候
[00:00:10.440 --> 00:00:12.440]  我們配合我們的主題
[00:00:12.440 --> 00:00:14.200]  「身根建造」在哪裏呢?
[00:00:14.200 --> 00:00:17.280]  就是我們去認識我們這位主耶穌基督
[00:00:17.280 --> 00:00:18.920]  我們紮根在祂裏面
[00:00:18.920 --> 00:00:20.920]  所謂「哥羅西書二章七節」
[00:00:20.920 --> 00:00:22.920]  整卷「哥羅西書」是幫我們
[00:00:22.920 --> 00:00:26.840]  將我們的生命紮根在基督耶穌裏面
[00:00:26.840 --> 00:00:29.400]  我們需要這樣來成長
[00:00:29.400 --> 00:00:32.280]  而我們講到迎新生代的時候
[00:00:32.280 --> 00:00:37.400]  我們嘗試從初期教會認識一下
[00:00:37.400 --> 00:00:41.080]  在一個由舊約時代去到新約時代的時候
[00:00:41.080 --> 00:00:43.960]  其實在當中這個轉折期間
[00:00:43.960 --> 00:00:46.400]  是有很多重要的突破
[00:00:46.400 --> 00:00:49.160]  那個突破就是要突破
[00:00:49.160 --> 00:00:53.440]  一些傳統的猶太教背景的弟兄姊妹的思維
[00:00:53.440 --> 00:00:55.840]  因著他們認識了主耶穌之後
[00:00:55.840 --> 00:00:58.520]  他們對舊約的律法的理解
[00:00:58.520 --> 00:01:01.080]  對於得救清兒這些的真理
[00:01:01.080 --> 00:01:06.840]  他們必須要紮根在主耶穌基督的教導上
[00:01:06.840 --> 00:01:09.840]  而我們看回這個初期教會
[00:01:09.840 --> 00:01:11.320]  一些的現象
[00:01:11.320 --> 00:01:14.440]  亦都成為我們今天很寶貴的學習
[00:01:14.440 --> 00:01:18.360]  我們盼望和弟兄姊妹一起去迎新生代
[00:01:18.360 --> 00:01:20.040]  敢於去突破
[00:01:20.040 --> 00:01:23.440]  敢於不是自己做些甚麼新的發明
[00:01:23.440 --> 00:01:26.120]  我們只不過是參考聖經的原則
[00:01:26.120 --> 00:01:28.520]  我們一起去做這些功課
[00:01:28.520 --> 00:01:31.800]  所以今天這個題目其實很簡單
[00:01:31.800 --> 00:01:33.280]  出局與入局
[00:01:33.280 --> 00:01:34.800]  其實是說兩個人
[00:01:34.800 --> 00:01:36.440]  你看回這段經文
[00:01:36.440 --> 00:01:38.200]  你就會看得很清楚
[00:01:38.200 --> 00:01:43.640]  這段經文是在《少行傳》一章二十五到二十六節
[00:01:43.640 --> 00:01:45.920]  弟兄姊妹我們看這段經文的時候
[00:01:45.920 --> 00:01:48.800]  請我們留意當時的背景
[00:01:48.800 --> 00:01:50.480]  說到那時
[00:01:50.480 --> 00:01:55.200]  就是說他們剛剛目擊了主耶穌復活升天
[00:01:55.200 --> 00:01:57.640]  被神接去了
[00:01:57.640 --> 00:01:59.000]  天使都跟他們說
[00:01:59.000 --> 00:02:03.760]  你們怎樣看神將耶穌接上天上
[00:02:03.760 --> 00:02:06.520]  祂將來人子要嫁著雲彩
[00:02:06.520 --> 00:02:07.560]  都是回來的
[00:02:07.560 --> 00:02:09.880]  耶穌的復活不是精神的復活
[00:02:09.880 --> 00:02:12.680]  是帶著身體具體的復活
[00:02:12.680 --> 00:02:16.960]  而同樣祂亦都要有一天是再來的時候
[00:02:16.960 --> 00:02:18.560]  不是精神的再來
[00:02:18.560 --> 00:02:21.280]  而是真正的再來
[00:02:21.280 --> 00:02:23.920]  當我們來看這段經文的時候
[00:02:23.920 --> 00:02:26.720]  我們會留意
[00:02:26.720 --> 00:02:30.200]  其實那時只有十天的時間
[00:02:30.200 --> 00:02:33.760]  耶穌在復活升天之前
[00:02:33.760 --> 00:02:37.160]  祂其實有四十天時間在地上
[00:02:37.160 --> 00:02:39.000]  但再過多十天
[00:02:39.000 --> 00:02:40.560]  就是第二章出現
[00:02:40.560 --> 00:02:42.160]  就是聖靈的降臨
[00:02:42.160 --> 00:02:43.560]  短短這十天
[00:02:43.560 --> 00:02:44.760]  就在這段時間
[00:02:44.760 --> 00:02:46.160]  祂們做什麼事呢?
[00:02:46.160 --> 00:02:48.160]  祂們做一件很重要的事
[00:02:48.160 --> 00:02:50.480]  就是祂們照著耶穌的吩咐
